value,type
 transfer,anchor
 in trust for,anchor
 from the office,anchor
 from the books,anchor
 from the register,anchor
 from the secretary,anchor
 from reg,anchor
 of treasury,anchor
 by warrant,anchor
 journal,anchor
and sons,suffix
and son,suffix
and co,suffix
and others,suffix
 mpany,suffix
 mpaney,suffix
as guardian,suffix
and brothers,suffix
and co',suffix
 transferred from the register of the treasury,suffix
 transfer from the register of the treasury,suffix
 transferred from the register,suffix
 transfer from the register,suffix
 transferred from the treasury,suffix
 transferred from treasury,suffix
 transfer from treasury,suffix
 transferred to treasury,suffix
 transferred from massachusetts,suffix
 transfer from massachusetts,suffix
 transferred to massachusetts,suffix
 transferred from register,suffix
 transfer from register,suffix
 transferred from the reg,suffix
 transfer the register,suffix
 transferred,suffix
