name
Trustees Of 2Nd R Church | Trustees Of The Second Presbeterian Church | Trustees Of The Second Presbyterian
The State Of Georgia
The Trustees Of Frederick County | The Trustees Of Frederick County Poor | Trustees Of Frederick County Poor
The Treasurer Of Cincinnati | The Treasurer Of The Cincinnati | The Treasurer Of The Cincinnati Of Maryland
The Trustees Of Preb Church Work Joseph Buck County | Trustees Of The Presbyterean Church Warwick Township Bucks | Trustees Of The Presbyterian Church
Society For Releif Of Poor Distressd Masters Of Ships | Society For The Relief Of Poor and Distressed Masters Of Ships Their Widows
Jackson and Nightingale
Nesmoz and Valiant | Nesmoz and Valliant
Jackson and Evans | Jackson and Evens
Trustees Of Prebn Church Abarwick Bucks County | Trustees Of The Presbyterean Church Warwick Township Bucks | Trustees Of The Presbyterian Church
Trustees Of Prebn Church Abarwick Bucks
Trustees Of The Presbyterian
Bull and Keyes
Saybrook 1St Society
Fairfield 1St Society School
State Of Connecticut
Treasurer Of The Cincinnati Society Of Georgia
Lamb and Chukley
The Elders Of The Congregation
Barclay and Mckean
State Of New Hampshire
The Trustees Of Phillips Academy
Town Of Canterbury
Corporation For The Relief Of Poor and Distressed Presbyterian Ministers
Nesmoz and Valliant
Greene and Cleverly
Mann and Low
Hoppin and Snow
Bank Of Providence
President Directors Of The Bank Of Providence
Vos and Graves
The State Of South Carolina
Watson and Greenleaf
Brochholz and Livingston
Anspach and Rogers
Berry and Rogers
Gardner and Rodman
Haydock and March
Robinson and Hartshorn
Armstrong and Barnswall
Amshong and Barnwall
Bleeker and March
Cooke and Cushing
Coxe and Meilan
Loomis and Tillinghast
Chevallier and Rainctaux
The Commonwealth Of Pennsylvania
The President Of Bank Of Providence From The Books In Massachusetts
The Trustees Of The Second Presbyterian Church In Philadelphia
The President Of Bank Of Providence
