Group Name,Group State
Adam Gilchrist,2
Alexander Hunt,2
Alexander Rose,2
Amasa Keyes,2
Andrew Caldwell,2
Ann Dimon,2
Archibald Gracie,2
Benjamin Isaacs,2
Benjamin Tallmadge,2
Christopher Leffingwell,2
Daniel Ludlow,2
Daniel Marsh,2
Ebenezer Thayer,2
Edward Chinn,2
Edward Trescot,3
Elias Cowles,2
Elisha Leeds,2
Elizabeth Richards,2
Forman Mount,2
Francis Ingraham,2
George Eddy,2
George Heriot,2
Gerrard Alexander,2
Guy Richards,2
Hannah Cooke,2
Henry Huntington,2
Hezekiah Sanford,2
Isaac Bronson,2
James Davenport,2
John D Alvey,2
John Gillet,2
John Templeman,2
Jonathan Sturges,2
Josiah Watson,2
Michael Bull,2
Michael Burke,2
Nathaniel Ely,2
Norman Butler,2
Robert Wasson,2
Samuel Hutton,2
Samuel Thacher,2
Samuel W Johnson,2
Smith Weed,2
Thaddeus Burr,2
Thaddeus Weed,2
Thomas Robinson,2
Thomas Ross,2
Timothy Pitkin,2
Walter S Chandler,2
Wheeler Coit,2
William Applegate,2
William Jones,3
William Leffingwell,2
William St John,2
William Winthrop,2

