,First Name,Last Name,Search Town,Search County,Search State,Name Type,url,Match Index,Match Status
0,Samuel W,Pomeroy,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel+W_Pomeroy&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-1-a,,No Match
1,Benjamin,Trumbull,Bolton,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Benjamin_Trumbull&name_x=s_s&residence=_bolton-tolland-connecticut-usa_3409&residence_x=_1-0,0,Complete Match
2,Richard,Green,,,RI,state,https://www.ancestrylibrary.com/search/collections/5058/?name=Richard_Green&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=_1-0,1,Complete Match
3,Thomas,Hopkins,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Thomas_Hopkins&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,2,Complete Match
4,John,Morgan,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Morgan&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,3,Complete Match
5,John,Lewis,Wethersfield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Lewis&name_x=1_1&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=_1-0,4,Complete Match
6,John,Parsons,East Lyme,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Parsons&name_x=ps_ps&residence=_east+lyme-new+london-connecticut-usa_3364&residence_x=_1-1,5,Complete Match
7,Marshfield,Parsons,East Lyme,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Marshfield_Parsons&name_x=ps_ps&residence=_east+lyme-new+london-connecticut-usa_3364&residence_x=_1-1,6,Complete Match
8,Francis,Brown,New Haven,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Francis_Brown&name_x=1_1&residence=_new haven-new+haven-connecticut-usa_3342&residence_x=_1-0,7,Complete Match
9,Joseph,Woodruff,Farmington,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Joseph_Woodruff&name_x=1_1&residence=_farmington-hartford-connecticut-usa_748&residence_x=_1-0,8 | 9,2 Potential Matches Found
10,Joseph,Woodruffe,Farmington,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Joseph_Woodruffe&name_x=s_s&residence=_farmington-hartford-connecticut-usa_748&residence_x=_1-0,8 | 9,2 Potential Matches Found
