,First Name,Last Name,Search Town,Search County,Search State,Name Type,url,Match Index,Match Status
11,Thomas,Shaw,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Thomas_Shaw&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1,10 | 11,2 Potential Matches Found
12,Samuel,Wheat,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel_Wheat&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1,12,Complete Match
13,Peleg,Sanford,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Peleg_Sanford&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-1-a,13,Complete Match
14,William,Stewart,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=William_Stewart&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1,14 | 15,2 Potential Matches Found
15,Heman,Swift,Cornwall,Litchfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Heman_Swift&name_x=1_1&residence=_cornwall-litchfield-connecticut-usa_3261&residence_x=_1-0,16,Complete Match
16,Richard,Law,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Richard_Law&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1,17,Complete Match
17,Elisha,Hinman,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Elisha_Hinman&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1,18,Complete Match
18,Bathsheba,Perow,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Bathsheba_Perow&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1,19,Complete Match
19,James,Davenport,Stamford,Fairfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=James_Davenport&name_x=1_1&residence=_stamford-fairfield-connecticut-usa_83&residence_x=_1-0,20,Complete Match
20,John,Davenport,Stamford,Fairfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Davenport&name_x=1_1&residence=_stamford-fairfield-connecticut-usa_83&residence_x=_1-0,21 | 22,2 Potential Matches Found
21,Allen,Olcott,Farmington,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Allen_Olcott&name_x=ps_ps&residence=_farmington-hartford-connecticut-usa_748&residence_x=_1-1-a,,No Match
22,Timothy,Burnham,East Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Timothy_Burnham&name_x=1_1&residence=_east hartford-hartford-connecticut-usa_405&residence_x=_1-0,23,Complete Match
23,Dan,Hill,Bristol,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Dan_Hill&name_x=1_1&residence=_bristol-hartford-connecticut-usa_95&residence_x=_1-0,24,Complete Match
24,Samuel,Marsh,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel_Marsh&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,25 | 26,2 Potential Matches Found
25,Jonathan,Trumbull,Lebanon,Windham County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Jonathan_Trumbull&name_x=1_1&residence=_lebanon-windham-connecticut-usa_3172&residence_x=_1-0,27,Complete Match
26,Isaac,Griswold,Windsor,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Isaac_Griswold&name_x=1_1&residence=_windsor-hartford-connecticut-usa_3163&residence_x=_1-0,28,Complete Match
27,Stephen,Tallmadge,Southampton,Windham County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Stephen_Tallmadge&name_x=ps_ps&residence=_windham-connecticut-usa_3172&residence_x=_1-1-a,,No Match
28,John,Kent,Suffield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Kent&name_x=1_1&residence=_suffield-hartford-connecticut-usa_2521&residence_x=_1-0,29,Complete Match
29,Richard,Douglass,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Richard_Douglass&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1,30 | 31,2 Potential Matches Found
30,Timothy,Green,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Timothy_Green&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1,32,Complete Match
31,David,White,East Hampton,Middlesex County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=David_White&name_x=ps_ps&residence=_east+hampton-middlesex-connecticut-usa_3310&residence_x=_1-1,33,Complete Match
32,Joseph,White,East Hampton,Middlesex County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Joseph_White&name_x=ps_ps&residence=_east+hampton-middlesex-connecticut-usa_3310&residence_x=_1-1,34,Complete Match
33,Jedediah,Norton,Berlin,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Jedediah_Norton&name_x=s_s&residence=_berlin-hartford-connecticut-usa_93&residence_x=_1-0,35,Complete Match
34,Ebenezer,Plummer,Glastonbury,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Ebenezer_Plummer&name_x=1_1&residence=_glastonbury-hartford-connecticut-usa_818&residence_x=_1-0,36,Complete Match
35,John,Thomas,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Thomas&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,37,Complete Match
36,Eliphalet,Lester,Old Saybrook,Middlesex County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Eliphalet_Lester&name_x=ps_ps&residence=_old+saybrook-middlesex-connecticut-usa_3322&residence_x=_1-0,38,Complete Match
37,Timothy,Peckham,,,RI,state,https://www.ancestrylibrary.com/search/collections/5058/?name=Timothy_Peckham&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=_1-0,39 | 40 | 41,3 Potential Matches Found
38,Howard,Moulton,Stafford,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Howard_Moulton&name_x=1_1&residence=_stafford-tolland-connecticut-usa_3422&residence_x=_1-0,42,Complete Match
39,John,Sellew,Glastonbury,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Sellew&name_x=1_1&residence=_glastonbury-hartford-connecticut-usa_818&residence_x=_1-0,43,Complete Match
40,Peleg,Thomas,Lebanon,Windham County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Peleg_Thomas&name_x=1_1&residence=_lebanon-windham-connecticut-usa_3172&residence_x=_1-0,44,Complete Match
41,Samuel,Gilbert,Hebron,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel_Gilbert&name_x=s_s&residence=_hebron-tolland-connecticut-usa_3413&residence_x=_1-0,45,Complete Match
42,Philip,Mortimer,Middletown,Middlesex County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Philip_Mortimer&name_x=s_s&residence=_middletown-middlesex-connecticut-usa_3320&residence_x=_1-0,46,Complete Match
43,John,Payson,,,CT,state,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Payson&name_x=1_1&residence=_Connecticut-usa_9&residence_x=_1-0,47 | 48,2 Potential Matches Found
44,George,Starr,Middletown,Middlesex County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=George_Starr&name_x=1_1&residence=_middletown-middlesex-connecticut-usa_3320&residence_x=_1-0,49,Complete Match
45,Jonathan,Edwards,New Haven,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Jonathan_Edwards&name_x=1_1&residence=_new haven-new+haven-connecticut-usa_3342&residence_x=_1-0,50,Complete Match
46,James A,Wells,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=James+A_Wells&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,51,Complete Match
47,Erastus,Wolcott,East Windsor,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Erastus_Wolcott&name_x=ps_ps&residence=_east+windsor-hartford-connecticut-usa_669&residence_x=_1-0,52 | 53,2 Potential Matches Found
48,Joseph,Olmsted,East Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Joseph_Olmsted&name_x=ps_ps&residence=_east+hartford-hartford-connecticut-usa_405&residence_x=_1-1,54,Complete Match
49,Nathan H,Whiting,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Nathan+H_Whiting&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,55,Complete Match
50,Thomas C,Green,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Thomas+C_Green&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1-a,,No Match: Too Many Potential Matches Found 6
51,John,Templeman,Boston,Suffolk County,MA,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Templeman&name_x=1_1&residence=_boston-suffolk-massachusetts-usa_4668&residence_x=_1-0,56,Complete Match
52,Ezekiel,Williams,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Ezekiel_Williams&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-1,57,Complete Match
53,Joshua,Lathrop,Norwich,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Joshua_Lathrop&name_x=ps_ps&residence=_norwich-new+london-connecticut-usa_3387&residence_x=_1-1,58,Complete Match
54,Daniel L,Coit,Norwich,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Daniel+L_Coit&name_x=ps_ps&residence=_norwich-new+london-connecticut-usa_3387&residence_x=_1-1,59 | 60,2 Potential Matches Found
55,Daniel Lathrop,Coit,Norwich,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Daniel+Lathrop_Coit&name_x=ps_ps&residence=_norwich-new+london-connecticut-usa_3387&residence_x=_1-1,59 | 60,2 Potential Matches Found
56,Jonathan,Dwight,Springfield,Hampshire County,MA,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Jonathan_Dwight&name_x=ps_ps&residence=_springfield-hampshire-west+virginia-usa_24598&residence_x=_1-1-a,,No Match
57,John,Hall,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Hall&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,61,Complete Match
58,John,Austin,New Haven,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Austin&name_x=1_1&residence=_new haven-new+haven-connecticut-usa_3342&residence_x=_1-0,62,Complete Match
59,Solomon,Wells,Wethersfield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Solomon_Wells&name_x=1_1&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=_1-0,63,Complete Match
60,Enoch,Parsons,Middletown,Middlesex County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Enoch_Parsons&name_x=ps_ps&residence=_middletown-middlesex-connecticut-usa_3320&residence_x=_1-1-a,,No Match
61,Wheeler,Coit,Preston,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Wheeler_Coit&name_x=ps_ps&residence=_preston+city-new+london-connecticut-usa_3394&residence_x=_1-1,64,Complete Match
62,Nathan,Strong,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Nathan_Strong&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,65,Complete Match
63,Hezekiah,Goodwin,Sharon,Litchfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Hezekiah_Goodwin&name_x=ps_ps&residence=_sharon-litchfield-connecticut-usa_3287&residence_x=_1-1-a,,No Match
64,andrew,Fitch,Lebanon,Windham County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=andrew_Fitch&name_x=1_1&residence=_lebanon-windham-connecticut-usa_3172&residence_x=_1-0,66,Complete Match
65,Jacob,Pratt,Somers,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Jacob_Pratt&name_x=ps_ps&residence=_central+somers-tolland-connecticut-usa_1693719&residence_x=_1-1-a,,No Match
66,Samuel W,Williams,Wethersfield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel+W_Williams&name_x=1_1&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=_1-0,67,Complete Match
67,Solomon,Wadham,Goshen,Litchfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Solomon_Wadham&name_x=ps_ps&residence=_goshen-litchfield-connecticut-usa_3265&residence_x=_1-1-a,,No Match
68,Solomon,Windham,Goshen,Litchfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Solomon_Windham&name_x=ps_ps&residence=_goshen-litchfield-connecticut-usa_3265&residence_x=_1-1-a,,No Match
69,Noadiah,Hooker,Farmington,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Noadiah_Hooker&name_x=1_1&residence=_farmington-hartford-connecticut-usa_748&residence_x=_1-0,68,Complete Match
70,Ebenezer,Miller,Torrington,Litchfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Ebenezer_Miller&name_x=ps_ps&residence=_torrington-litchfield-connecticut-usa_3292&residence_x=_1-1,69 | 70,2 Potential Matches Found
71,Thomas,Russell,Boston,Suffolk County,MA,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Thomas_Russell&name_x=1_1&residence=_boston-suffolk-massachusetts-usa_4668&residence_x=_1-0,71,Complete Match
72,David,Trumbull,Lebanon,Windham County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=David_Trumbull&name_x=1_1&residence=_lebanon-windham-connecticut-usa_3172&residence_x=_1-0,72,Complete Match
73,Richard R,Eliot,Watertown,Litchfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Richard+R_Eliot&name_x=ps_ps&residence=_watertown-litchfield-connecticut-usa_3296&residence_x=_1-1-a,,No Match
74,andrew,Huntington,Norwich,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=andrew_Huntington&name_x=ps_ps&residence=_norwich-new+london-connecticut-usa_3387&residence_x=_1-1,73 | 74,2 Potential Matches Found
75,Hannah,Huntington,Norwich,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Hannah_Huntington&name_x=ps_ps&residence=_norwich-new+london-connecticut-usa_3387&residence_x=_1-1-a,,No Match
76,Pownal,Deming,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Pownal_Deming&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-1-a,,No Match
77,Pownal,Deming Iii,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Pownal_Deming+Iii&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-1-a,,No Match
78,Elijah,Cowles,Farmington,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Elijah_Cowles&name_x=1_1&residence=_farmington-hartford-connecticut-usa_748&residence_x=_1-0,75 | 76,2 Potential Matches Found
79,Aaron,Bull,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Aaron_Bull&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,77,Complete Match
80,Charles,Phelps,Stonington,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Charles_Phelps&name_x=ps_ps&residence=_stonington-new+london-connecticut-usa_3399&residence_x=_1-1,78 | 79,2 Potential Matches Found
81,Pierpont,Bacon,Colchester,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Pierpont_Bacon&name_x=ps_ps&residence=_colchester-new+london-connecticut-usa_3363&residence_x=_1-1,80,Complete Match
82,Elias,Peck,Colchester,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Elias_Peck&name_x=ps_ps&residence=_colchester-new+london-connecticut-usa_3363&residence_x=_1-1,81,Complete Match
83,Elias,Peek,Colchester,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Elias_Peek&name_x=ps_ps&residence=_colchester-new+london-connecticut-usa_3363&residence_x=_1-1,81,Complete Match
84,John,Trumbull,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Trumbull&name_x=s_s&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,82,Complete Match
85,John,Marsh,Wethersfield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Marsh&name_x=1_1&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=_1-0,83 | 84 | 85,3 Potential Matches Found
86,Mary,Porter,Wethersfield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Mary_Porter&name_x=ps_ps&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=_1-1-a,,No Match
87,John,Warner,Wethersfield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Warner&name_x=1_1&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=_1-0,86 | 87 | 88,3 Potential Matches Found
88,Thaddeus,Burr,Fairfield,Fairfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Thaddeus_Burr&name_x=1_1&residence=_fairfield-fairfield-connecticut-usa_63&residence_x=_1-0,89,Complete Match
89,Samuel,Bishop,Bolton,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel_Bishop&name_x=s_s&residence=_bolton-tolland-connecticut-usa_3409&residence_x=_1-0,90,Complete Match
90,Augustus,Collins,Guilford,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Augustus_Collins&name_x=1_1&residence=_guilford-new+haven-connecticut-usa_3335&residence_x=_1-0,91,Complete Match
91,Samuel,Fitch,Guilford,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel_Fitch&name_x=1_1&residence=_guilford-new+haven-connecticut-usa_3335&residence_x=_1-0,92,Complete Match
92,Hannah,Hawley,Fairfield,Fairfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Hannah_Hawley&name_x=ps_ps&residence=_fairfield-fairfield-connecticut-usa_63&residence_x=_1-1-a,,No Match
93,Hannah,Howley,Fairfield,Fairfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Hannah_Howley&name_x=ps_ps&residence=_fairfield-fairfield-connecticut-usa_63&residence_x=_1-1-a,,No Match
94,Samuel,Penfield,Fairfield,Fairfield County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel_Penfield&name_x=1_1&residence=_fairfield-fairfield-connecticut-usa_63&residence_x=_1-0,93,Complete Match
95,Levi,Booth,Enfield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Levi_Booth&name_x=1_1&residence=_enfield-hartford-connecticut-usa_704&residence_x=_1-0,94,Complete Match
96,Joseph,Caren,Norwich,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Joseph_Caren&name_x=ps_ps&residence=_norwich-new+london-connecticut-usa_3387&residence_x=_1-1,95,Complete Match
97,John,Don,Plainfield,Windham County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Don&name_x=ps_ps&residence=_plainfield-windham-connecticut-usa_3452&residence_x=_1-1-a,96,Complete Match
98,John,Dow,Plainfield,Windham County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Dow&name_x=ps_ps&residence=_plainfield-windham-connecticut-usa_3452&residence_x=_1-0,97,Complete Match
99,William,Ellery,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=William_Ellery&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,98,Complete Match
100,John,Dickinson,Middletown,Middlesex County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Dickinson&name_x=1_1&residence=_middletown-middlesex-connecticut-usa_3320&residence_x=_1-0,99,Complete Match
101,Levi,Warner,Wethersfield,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Levi_Warner&name_x=1_1&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=_1-0,100,Complete Match
102,Aaron,Cadwell Ii,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Aaron_Cadwell+Ii&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,101 | 102,2 Potential Matches Found
103,Aaron,Caldwell Ii,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Aaron_Caldwell+Ii&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-1-a,,No Match
104,John,Hale,Coventry,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=John_Hale&name_x=ps_ps&residence=_coventry-tolland-connecticut-usa_3411&residence_x=_1-1,103 | 104,2 Potential Matches Found
105,Samuel,Talcott,Hartford,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Samuel_Talcott&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=_1-0,105 | 106,2 Potential Matches Found
106,James,Hillhouse,New Haven,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=James_Hillhouse&name_x=1_1&residence=_new haven-new+haven-connecticut-usa_3342&residence_x=_1-0,107,Complete Match
107,Mary,Hillhouse,New Haven,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Mary_Hillhouse&name_x=1_1&residence=_new haven-new+haven-connecticut-usa_3342&residence_x=_1-0,108,Complete Match
108,Stephen,Potter,,,NY,state,https://www.ancestrylibrary.com/search/collections/5058/?name=Stephen_Potter&name_x=1_1&residence=_New York-usa_35&residence_x=_1-0,109 | 110,2 Potential Matches Found
109,Rebecca,Woolsey,Hebron,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Rebecca_Woolsey&name_x=ps_ps&residence=_hebron-tolland-connecticut-usa_3413&residence_x=_1-1-a,,No Match
110,Theodocia,Woolsey,New Haven,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Theodocia_Woolsey&name_x=ps_ps&residence=_new+haven-new+haven-connecticut-usa_3342&residence_x=_1-1-a,,No Match
111,Theodosia,Woolsey,New Haven,New Haven County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Theodosia_Woolsey&name_x=ps_ps&residence=_new+haven-new+haven-connecticut-usa_3342&residence_x=_1-1-a,,No Match
112,Simeon,Avery,Groton,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Simeon_Avery&name_x=ps_ps&residence=_groton-new+london-connecticut-usa_3370&residence_x=_1-1,111,Complete Match
113,Lucy,Chen,New London,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Lucy_Chen&name_x=ps_ps&residence=_new+london-new+london-connecticut-usa_3381&residence_x=_1-1-a,,No Match
114,William,Talcott,Hebron,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=William_Talcott&name_x=ps_ps&residence=_hebron-tolland-connecticut-usa_3413&residence_x=_1-0,112,Complete Match
115,Willam F,Miller,Farmington,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Willam+F_Miller&name_x=ps_ps&residence=_farmington-hartford-connecticut-usa_748&residence_x=_1-1,113 | 114,2 Potential Matches Found
116,William Fowler,Miller,Farmington,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=William+Fowler_Miller&name_x=ps_ps&residence=_farmington-hartford-connecticut-usa_748&residence_x=_1-1,113 | 114,2 Potential Matches Found
117,Elijah,Gridley,Mansfield Center,Tolland County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Elijah_Gridley&name_x=ps_ps&residence=_mansfield+center-tolland-connecticut-usa_3414&residence_x=_1-1-a,115,Complete Match
118,William,Belcher,Preston,New London County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=William_Belcher&name_x=ps_ps&residence=_preston+city-new+london-connecticut-usa_3394&residence_x=_1-1-a,,No Match
119,Philip,Sellew,Glastonbury,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Philip_Sellew&name_x=ps_ps&residence=_glastonbury-hartford-connecticut-usa_818&residence_x=_1-1-a,,No Match
120,Philip,Sellow,Glastonbury,Hartford County,CT,town,https://www.ancestrylibrary.com/search/collections/5058/?name=Philip_Sellow&name_x=ps_ps&residence=_glastonbury-hartford-connecticut-usa_818&residence_x=_1-1-a,,No Match
