FIPS,State FIPS,County FIPS,SHP File Record Order Number,Area Name,Area Name (2),Qualifying Area Name,Summary Level,State/US Abbreviation,Area Name,NHGIS State FIPS,NHGIS County FIPS,NHGIS GIS JOIN FIELD,ICPSR State FIPS,ICPSR County FIPS,ICPSR FIPS,ICPSR Area Name,Land Area,Area,Total Population,Total Population,Population Density Per Square Mile,Total Area in Square Miles,White Male,White Male Age Under 16,White Male Age 16 Years and over
Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_recnum,Geo_name,Geo_name2,Geo_QName,Geo_SUMLEV,Geo_STUSAB,Geo_NHGISNAM,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_icpsrst,Geo_icpsrcty,Geo_icpsrfips,Geo_icpsrname,Geo_AREAL,Geo_SHAPE_AREA,SE_T001_001,SE_A001_002,SE_A001_001,SE_A001_003,SE_T006_001,SE_T006_002,SE_T006_003
900010,90,10,1,Fairfield County,"Fairfield County, CT","Fairfield County, Connecticut",50,CT,Fairfield,90,10,900010,1,10,9001,Fairfield,646.2923,1673889466,36290,36290,56.15106033,646.2923369,17543,8394,9149
900030,90,30,2,Hartford County,"Hartford County, CT","Hartford County, Connecticut",50,CT,Hartford,90,30,900030,1,30,9003,Hartford,717.5392,1858417906,38149,38149,53.16643582,717.5391657,18652,8844,9808
900050,90,50,3,Litchfield County,"Litchfield County, CT","Litchfield County, Connecticut",50,CT,Litchfield,90,50,900050,1,50,9005,Litchfield,1025.549,2656160553,38635,38635,37.67249326,1025.549324,19372,9237,10135
900070,90,70,4,Middlesex County,"Middlesex County, CT","Middlesex County, Connecticut",50,CT,Middlesex,90,70,900070,1,70,9007,Middlesex,360.0404,932500428.7,18828,18828,52.29412725,360.0404288,8870,4140,4730
900090,90,90,5,New Haven County,"New Haven County, CT","New Haven County, Connecticut",50,CT,New Haven,90,90,900090,1,90,9009,New Haven,590.249,1528737989,30703,30703,52.01702676,590.2490379,14684,6841,7843
900110,90,110,6,New London County,"New London County, CT","New London County, Connecticut",50,CT,New London,90,110,900110,1,110,9011,New London,601.2843,1557319128,32918,32918,54.74615124,601.2842776,15337,7148,8189
900130,90,130,7,Tolland County,"Tolland County, CT","Tolland County, Connecticut",50,CT,Tolland,90,130,900130,1,130,9013,Tolland,344.8293,893103845.4,13251,13251,38.42770646,344.8293229,6587,3138,3449
900150,90,150,8,Windham County,"Windham County, CT","Windham County, Connecticut",50,CT,Windham,90,150,900150,1,150,9015,Windham,691.2063,1790216082,28881,28881,41.78347367,691.2062944,13983,6547,7436
1000010,100,10,9,Kent County,"Kent County, DE","Kent County, Delaware",50,DE,Kent,100,10,1000010,11,10,10001,Kent,589.0506,1525633963,18920,18920,32.11948355,589.0505671,7172,3467,3705
