,Total Population,White Male,White Male Age 16 Years and over,county,state,6p_total,debtholder_county_count,mean_6p_held,debt_per_capita,debt_per_white_male
0,9197,3852,1904,Abbeville County,SC,79.68,2,39.84,0.00866369468304882,0.020685358255451716
1,13959,4474,2297,Accomack County,VA,78.33,1,78.33,0.005611433483773909,0.01750782297720161
2,75980,37644,18684,Albany County,NY,22.7,1,22.7,0.00029876283232429585,0.0006030177451917968
3,4809,2351,1068,Allegany County,MD,755.55,1,755.55,0.15711166562694945,0.32137388345384943
4,10203,5269,2524,Allegheny County,PA,7175.37,7,1025.0528571428572,0.7032608056453984,1.3618086923514898
5,22598,5992,3142,Anne Arundel County,MD,599444.3399999999,183,3275.6521311475403,26.52643331268253,100.04077770360477
6,25434,9852,5184,Baltimore County,MD,46389.355733000026,68,682.1964078382357,1.8239111320673125,4.708623196609828
7,17342,8293,4200,Barnstable County,MA,99.09,1,99.09,0.005713873832314612,0.01194863137585916
8,5405,1834,910,Beaufort County,NC,254.73,1,254.73,0.04712858464384829,0.13889312977099236
9,18753,2321,1266,Beaufort County,SC,316.02,3,105.33999999999999,0.016851703727403616,0.1361568289530375
10,13132,6727,2887,Bedford County,PA,4.89,1,4.89,0.00037237282972890645,0.0007269213616768247
11,30189,15262,7711,Berks County,PA,35086.47,31,1131.8216129032257,1.162226970088443,2.298943126719958
12,30263,15146,7356,Berkshire County,MA,1349.5,3,449.8333333333333,0.04459240656907775,0.08909943219331837
13,31696,14895,7956,Bristol County,MA,14233.800000000001,30,474.46000000000004,0.4490724381625442,0.9556092648539779
14,3211,1455,778,Bristol County,RI,8728.4,30,290.94666666666666,2.7182809093740268,5.998900343642611
15,25216,12423,6529,Bucks County,PA,15006.860000000002,25,600.2744000000001,0.5951324555837565,1.2079900185140466
16,18095,8789,4625,Burlington County,NJ,190.71,1,190.71,0.010539375518098923,0.02169871430196837
17,,,,Burlington County,PA,280.69,1,280.69,,
18,8652,2200,1091,Calvert County,MD,9468.98,4,2367.245,1.0944267221451687,4.304081818181818
19,2571,1240,631,Cape May County,NJ,62.89,2,31.445,0.024461299105406457,0.050717741935483875
20,9506,3539,1812,Caroline County,MD,413.05,2,206.525,0.04345150431306544,0.11671376094942075
21,13625,5224,2847,Cecil County,MD,65354.26000000001,13,5027.25076923077,4.7966429357798175,12.510386676875958
22,20613,4964,2565,Charles County,MD,6991.2300000000005,10,699.123,0.33916606025323826,1.4083863819500404
23,,,,Charleston County,PA,2879.48,1,2879.48,,
24,66985,8237,5060,Charleston County,SC,134231.66866600007,279,481.1170919928318,2.0039063770396366,16.296184128444832
25,10769,1326,846,Chatham County,GA,73.782729,10,7.378272900000001,0.006851400222861919,0.05564308371040724
26,28753,14575,7008,Cheshire County,NH,1252.02,6,208.67,0.043543978019684904,0.08590188679245282
27,27829,14076,7486,Chester County,PA,15967.05,28,570.2517857142857,0.5737557943152826,1.1343456947996589
28,4988,1189,638,Chowan County,NC,5513.570000000001,11,501.23363636363644,1.105366880513232,4.637148864592095
29,2392,960,444,Clarendon County,SC,218.68,2,109.34,0.09142140468227425,0.22779166666666667
30,10474,3248,1710,Craven County,NC,5639.79,10,563.979,0.5384561772006874,1.7363885467980296
31,8730,3413,1852,Cumberland County,NC,81.8,1,81.8,0.009369988545246276,0.02396718429534134
32,18208,9330,4816,Cumberland County,PA,12764.969999999998,13,981.920769230769,0.7010638181019331,1.3681639871382634
33,5220,2042,1018,Currituck County,NC,38.67,1,38.67,0.0074080459770114945,0.018937316356513224
34,18155,9085,4651,Dauphin County,PA,13750.540000000003,9,1527.837777777778,0.7573968603690445,1.5135432030820035
35,9469,4639,2530,Delaware County,PA,2536.53,4,634.1325,0.26787728376808534,0.5467837896098298
36,15875,4971,2541,Dorchester County,MD,27875.870000000003,12,2322.9891666666667,1.75596031496063,5.60769865218266
37,10265,3541,1663,Edgecombe County,NC,1788.7,2,894.35,0.1742523136872869,0.505139791019486
38,2424,963,627,Effingham County,GA,68.851733,2,34.4258665,0.02840418028052805,0.07149712668743509
39,57879,26825,14258,Essex County,MA,13804.159999999998,35,394.4045714285714,0.2385003196323364,0.5146005591798695
40,12320,4010,2138,Fairfax County,VA,711.12,2,355.56,0.05772077922077922,0.17733665835411472
41,36290,17543,9149,Fairfield County,CT,34659.380000000005,79,438.7263291139241,0.9550669605952055,1.9756814683919515
42,13318,6835,3415,Fayette County,PA,1743.32,2,871.66,0.13089953446463432,0.2550577907827359
43,15662,7895,4021,Franklin County,PA,4040.56,8,505.07,0.25798493168177755,0.5117872070930969
44,30791,14026,7010,Frederick County,MD,17918.83,40,447.97075000000007,0.58195024520152,1.2775438471410239
45,22122,4823,2356,Georgetown County,SC,10594.976666666667,15,706.3317777777778,0.4789339420787753,2.196760660722925
46,13468,7079,3768,Grafton County,NH,3370.24,7,481.4628571428571,0.2502405702405702,0.4760898431981918
47,6015,3037,1463,Greenbrier County,VA,46.02,1,46.02,0.007650872817955113,0.01515311162331248
48,14310,3699,1873,Halifax County,NC,169.49,3,56.49666666666667,0.011844164919636618,0.04582049202487159
49,59656,30118,15109,Hampshire County,MA,3357.6599999999994,8,419.7074999999999,0.05628369317419873,0.11148349824025498
50,7346,3618,1662,Hampshire County,VA,2693.4900000000002,2,1346.7450000000001,0.36666076776476997,0.744469320066335
51,14976,5684,2872,Harford County,MD,5934.12,16,370.8825,0.39624198717948717,1.0440042223786066
52,38149,18652,9808,Hartford County,CT,97163.27999999998,272,357.2179411764705,2.5469417284856743,5.209268711130173
53,12000,2993,1823,Henrico County,VA,599.81,3,199.93666666666664,0.04998416666666666,0.20040427664550617
54,5949,1637,813,Hertford County,NC,71.11,1,71.11,0.011953269457051606,0.04343921808185706
55,32883,16537,8145,Hillsborough County,NH,6914.839999999999,10,691.4839999999999,0.21028616610406592,0.41814355687246774
56,20153,9345,4966,Hunterdon County,NJ,1115.95,2,557.975,0.055373889743462516,0.11941680042803639
57,4070,754,395,James City County,VA,76.76,1,76.76,0.01885995085995086,0.10180371352785146
58,18920,7172,3705,Kent County,DE,1731.41,1,1731.41,0.09151215644820296,0.24141243725599554
