jpeg_no,state,no,letter,cert_date,cert_month,cert_year,first_name,last_name,raw_name,title,due_day,due_month,due_year,amount,90th,strike_through,note,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37
66,MA,490,I,23,12,1783,ABIATHOR,STEPHENSON,ABIATHOR STEPHENSON,,30,4,1781,32,,Ro 6749,,,,,,,,,,,,,,,,,,
66,MA,491,L,28,12,1783,EBENEZER,HOWE,EBENEZER HOWE,,14,11,1777,36,53,Ro 6515,,,,,,,,,,,,,,,,,,
66,MA,492,A,28,12,1783,SAMUEL,ROOT,SAMUEL ROOT,,25,1,1781,17,61,"Lo 150,1706",,,,,,,,,,,,,,,,,,
66,MA,493,B,28,12,1783,ISAAC,FOWLER,ISAAC FOWLER,,20,1,1781,26,60,"Lo 119,1086",,,,,,,,,,,,,,,,,,
66,MA,494,C,28,12,1783,ABNER,PRISING,ABNER PRISING,,10,1,1781,53,78,6311,,,,,,,,,,,,,,,,,,
66,MA,495,A,29,12,1783,ZEER,ROOT,ZEER ROOT,,25,1,1781,27,66,No 20,First Name not sure,,,,,,,,,,,,,,,,,
66,MA,496,B,29,12,1783,HEZEKIAH,PORTER,HEZEKIAH PORTER,Doctor,20,4,1781,5,68,Ro 6109,,,,,,,,,,,,,,,,,,
66,MA,497,C,29,12,1783,HAM,LOOMIS,HAM LOOMIS,,15,2,1781,23,42,594,,,,,,,,,,,,,,,,,,
66,MA,498,D,29,12,1783,SHEM,LOOMIS,SHEM LOOMIS,,15,2,1781,29,78,782,,,,,,,,,,,,,,,,,,
66,MA,499,E,29,12,1783,JOHN,GRANGER,JOHN GRANGER,,25,1,1781,27,18,102,,,,,,,,,,,,,,,,,,
66,MA,500,D,29,12,1783,MOSES,ROOT,MOSES ROOT,,25,1,1781,5,30,"Lo 150,1705",,,,,,,,,,,,,,,,,,
66,MA,501,E,29,12,1783,MOSES,ROOT,MOSES ROOT,,14,2,1781,13,78,"Lo 150,1705",,,,,,,,,,,,,,,,,,
66,MA,502,G,30,12,1783,SAMUEL,FARLEY,SAMUEL FARLEY,,1,4,1781,150,,Ro 5340,,,,,,,,,,,,,,,,,,
66,MA,503,N,30,12,1783,SAMUEL,GILLET,SAMUEL GILLET,,25,1,1781,27,66,Ro 6711,,,,,,,,,,,,,,,,,,
66,MA,504,P,30,12,1783,ABNER,BARLOW,ABNER BARLOW,,25,1,1781,24,48,Ro 6395,,,,,,,,,,,,,,,,,,
66,MA,505,R,30,12,1783,EDMUND,BARLOW,EDMUND BARLOW,,25,1,1781,46,84,Ro 5939,,,,,,,,,,,,,,,,,,
66,MA,506,D,30,12,1783,OLIVER,DEWEY,OLIVER DEWEY,,1,11,1781,33,30,3854,,,,,,,,,,,,,,,,,,
67,MA,507,E,30,12,1783,THOMAS,GILLET,THOMAS GILLET,,20,12,1780,52,45,No 65,,,,,,,,,,,,,,,,,,
67,MA,508,G,30,12,1783,WILLIAM,CARTER,WILLIAM CARTER,,4,2,1780,17,60,312,,,,,,,,,,,,,,,,,,
67,MA,509,N,30,12,1783,JOSHUA,LOOMIS,JOSHUA LOOMIS,,25,1,1781,56,30,"Lo 174,1868",,,,,,,,,,,,,,,,,,
67,MA,510,P,30,12,1783,JUSTICE,LOOMIS,JUSTICE LOOMIS,,4,2,1781,18,,485,Strike thorug not sure,,,,,,,,,,,,,,,,,
67,MA,511,R,31,12,1783,WILLIAM,WITCHCOOK,WILLIAM WITCHCOOK,,14,1,1781,33,60,425,,,,,,,,,,,,,,,,,,
67,MA,512,D,31,12,1783,SETH,KELLOGG,SETH KELLOGG,,4,2,1781,34,12,102,,,,,,,,,,,,,,,,,,
67,MA,513,E,31,12,1783,SAMUEL,THRALL,SAMUEL THRALL,,14,2,1781,201,60,N 133,,,,,,,,,,,,,,,,,,
67,MA,514,G,1,1,1784,JOHN,PEEBLES,JOHN PEEBLES,,20,2,1781,30,57,Ro 6393,,,,,,,,,,,,,,,,,,
67,MA,515,N,6,1,1784,SAMUEL,WARNER,SAMUEL WARNER,,28,1,1781,27,60,"Lo 119,1193",,,,,,,,,,,,,,,,,,
67,MA,516,P,12,1,1784,ROBERT,HUNTER,ROBERT HUNTER,,12,10,1781,349,79,386,,,,,,,,,,,,,,,,,,
67,MA,517,R,12,1,1784,ASAPH,DEWEY,ASAPH DEWEY,,14,1,1781,14,36,"Lo 119,1224",,,,,,,,,,,,,,,,,,
67,MA,518,D,13,1,1784,JAMES,TAYLOR,JAMES TAYLOR,,28,1,1781,27,66,102,,,,,,,,,,,,,,,,,,
67,MA,519,E,13,1,1784,JOSEPH,ROOT,JOSEPH ROOT,,4,2,1781,26,,"Lo 97,1011",,,,,,,,,,,,,,,,,,
67,MA,520,G,13,1,1784,LUKE,PHELPS,LUKE PHELPS,,1,2,1781,18,36,"Lo 182,2052",,,,,,,,,,,,,,,,,,
67,MA,521,P,14,1,1784,THADDEUS,LEONARD,THADDEUS LEONARD,,10,2,1780,26,60,782,,,,,,,,,,,,,,,,,,
67,MA,522,R,14,1,1784,JOHN,SHAW,JOHN SHAW,,20,11,1779,65,30,"Lo 8,123",,,,,,,,,,,,,,,,,,
67,MA,523,D,14,1,1784,THOMAS,ROGERS,THOMAS ROGERS,,25,11,1779,32,,794,,,,,,,,,,,,,,,,,,
67,MA,524,E,14,1,1784,JAMES,LEMMON,JAMES LEMMON,,4,12,1779,81,60,,,,,,,,,,,,,,,,,,,
67,MA,525,G,14,1,1784,DANIEL,SHAW,DANIEL SHAW,,25,5,1780,6,22,520,,,,,,,,,,,,,,,,,,
67,MA,526,N,14,1,1784,JONATHAN,SHEPPERD,JONATHAN SHEPPERD,,1,1,1781,70,64,"Lo 89,701",,,,,,,,,,,,,,,,,,
67,MA,527,P,14,1,1784,JAMES,NIMOCKS,JAMES NIMOCKS,,26,1,1781,44,24,Ro 6713,,,,,,,,,,,,,,,,,,
67,MA,528,R,14,1,1784,WILLIAM,CROOKS,WILLIAM CROOKS,,6,10,1780,13,85,530,,,,,,,,,,,,,,,,,,
67,MA,529,D,14,1,1784,ELIPHALET,WHORFIELD,ELIPHALET WHORFIELD,,14,1,1781,12,,Ro 6026,,,,,,,,,,,,,,,,,,
67,MA,530,E,15,1,1784,SETH,KNOWLES,SETH KNOWLES,,1,9,1781,89,30,Ro 5340,,,,,,,,,,,,,,,,,,
67,MA,531,G,15,1,1784,ABNER,PEASE,ABNER PEASE,,14,1,1781,14,12,Ro 5464,,,,,,,,,,,,,,,,,,
67,MA,532,N,16,1,1784,SMITH & SHELDON,,SMITH & SHELDON,,29,2,1780,300,45,Ro 5419,,,,,,,,,,,,,,,,,,
67,MA,533,P,16,1,1784,URIAH,LOOMIS,URIAH LOOMIS,,11,2,1781,27,66,"Lo 117,1868",,,,,,,,,,,,,,,,,,
67,MA,534,R,16,1,1784,ROBERT,MONTGOMERY,ROBERT MONTGOMERY,,28,2,1781,27,66,"Lo 97,1008",,,,,,,,,,,,,,,,,,
67,MA,535,D,17,1,1784,RICHARD,FRENCH,RICHARD FRENCH,,7,3,1781,27,66,Ro 6339,,,,,,,,,,,,,,,,,,
67,MA,536,E,17,1,1784,JESSE,MUNSON,JESSE MUNSON,,5,4,1779,154,,386,,,,,,,,,,,,,,,,,,
67,MA,537,G,17,1,1784,SAMUEL,GILLS,SAMUEL GILLS,,16,2,1778,32,30,929,First name not sure,,,,,,,,,,,,,,,,,
67,MA,538,N,17,1,1784,SAMUEL,BANCROFT,SAMUEL BANCROFT,,16,2,1778,32,30,4656,,,,,,,,,,,,,,,,,,
67,MA,539,P,21,1,1784,JOHN,BANCROFT,JOHN BANCROFT,,29,2,1780,41,7,"Lo 119,1224",,,,,,,,,,,,,,,,,,
67,MA,540,E,22,1,1784,EAGER,NOBLE,EAGER NOBLE,,4,2,1781,52,,"Lo 119,1224",,,,,,,,,,,,,,,,,,
67,MA,541,N,22,1,1784,JACOB,NOBLE,JACOB NOBLE,,13,1,1781,21,,"Lo 97,752",,,,,,,,,,,,,,,,,,
67,MA,542,P,22,1,1784,SETH,KELLOGG,SETH KELLOGG,,5,7,1780,23,13,102,,,,,,,,,,,,,,,,,,
68,MA,543,R,24,1,1784,EDWARD,SOLE,EDWARD SOLE,,15,10,1780,5,30,5543,,,,,,,,,,,,,,,,,,
68,MA,544,D,24,1,1784,TYLER,LANABE,TYLER LANABE,,8,1,1781,12,,102,,,,,,,,,,,,,,,,,,
68,MA,545,E,24,1,1784,JOHN,CAMPBELL,JOHN CAMPBELL,,16,2,1781,13,78,"Lo 97,1007",,,,,,,,,,,,,,,,,,
68,MA,546,G,24,1,1784,THOMAS,JONES,THOMAS JONES,,21,11,1777,121,30,"Lo 6,135",,,,,,,,,,,,,,,,,,
68,MA,547,N,29,1,1784,JONATHAN,MERRICK,JONATHAN MERRICK,,4,5,1777,16,,683,,,,,,,,,,,,,,,,,,
68,MA,548,P,30,1,1784,DAVID,BLACK,DAVID BLACK,,28,1,1781,26,60,"Lo 38,254",,,,,,,,,,,,,,,,,,
68,MA,549,R,30,1,1784,ABNER,RANNEY,ABNER RANNEY,,28,1,1781,42,60,Ro 6520,Last name not sure,,,,,,,,,,,,,,,,,
68,MA,550,D,30,1,1784,JAMES,MOOR,JAMES MOOR,,28,1,1781,82,60,Ro 6026,,,,,,,,,,,,,,,,,,
68,MA,551,E,2,2,1784,GIDEON,KING,GIDEON KING,,19,11,1780,62,84,Ro 6312,,,,,,,,,,,,,,,,,,
68,MA,552,G,2,2,1784,MARTIN,ROOT,MARTIN ROOT,,29,2,1780,3,49,1744,,,,,,,,,,,,,,,,,,
68,MA,553,N,2,2,1784,BLACKLEACH,FOWLER,BLACKLEACH FOWLER,,4,2,1781,26,,102,,,,,,,,,,,,,,,,,,
68,MA,554,P,2,2,1784,SOLOMON,DEWEY,SOLOMON DEWEY,,14,1,1781,13,30,"Lo 97,738",,,,,,,,,,,,,,,,,,
68,MA,555,R,3,2,1784,JEDEDIAH,BLISS,JEDEDIAH BLISS,,25,2,1780,63,30,"Lo 174,1866",,,,,,,,,,,,,,,,,,
68,MA,556,D,3,2,1784,SETH,REMMINGTON,SETH REMMINGTON,,4,2,1781,50,,"Lo 38,147",,,,,,,,,,,,,,,,,,
68,MA,557,E,3,2,1784,EARL,BANCROFT,EARL BANCROFT,,29,2,30,30,,"Lo 150,1716",,,,,,,,,,,,,,,,,,
68,MA,558,G,3,2,1784,TEDEIAH,BLISS,TEDEIAH BLISS,,27,10,1781,6,30,"Lo 38,156",,,,,,,,,,,,,,,,,,
68,MA,559,N,4,2,1784,ENOS,STONE,ENOS STONE,,20,7,1780,20,,74,,,,,,,,,,,,,,,,,,
68,MA,560,P,4,2,1784,TOMES,GUTHRIE,TOMES GUTHRIE,,1,10,1781,51,76,2415,,,,,,,,,,,,,,,,,,
68,MA,561,R,4,2,1784,CALEB,HYDE,CALEB HYDE,,1,12,1781,13,,Ro 5745,,,,,,,,,,,,,,,,,,
68,MA,562,D,4,2,1784,EZRA,SACKET,EZRA SACKET,,26,1,1781,27,18,3854,,,,,,,,,,,,,,,,,,
68,MA,563,E,4,2,1784,TON,HALE,TON HALE,,10,2,1781,36,60,782,,,,,,,,,,,,,,,,,,
68,MA,564,G,5,2,1784,ELIJAH,DAY,ELIJAH DAY,,20,12,1781,18,,5543,,,,,,,,,,,,,,,,,,
68,MA,565,N,5,2,1784,MARY,LEONARD,MARY LEONARD,,24,8,1781,13,30,594,,,,,,,,,,,,,,,,,,
68,MA,566,P,5,2,1784,DAVID,CAMPBELL,DAVID CAMPBELL,,15,11,1781,43,35,Lo 651,,,,,,,,,,,,,,,,,,
68,MA,567,R,5,2,1784,JONATHAN,NORTON,JONATHAN NORTON,,10,2,1781,18,30,"Lo 182,2057",,,,,,,,,,,,,,,,,,
68,MA,568,A,5,2,1784,JACOB,COOK,JACOB COOK,,14,2,1779,172,48,6591,,,,,,,,,,,,,,,,,,
68,MA,569,B,5,2,1784,PHINEAS,LEONARD,PHINEAS LEONARD,,4,2,1781,17,,No 20,,,,,,,,,,,,,,,,,,
68,MA,570,C,5,2,1784,ABEL,MORLEY,ABEL MORLEY,,6,2,1781,17,30,782,,,,,,,,,,,,,,,,,,
68,MA,571,H,7,2,1784,JOHN J.,SIKDMORE,JOHN J. SIKDMORE,,1,9,1781,222,,"Lo 97,852",,,,,,,,,,,,,,,,,,
68,MA,572,I,9,2,1784,STEPHEN,NOBLE,STEPHEN NOBLE,,16,2,1781,75,54,6714,,,,,,,,,,,,,,,,,,
68,MA,573,L,9,2,1784,AZAIAH,ASHLEY,AZAIAH ASHLEY,,30,12,1781,110,64,5922,,,,,,,,,,,,,,,,,,
68,MA,574,A,13,2,1784,BENJAMIN,WARRINER,BENJAMIN WARRINER,,22,3,1780,21,60,"Lo 165,1788",,,,,,,,,,,,,,,,,,
68,MA,575,B,13,2,1784,JOHN,SHAW,JOHN SHAW,,15,7,1780,47,81,6591,,,,,,,,,,,,,,,,,,
69,MA,576,C,17,2,1784,LEVI,SHEPHERD,LEVI SHEPHERD,,16,4,1782,12,45,Ro 6409,,,,,,,,,,,,,,,,,,
69,MA,577,H,17,2,1784,JOHN SCOTT,CLARK,JOHN SCOTT CLARK,,26,1,1781,36,24,Ro 5098,,,,,,,,,,,,,,,,,,
69,MA,578,I,17,2,1784,JOHN,BLAW,JOHN BLAW,,13,5,1780,8,67,"Lo 150,1699",,,,,,,,,,,,,,,,,,
69,MA,579,L,17,2,1784,JAMES,WARRINER,JAMES WARRINER,,8,4,1780,40,27,"Lo 38,167",,,,,,,,,,,,,,,,,,
69,MA,580,A,17,2,1784,OBEDIAH,BUSH,OBEDIAH BUSH,,1,8,1780,24,38,Ro 6699,,,,,,,,,,,,,,,,,,
69,MA,581,B,17,2,1784,REUBEN,BORIS,REUBEN BORIS,,28,1,1781,38,84,Ro 6311,,,,,,,,,,,,,,,,,,
69,MA,582,C,17,2,1784,JOHN,ADAMS,JOHN ADAMS,,29,1,1781,27,66,Ro 6567,,,,,,,,,,,,,,,,,,
69,MA,583,H,17,2,1784,ISAAC,COIT,ISAAC COIT,,30,8,1781,15,52,"Lo 144,1614",,,,,,,,,,,,,,,,,,
69,MA,584,I,19,2,1784,BUCKLEY,CADWELL,BUCKLEY CADWELL,,7,12,1779,64,60,129,,,,,,,,,,,,,,,,,,
69,MA,585,L,19,2,1784,COCHRAN,KNOX,COCHRAN KNOX,,21,8,1780,11,25,530,,,,,,,,,,,,,,,,,,
69,MA,586,A,19,2,1784,WILLIAM,KNOX,WILLIAM KNOX,,25,1,1781,21,78,530,,,,,,,,,,,,,,,,,,
69,MA,587,B,19,2,1784,JOHN,COCHRAN,JOHN COCHRAN,,20,9,1779,56,36,530,,,,,,,,,,,,,,,,,,
69,MA,588,C,19,2,1784,ISAREL,ROOT,ISAREL ROOT,,11,2,1781,20,72,2692,,,,,,,,,,,,,,,,,,
69,MA,589,H,19,2,1784,ALEXANDER,NORTON,ALEXANDER NORTON,,25,1,1781,19,66,530,,,,,,,,,,,,,,,,,,
69,MA,590,I,19,2,1784,DAVID,SCOTT,DAVID SCOTT,,25,1,1781,19,66,Ro 6416,,,,,,,,,,,,,,,,,,
69,MA,591,L,19,2,1784,JAMES,CROOKS,JAMES CROOKS,,25,1,1781,19,66,Lo 530,,,,,,,,,,,,,,,,,,
69,MA,592,A,19,2,1784,PHILEMON,DOOLITTLE,PHILEMON DOOLITTLE,,13,2,1781,16,,Ro 6591,,,,,,,,,,,,,,,,,,
69,MA,593,B,19,2,1784,SHEM,TRUMAN,SHEM TRUMAN,,13,2,1781,14,60,N65,,,,,,,,,,,,,,,,,,
69,MA,594,C,19,2,1784,JOHN,HALE,JOHN HALE,,16,4,1782,5,,Lo 1741866,,,,,,,,,,,,,,,,,,
69,MA,595,H,20,2,1784,AUSTIN,BROOKS,AUSTIN BROOKS,,1,10,1781,171,30,Ro 5346,,,,,,,,,,,,,,,,,,
69,MA,596,I,20,2,1784,DAVID,HODGES,DAVID HODGES,,6,2,1781,73,30,W20,,,,,,,,,,,,,,,,,,
69,MA,597,L,20,2,1784,ABNER,ROSE,ABNER ROSE,,1,2,1780,14,17,Ro 6026,,,,,,,,,,,,,,,,,,
69,MA,598,H,20,2,1784,OLIVER,CHAPIN,OLIVER CHAPIN,,24,5,1780,5,81,Ro 6782,,,,,,,,,,,,,,,,,,
69,MA,599,I,21,2,1784,TOSIAH,CHAPIN,TOSIAH CHAPIN,,23,6,1780,,81,"Lo 97,827",,,,,,,,,,,,,,,,,,
69,MA,600,L,21,2,1784,WILLIAM,KNOX,WILLIAM KNOX,,6,10,1780,13,80,"Lo 97,1008",,,,,,,,,,,,,,,,,,
69,MA,601,A,21,2,1784,WILLIAM,KNOX,WILLIAM KNOX,,11,1,1781,28,24,799,,,,,,,,,,,,,,,,,,
69,MA,602,H,21,2,1784,ELIJAH,KNOX,ELIJAH KNOX,,6,10,1780,13,80,3792,,,,,,,,,,,,,,,,,,
69,MA,603,C,23,2,1784,CHANCEY,TAYLOR,CHANCEY TAYLOR,,27,1,1781,31,78,6419,,,,,,,,,,,,,,,,,,
69,MA,604,H,23,2,1784,THOMAS,TAYLOR,THOMAS TAYLOR,,27,1,1781,7,60,782,,,,,,,,,,,,,,,,,,
69,MA,605,I,23,2,1784,JOSEPH,LYMAN,JOSEPH LYMAN,,16,4,1782,1,22,4859,,,,,,,,,,,,,,,,,,
69,MA,606,L,23,2,1784,EBENEZER,RAMRILL,EBENEZER RAMRILL,,16,4,1782,1,22,"Lo 150,1647",,,,,,,,,,,,,,,,,,
69,MA,607,A,23,2,1784,ABNER,LEXTON,ABNER LEXTON,,14,1,1781,13,46,"Lo 165,1788",,,,,,,,,,,,,,,,,,
69,MA,608,B,24,2,1784,JOHN,STEAMS,JOHN STEAMS,Doctor,1,1,1778,90,89,"Lo 150,1710",,,,,,,,,,,,,,,,,,
70,MA,609,C,24,2,1784,BENJAMIN,SHELDON,BENJAMIN SHELDON,,16,2,1781,52,72,,,,,,,,,,,,,,,,,,,
70,MA,610,H,24,2,1784,SHADRACH,NOBLE,SHADRACH NOBLE,,28,1,1781,36,36,,,,,,,,,,,,,,,,,,,
70,MA,611,I,25,2,1784,MOSES,PHELPS,MOSES PHELPS,,11,1,1781,27,36,312,,,,,,,,,,,,,,,,,,
70,MA,612,L,25,2,1784,EBENEZER,BARRELL,EBENEZER BARRELL,,20,6,1778,31,79,No 8,,,,,,,,,,,,,,,,,,
70,MA,613,A,25,2,1784,JAMES,BAKER,JAMES BAKER,,17,11,1779,83,17,No 8,,,,,,,,,,,,,,,,,,
70,MA,614,B,25,2,1784,MOSES,KELLOGG,MOSES KELLOGG,,1,6,1781,11,79,No 8,,,,,,,,,,,,,,,,,,
70,MA,615,C,26,2,1784,JAMES,BAKER,JAMES BAKER,,17,11,1779,60,26,No 8,,,,,,,,,,,,,,,,,,
70,MA,616,A,26,2,1784,JOSEPH,BAIRD,JOSEPH BAIRD,,26,1,1781,26,,"Lo 97,1031",,,,,,,,,,,,,,,,,,
70,MA,617,B,26,2,1784,SOLOMON,FERGUSSON,SOLOMON FERGUSSON,,10,9,1780,9,7,386,,,,,,,,,,,,,,,,,,
70,MA,618,C,26,2,1784,STEPHAN,HITCHCOCK,STEPHAN HITCHCOCK,,30,9,1780,2,45,"Lo 73,360",,,,,,,,,,,,,,,,,,
70,MA,619,H,28,2,1784,DAVID,DICKENSON,DAVID DICKENSON,,16,4,1782,3,67,,,,,,,,,,,,,,,,,,,
70,MA,620,I,1,3,1784,JOHN,LANCKTON,JOHN LANCKTON,,20,1,1781,41,49,"Lo 174,1866",,,,,,,,,,,,,,,,,,
70,MA,621,L,2,3,1784,JOHN,ADAMS,JOHN ADAMS,,18,2,1781,38,,"Lo 150,318",,,,,,,,,,,,,,,,,,
70,MA,622,A,3,3,1784,AARON,PARSONS,AARON PARSONS,,25,5,1780,5,60,"Lo 150,318",,,,,,,,,,,,,,,,,,
70,MA,623,B,3,3,1784,SAMUEL,CARNAHAN,SAMUEL CARNAHAN,,22,8,1780,33,30,Ro 5939,,,,,,,,,,,,,,,,,,
70,MA,624,C,3,3,1784,CHILIAB,MERRIC,CHILIAB MERRIC,,10,6,1780,14,53,1009,,,,,,,,,,,,,,,,,,
70,MA,625,H,3,3,1784,DANIEL,TAYLOR,DANIEL TAYLOR,,12,2,1781,25,31,386,,,,,,,,,,,,,,,,,,
70,MA,626,I,4,3,1784,JONATHAN,CHARLES,JONATHAN CHARLES,,30,9,1780,12,45,"Lo 73,339",,,,,,,,,,,,,,,,,,
70,MA,627,L,8,3,1784,ISRAEL,DERVEY,ISRAEL DERVEY,,14,1,1781,13,46,102,,,,,,,,,,,,,,,,,,
70,MA,628,A,8,3,1784,GEORGE,LEONARD,GEORGE LEONARD,,4,2,1781,17,30,"Lo 97,822",,,,,,,,,,,,,,,,,,
70,MA,629,B,9,3,1784,JOHN,FERGUSON,JOHN FERGUSON,,30,9,1777,10,,Ro 6571,,,,,,,,,,,,,,,,,,
70,MA,630,C,10,3,1784,DAVID,OSBORN,DAVID OSBORN,,1,8,1780,92,45,Ro 6571,,,,,,,,,,,,,,,,,,
70,MA,631,H,10,3,1784,WILLIAM,STEWART,WILLIAM STEWART,,26,1,1781,29,78,Ro 6325,,,,,,,,,,,,,,,,,,
70,MA,632,C,10,3,1784,ELI,BROWN,ELI BROWN,,10,6,1781,4,45,"Lo 38,148",,,,,,,,,,,,,,,,,,
70,MA,633,H,10,3,1784,SIMEON,GRANGER,SIMEON GRANGER,,6,4,1781,3,,"Lo 73,467",,,,,,,,,,,,,,,,,,
70,MA,634,I,10,3,1784,REUBEN,SMITH,REUBEN SMITH,,16,3,1781,5,22,"Lo 38,148",,,,,,,,,,,,,,,,,,
70,MA,635,L,10,3,1784,DAVID,DEMONS,DAVID DEMONS,,24,3,1781,1,45,"Lo 73,318",,,,,,,,,,,,,,,,,,
70,MA,636,A,10,3,1784,ELIJAH,CRANE,ELIJAH CRANE,,1,3,1781,5,11,"Lo 38,254",,,,,,,,,,,,,,,,,,
70,MA,637,B,10,3,1784,JOSIAH,HILLMAN,JOSIAH HILLMAN,,30,5,1781,1,30,"Lo 38,148",,,,,,,,,,,,,,,,,,
70,MA,638,C,10,3,1784,GEORGE,MANLEY,GEORGE MANLEY,,15,11,1780,16,,"Lo 38,254",,,,,,,,,,,,,,,,,,
70,MA,639,D,10,3,1784,GIDEON,WRIGHT,GIDEON WRIGHT,,13,9,1780,9,67,"Lo 38,254",,,,,,,,,,,,,,,,,,
71,MA,640,E,9,3,1784,SAMUEL,SMITH,SAMUEL SMITH,,14,10,1780,14,13,404,,,,,,,,,,,,,,,,,,
71,MA,641,G,10,3,1784,FRANCIS,DODGE,FRANCIS DODGE,,10,11,1780,43,,"Lo 38,148",,,,,,,,,,,,,,,,,,
71,MA,642,N,10,3,1784,BENAJAH,HOUSE,BENAJAH HOUSE,,24,4,1781,8,37,"Lo 73,148",,,,,,,,,,,,,,,,,,
71,MA,643,P,10,3,1784,CALEB,BUSH,CALEB BUSH,,13,6,1781,10,45,"Lo 38,254",,,,,,,,,,,,,,,,,,
71,MA,644,R,10,3,1784,JONATHAN,HARMAN,JONATHAN HARMAN,,20,9,1780,6,40,1497,,,,,,,,,,,,,,,,,,
71,MA,645,D,10,3,1784,NATHANIEL,PAIN,NATHANIEL PAIN,,1,11,1780,23,15,2358,,,,,,,,,,,,,,,,,,
71,MA,646,E,10,3,1784,JOHN,HUBBARD,JOHN HUBBARD,,13,11,1780,22,35,"Lo 73,318",,,,,,,,,,,,,,,,,,
71,MA,647,G,11,3,1784,OBIDIAH,WARD,OBIDIAH WARD,,13,11,1780,10,22,No 146,,,,,,,,,,,,,,,,,,
71,MA,648,N,11,3,1784,JONATHAN,HARMON,JONATHAN HARMON,,28,11,1780,4,45,1497,,,,,,,,,,,,,,,,,,
71,MA,649,P,11,3,1784,JACOB,JOHNSON,JACOB JOHNSON,,5,10,1780,10,71,"Lo 165,1788",,,,,,,,,,,,,,,,,,
71,MA,650,R,11,3,1784,THOMPSON,RAWSON,THOMPSON RAWSON,,4,6,1781,22,45,191,,,,,,,,,,,,,,,,,,
71,MA,651,D,11,3,1784,JONATHAN,SHEPERD,JONATHAN SHEPERD,,23,3,1781,4,22,380,,,,,,,,,,,,,,,,,,
71,MA,652,E,11,3,1784,ELEAZER,TAYLOR,ELEAZER TAYLOR,,18,11,1780,12,,668,,,,,,,,,,,,,,,,,,
71,MA,653,G,11,3,1784,JOSEPH,STRONG,JOSEPH STRONG,,10,3,1781,14,23,"Lo 138,1503",,,,,,,,,,,,,,,,,,
71,MA,654,N,11,3,1784,THOMAS,JONES,THOMAS JONES,,5,7,1781,10,9,844,,,,,,,,,,,,,,,,,,
71,MA,655,P,11,3,1784,ELISHA,SHELDON,ELISHA SHELDON,,31,12,1780,21,22,678,,,,,,,,,,,,,,,,,,
71,MA,656,R,11,3,1784,JOHN,CORNISH,JOHN CORNISH,,18,2,1781,6,15,"Lo 38,147",,,,,,,,,,,,,,,,,,
71,MA,657,D,12,3,1784,ANAN,HARMON,ANAN HARMON,,15,2,1781,11,75,665,,,,,,,,,,,,,,,,,,
71,MA,658,E,12,3,1784,JOHN,COLLIER,JOHN COLLIER,,21,4,1781,30,30,Ro 650,,,,,,,,,,,,,,,,,,
71,MA,659,G,12,3,1784,SAMUEL,PHELPS,SAMUEL PHELPS,,28,1,1781,1,,,,,,,,,,,,,,,,,,,,
71,MA,660,N,12,3,1784,BENJAMIN,CORNISH,BENJAMIN CORNISH,,25,10,1780,6,,678,,,,,,,,,,,,,,,,,,
71,MA,661,P,12,3,1784,SAMUEL,WARNER,SAMUEL WARNER,,28,12,1780,1,22,2858,,,,,,,,,,,,,,,,,,
71,MA,662,R,12,3,1784,ELISHA,HARMON,ELISHA HARMON,Jun,9,2,1781,8,45,191,,,,,,,,,,,,,,,,,,
71,MA,663,D,12,3,1784,RICHARD,BRYANT,RICHARD BRYANT,,11,6,1781,5,37,N 7,,,,,,,,,,,,,,,,,,
71,MA,664,E,12,3,1784,SAMUEL,SHELDON,SAMUEL SHELDON,,5,2,1781,5,68,380,,,,,,,,,,,,,,,,,,
71,MA,665,G,13,3,1784,NATHAN,SHEPHERD,NATHAN SHEPHERD,,23,3,1781,4,22,"Lo 119,1179",,,,,,,,,,,,,,,,,,
71,MA,666,D,13,3,1784,ASA,HARMON,ASA HARMON,,15,5,1780,39,34,Ro 6769,,,,,,,,,,,,,,,,,,
71,MA,667,E,13,3,1784,FRANCIS,BRIGHAM,FRANCIS BRIGHAM,,22,8,1780,15,87,191,,,,,,,,,,,,,,,,,,
71,MA,668,G,13,3,1784,NOAH,ALLEN,NOAH ALLEN,,1,12,1781,57,,"Lo 165,1809",,,,,,,,,,,,,,,,,,
71,MA,669,N,13,3,1784,JOHN,CHADWICK,JOHN CHADWICK,,1,8,1781,5,,Ro 6542,,,,,,,,,,,,,,,,,,
71,MA,670,P,13,3,1784,JONATHAN,NORTON,JONATHAN NORTON,,16,6,1777,36,40,Ro6526,,,,,,,,,,,,,,,,,,
71,MA,671,R,13,3,1784,LUTHER,KING,LUTHER KING,,20,3,1780,7,31,"Lo 119,1209",,,,,,,,,,,,,,,,,,
71,MA,672,D,13,3,1784,THOMAS,KING,THOMAS KING,,3,4,1780,42,45,Ro 6375,,,,,,,,,,,,,,,,,,
72,MA,673,E,13,3,1784,GAIRUS,BREWER,GAIRUS BREWER,,15,8,1780,2,5,"Lo 150,1704",,,,,,,,,,,,,,,,,,
72,MA,674,G,14,3,1784,ABNER,WARRINER,ABNER WARRINER,,12,7,1780,2,64,Ro 6345,,,,,,,,,,,,,,,,,,
