jpeg_no,state,no,letter,cert_date,cert_month,cert_year,first_name,last_name,raw_name,title,due_day,due_month,due_year,amount,90th,strike_through,note,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37
53,MA,36,H,27,8,1783,SAMUEL,ADAMS,SAMUEL ADAMS,,29,6,1782,33,30,,,,,,,,,,,,,,,,,,,
53,MA,37,I,27,8,1783,WILLIAM,THOMPSON,WILLIAM THOMPSON,,16,4,1782,27,45,Ro 6216,,,,,,,,,,,,,,,,,,
53,MA,38,L,27,8,1783,HANNAH,CHAPMAN,HANNAH CHAPMAN,,16,4,1782,6,22,,,,,,,,,,,,,,,,,,,
53,MA,39,H,29,8,1783,ISRAEL,BEALS,ISRAEL BEALS,,31,1,1782,79,30,"Lo 137,1389",,,,,,,,,,,,,,,,,,
53,MA,40,I,29,8,1783,JOHN,MARSTON,JOHN MARSTON,,16,4,1782,25,,Ro 5340,,,,,,,,,,,,,,,,,,
53,MA,41,R,29,8,1783,THOMAS,WALLEY,THOMAS WALLEY,,16,4,1782,58,67,"Lo 38,268",,,,,,,,,,,,,,,,,,
53,MA,42,R,29,8,1783,JONATHAN,WILLIAMS,JONATHAN WILLIAMS,,16,4,1782,85,,1577,,,,,,,,,,,,,,,,,,
53,MA,43,B,29,8,1783,SAMUEL A.,OTIS,SAMUEL A. OTIS,,16,4,1782,10,,"Lo 97,731",,,,,,,,,,,,,,,,,,
53,MA,44,D,29,8,1783,THOMAS,WALLEY,THOMAS WALLEY,,16,4,1782,36,22,306,,,,,,,,,,,,,,,,,,
53,MA,45,H,30,8,1783,SAMUEL,LORD,SAMUEL LORD,,16,5,1782,296,,"Lo 89,526",,,,,,,,,,,,,,,,,,
53,MA,46,C,30,8,1783,NATHANIEL,BARBER,NATHANIEL BARBER,,16,4,1782,17,45,Ro 655,,,,,,,,,,,,,,,,,,
53,MA,47,D,30,8,1783,WILLIAM,SIMPSON,WILLIAM SIMPSON,,16,4,1782,33,67,373,,,,,,,,,,,,,,,,,,
53,MA,48,E,30,8,1783,EBENEZER,BATTELLE,EBENEZER BATTELLE,,16,4,1782,47,45,Ro 5222,,,,,,,,,,,,,,,,,,
53,MA,49,B,1,9,1783,GEORGE W.,KENNEY,GEORGE W. KENNEY,,16,4,1782,10,,644,,,,,,,,,,,,,,,,,,
53,MA,50,C,1,9,1783,THOMAS,STICKNEY,THOMAS STICKNEY,,16,4,1782,10,,Ro 6325,,,,,,,,,,,,,,,,,,
53,MA,51,G,1,9,1783,RICHARD,HALL,RICHARD HALL,,16,4,1782,5,,"Lo 209,2147",,,,,,,,,,,,,,,,,,
53,MA,52,I,1,9,1783,BENJAMIN,HAMMELL,BENJAMIN HAMMELL,,16,4,1782,7,45,Ro 5098,,,,,,,,,,,,,,,,,,
53,MA,53,J,1,9,1783,ROBERT,WILLIAMS,ROBERT WILLIAMS,,16,4,1782,12,45,Ro 6393,,,,,,,,,,,,,,,,,,
53,MA,54,A,2,9,1783,JOHN,COLBURN,JOHN COLBURN,,16,4,1782,6,22,Ro 5418,,,,,,,,,,,,,,,,,,
53,MA,55,N,2,9,1783,AMASA,DAVIS,AMASA DAVIS,,16,4,1782,7,45,"Lo 119,1126",,,,,,,,,,,,,,,,,,
53,MA,56,C,2,9,1783,ELEANOR,STEPHENSON,ELEANOR STEPHENSON,,16,4,1782,7,45,"Lo 182,2068",,,,,,,,,,,,,,,,,,
53,MA,57,H,2,9,1783,ISABELLA,DRAYTON,ISABELLA DRAYTON,,16,4,1782,10,,Ro 6070,,,,,,,,,,,,,,,,,,
53,MA,58,I,2,9,1783,COLL JOSEPH,WEBB,COLL JOSEPH WEBB,Lt,7,4,1782,66,60,"Lo 73,340",,,,,,,,,,,,,,,,,,
53,MA,59,L,2,9,1783,SAMUEL,BROOME,SAMUEL BROOME,,16,4,1782,21,22,Ro 5037,,,,,,,,,,,,,,,,,,
53,MA,60,A,2,9,1783,JOHN,STOREY,JOHN STOREY,,31,12,1779,105,24,Ro 5098,,,,,,,,,,,,,,,,,,
53,MA,61,P,2,9,1783,WILLIAM,VERNON,WILLIAM VERNON,,16,4,1782,8,67,Ro 6393,,,,,,,,,,,,,,,,,,
53,MA,62,H,3,9,1783,JOHN,TILESTON,JOHN TILESTON,,16,4,1782,15,,568,,,,,,,,,,,,,,,,,,
53,MA,63,I,3,9,1783,LEWIS,JENKINS,LEWIS JENKINS,,16,4,1782,7,45,"Lo 137,1375",,,,,,,,,,,,,,,,,,
53,MA,64,R,3,9,1783,MOSES,NOYES,MOSES NOYES,,16,4,1782,6,22,"Lo 119,1209",,,,,,,,,,,,,,,,,,
54,MA,65,A,3,9,1783,JEREMIAH,GREEN,JEREMIAH GREEN,,16,4,1782,3,67,"Lo 174,1860",,,,,,,,,,,,,,,,,,
54,MA,66,B,3,9,1783,BENJAMIN,WEBB,BENJAMIN WEBB,,16,4,1782,11,22,Ro 5939,,,,,,,,,,,,,,,,,,
54,MA,67,C,3,9,1783,NORTON,BRAILSFORD,NORTON BRAILSFORD,,16,4,1782,5,,"Lo 89,653",,,,,,,,,,,,,,,,,,
54,MA,68,H,3,9,1783,THOMAS,BREWER,THOMAS BREWER,,16,4,1782,6,22,Ro 6707,,,,,,,,,,,,,,,,,,
54,MA,69,I,3,9,1783,JOSEPH,GOOCH,JOSEPH GOOCH,,16,4,1782,7,45,563,,,,,,,,,,,,,,,,,,
54,MA,70,L,3,9,1783,CHARLES,HOMER,CHARLES HOMER,,16,4,1782,5,,N 102,,,,,,,,,,,,,,,,,,
54,MA,71,H,3,9,1783,EPHRAIM,COPELAND,EPHRAIM COPELAND,,16,4,1782,5,,Lo 89651,,,,,,,,,,,,,,,,,,
54,MA,72,I,3,9,1783,JOHN,FENNO,JOHN FENNO,Jun,16,4,1782,5,,Ro 6391,,,,,,,,,,,,,,,,,,
54,MA,73,L,3,9,1783,JOHN,GRIFFITH,JOHN GRIFFITH,,16,4,1782,11,22,Ro 5470,,,,,,,,,,,,,,,,,,
54,MA,74,N,3,9,1783,BATTERY,POWERS,BATTERY POWERS,,16,4,1782,17,45,"Lo 137,1306",,,,,,,,,,,,,,,,,,
54,MA,75,P,3,9,1783,COLL JOSEPH,WEBB,COLL JOSEPH WEBB,,16,4,1782,8,67,"Lo 73,340",,,,,,,,,,,,,,,,,,
54,MA,76,R,3,9,1783,GEORGE,MILES,GEORGE MILES,,16,4,1782,8,67,Ro 6393,,,,,,,,,,,,,,,,,,
54,MA,77,N,3,9,1783,ALEXANDER,EDWARDS,ALEXANDER EDWARDS,,16,4,1782,15,,"Lo 97,900",,,,,,,,,,,,,,,,,,
54,MA,78,P,3,9,1783,OLIVER,WISSWALL,OLIVER WISSWALL,,16,4,1782,10,,541,,,,,,,,,,,,,,,,,,
54,MA,79,R,3,9,1783,SAMUEL,EMERY,SAMUEL EMERY,,16,4,1782,7,45,1206,,,,,,,,,,,,,,,,,,
54,MA,80,D,3,9,1783,JANE,THOMPSON,JANE THOMPSON,,16,4,1782,10,,Ro 6216,,,,,,,,,,,,,,,,,,
54,MA,81,E,3,9,1783,THOMAS,DROWNE,THOMAS DROWNE,,16,4,1782,3,67,Ro 5418,,,,,,,,,,,,,,,,,,
