Page,JPEG number,Number,Letter,Date of the Certificate Month,Day,Year,raw_first_name_1,raw_last_name_1,raw_name,Title,Time when the debt became due Month,Day2,Year2,Amount Dollars,90th,Total Dollars,Column,Line Strike Thorugh? Yes?,Note,Notes
,238,391,R,4,17,1787,JOHN SHAW,,JOHN SHAW,,1,23,1779,3,65,Reg 6393,,1,RO,
,238,392,H,4,18,1787,GEORGE,HOUSE,GEORGE HOUSE,,9,3,1780,1047,2,Reg 5972,,1,Ro,
,238,393,I,4,20,1787,JOSEPH,WEST,JOSEPH WEST,,8,7,1781,135,45,,,1,N 75,
,238,394,L,4,27,1787,THOMAS,THOMPSON,THOMAS THOMPSON,,4,1,1783,102,9,Reg 5435,,1,RO,
,238,395,A,4,28,1787,SAMUEL,NICHOLSON,SAMUEL NICHOLSON,,3,1,1778,400,,do 6046,,1,RO,
,238,396,B,4,28,1787,SAMUEL,NICHOLSON,,,1,25,1781,1770,43,do 6597,,1,RO,
,238,397,C,4,30,1787,SAMUEL,NICHOLSON,,,3,1,1778,228,51,Reg 6053,,1,RO,
,238,398,H,4,30,1787,SAMUEL,NICHOLSON,,,8,14,1778,1806,72,,,1,"Lo 137,1278",
,238,399,I,5,1,1787,JONATHAN,SILSBY,JONATHAN SILSBY,,8,20,1779,45,39,Reg 5367,,1,RO,
,238,400,A,5,1,1787,CLEBURNE,TOTAINE,CLEBURNE TOTAINE,,5,15,1780,11,54,,,1,"Lo 151,579",Name not sure
,239,401,B,5,1,1787,FREDRICK,COLKINS,FREDRICK COLKINS,,5,19,1780,174,40,,,1,"Lo 151,579",
,239,402,C,5,2,1787,THOMAS,CUMMINGS,THOMAS CUMMINGS,,9,10,1786,10,30,,,1,207,
,239,403,H,5,2,1787,MICHAEL,AUGER,MICHAEL AUGER,,9,10,1777,3,20,Reg 5357 Not Checked off when cancelled,,1,RO,Note Not Sure
,239,404,I,5,2,1787,JAMES,CHAMBERS,JAMES CHAMBERS,,9,10,1777,25,61,Reg 5357 do - do,,1,RO,
,239,405,L,5,2,1787,JAMES,WARREN,JAMES WARREN,,11,1,1781,483,13,,,1,"Lo 73,398",
,239,406,A,5,2,1787,AARON,ABBOTT,AARON ABBOTT,,4,11,1783,88,85,,,1,622,
,239,407,B,5,3,1787,NATHANIEL,ABBOTT,NATHANIEL ABBOTT,,4,11,1783,76,58,,,1,622,
,239,408,C,5,3,1787,PETER,ANDERSON,PETER ANDERSON,,9,10,1776,16,45,,,,,
,239,409,H,5,4,1787,JEREMIAH,EVANS,JEREMIAH EVANS,,9,20,1781,71,45,Reg 6393,,1,RO,
,239,410,I,4,9,1787,PETER,NOSTRIN,PETER NOSTRIN,,8,24,1780,21,84,,,1,407,Name not sure
,240,411,L,5,12,1787,JOSEPH,SMITH,JOSEPH SMITH,,5,17,1780,49,18,Reg 6047,,1,RO,
,240,412,A,5,12,1787,JOHN,WILLIAMS,JOHN WILLIAMS,,4,11,1781,12,40,,,1,2670,
,240,413,B,5,14,1787,JOHN,AMES,JOHN AMES,,5,20,1780,56,31,Reg 6047,,1,RO,
,240,414,C,5,14,1787,JOHN,MORGAN,JOHN MORGAN,,11,15,1780,5,54,,,1,1944,
,240,415,H,5,16,1787,JA ROBINSON,,JA ROBINSON,,1,31,1780,500,77,,,,,
