row_id,state_data,state_data_index,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,First Name,Last Name,new_town,county,new_state,country,geo_level,6p_total,6p_def_total,3p_total,suspicious_row,suspicious_reason
0,CT,27,25.0,18.0,12.0,59.0,18.0,13.0,Southhampton,CT,Mariner,Stephen Tallmadge,Stephen,Tallmadge,Southampton,Windham County,CT,US,town,25.18,12.59,18.13,True,Rare new_town; Rare town; 
1,CT,65,40.0,67.0,20.0,34.0,29.0,33.0,Somers,CT,Farmer,Jacob Pratt,Jacob,Pratt,Somers,Tolland County,CT,US,town,40.67,20.34,29.33,True,Rare new_town; Rare town; 
2,CT,73,533.0,33.0,266.0,67.0,144.0,,Watertown,CT,,Richard R Eliot,Richard R,Eliot,Watertown,Litchfield County,CT,US,town,533.33,266.67,144.0,True,Rare new_town; Rare town; 
3,CT,206,374.0,18.0,187.0,9.0,248.0,93.0,Tyringham MA,MA,,Adonijah Bidwell,Adonijah,Bidwell,Tyringham,Berkshire County,MA,US,town,374.18,187.09,248.93,True,Rare town; 
4,CT,229,222.0,32.0,111.0,16.0,240.0,,Sturbridge MA,MA,,Lemuel Sanders | Lemuel Saunders,Lemuel,Sanders,Sturbridge,Worcester County,MA,US,town,222.32,111.16,240.0,True,Rare new_town; Rare town; 
5,CT,246,342.0,70.0,171.0,35.0,231.0,,Newport State of Rhode Island,RI,,Elizabeth Brown,Elizabeth,Brown,Newport,Newport County,RI,US,town,342.7,171.35,231.0,True,Rare town; 
6,CT,250,422.0,38.0,211.0,19.0,348.0,23.0,Granby,CT,,Ozias Pettibone,Ozias,Pettibone,Granby,Hartford County,CT,US,town,422.38,211.19,348.23,True,Rare town; 
7,CT,298,138.0,0.0,69.0,,54.0,,Northampton,CT,,Solomon Williams,Solomon,Williams,Northampton,Hampshire County,MA,US,town,138.0,69.0,54.0,True,Rare town; 
8,CT,333,,,,,542.0,1.0,,CT,,Wheeler Coit Treasurer and Co,,,,,CT,US,state,0.0,0.0,542.01,True,More than 25% missing; 
9,CT,334,,,,,62.0,60.0,,CT,,William Belcher,,,,,CT,US,state,0.0,0.0,62.6,True,More than 25% missing; 
10,CT,393,617.0,94.0,308.0,97.0,333.0,67.0,Tyringham Massachusetts,MA,Farmer,Noah Allen,Noah,Allen,Tyringham,Berkshire County,MA,US,town,617.94,308.97,333.67,True,Rare town; 
11,CT,439,200.0,,100.0,,189.0,10.0,Hadley Massachusetts,MA,,Samuel Hopkins,Samuel,Hopkins,Hadley,Hampshire County,MA,US,town,200.0,100.0,189.1,True,Rare new_town; Rare town; 
12,CT,459,350.0,25.0,175.0,12.0,384.0,,Southbury,CT,Gentleman,Benjamin Hinman,Benjamin,Hinman,Southbury,New Haven County,CT,US,town,350.25,175.12,384.0,True,Rare new_town; Rare town; 
13,CT,477,578.0,36.0,289.0,18.0,609.0,69.0,Reading,CT,Farmer,Hezekiah Sanford,Hezekiah,Sanford,Redding,Fairfield County,CT,US,town,578.36,289.18,609.69,True,Rare new_town; 
14,CT,490,276.0,37.0,138.0,19.0,336.0,,Boston state Massachusetts,MA,Gentleman,John Waldo,John,Waldo,Boston,Suffolk County,MA,US,town,276.37,138.19,336.0,True,Rare town; 
15,CT,491,2861.0,87.0,1430.0,94.0,1168.0,40.0,Worcester State Massachusetts,MA,Merchant,Daniel Waldo,Daniel,Waldo,Worcester,Worcester County,MA,US,town,2861.87,1430.94,1168.4,True,Rare new_town; Rare town; 
16,CT,496,30.0,56.0,15.0,28.0,,,North Haven,CT,Shoemaker,Joel Blakeley,Joel,Blakeley,North Haven,New Haven County,CT,US,town,30.56,15.28,0.0,True,Rare new_town; Rare town; 
17,CT,538,13.0,58.0,6.0,80.0,13.0,30.0,Vermont,CT,Farmer,John Gillet | John Gillet of Vermont,John,Gillet,,,VT,US,state,13.58,6.8,13.3,True,Rare town; 
18,CT,645,778.0,4.0,389.0,2.0,288.0,,North Hampshire,NH,Farmer,Amos Shepard | Amos Shephard,Amos,Shephard,,,NH,US,state,778.04,389.02,288.0,True,Rare town; 
