row_id,state_data,state_data_index,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,First Name,Last Name,new_town,county,new_state,country,geo_level,6p_total,6p_def_total,3p_total,suspicious_row,suspicious_reason
19,CT,667,357.0,38.0,178.0,69.0,291.0,4.0,Pittsfield,MA,,Thomas Allen,Thomas,Allen,Pittsfield,Berkshire County,MA,US,town,357.38,178.69,291.04,True,Rare new_town; Rare town; 
20,CT,669,9.0,15.0,4.0,57.0,,,Cornwell,CT,Farmer,Seth Pierce,Seth,Pierce,Cornwall,Litchfield County,CT,US,town,9.15,4.57,0.0,True,Rare town; 
21,CT,692,49.0,42.0,24.0,72.0,31.0,93.0,Voluntown,CT,Farmer,Benjamin Gallup,Benjamin,Gallup,Voluntown,New London County,CT,US,town,49.42,24.72,31.93,True,Rare town; 
22,CT,738,308.0,36.0,154.0,18.0,339.0,83.0,Brooklyne,CT,Farmer,Nathan Cogswell | Nathaniel Cogswell,Nathaniel,Cogswell,Brooklyn,Windham County,CT,US,town,308.36,154.18,339.83,True,Rare town; 
23,CT,746,69.0,37.0,34.0,69.0,,,Weston,CT,,David Cooley,David,Cooley,Weston,Fairfield County,CT,US,town,69.37,34.69,0.0,True,Rare new_town; Rare town; 
24,CT,751,4586.0,66.0,2293.0,33.0,3026.0,11.0,State of Georgia,GA,Gentleman,Phineas Miller,Phineas,Miller,,,GA,US,state,4586.66,2293.33,3026.11,True,Rare town; 
25,CT,756,3441.0,84.0,1720.0,93.0,2664.0,10.0,Connecticut,CT,Treasurer,Peter Colt,Peter,Colt,,,CT,US,state,3441.84,1720.93,2664.1,True,Rare town; 
26,CT,764,112.0,24.0,56.0,12.0,40.0,40.0,Ellington,CT,Trader,John Hall,John,Hall,Ellington,Tolland County,CT,US,town,112.24,56.12,40.4,True,Rare new_town; Rare town; 
27,CT,812,,,243.0,19.0,,,Colchester,CT,,Henry Champion II,,,Colchester,New London County,CT,US,town,0.0,243.19,0.0,True,More than 25% missing; 
28,CT,818,222.0,78.0,111.0,40.0,,,Portsmouth New Hampshire,NH,,Samuel Gerrish,Samuel,Gerrish,Portsmouth,Rockingham County,NH,US,town,222.78,111.4,0.0,True,Rare town; 
29,CT,828,560.0,,280.0,,,,,CT,Adminastrator to David Fellows,Lois Fellows,Lois,Fellows,,,CT,US,state,560.0,280.0,0.0,True,More than 25% missing; 
30,CT,834,4.0,18.0,2.0,9.0,,,Granby Massachusetts,MA,,Jonathan Woodward,Jonathan,Woodward,Granby,Hampshire County,MA,US,town,4.18,2.09,0.0,True,Rare town; 
31,CT,841,16.0,61.0,8.0,31.0,191.0,15.0,Long Island,NY,,William Jones,William,Jones,,,NY,US,state,16.61,8.31,191.15,True,Rare town; 
32,CT,856,68.0,72.0,34.0,36.0,73.0,24.0,State of New Hampshire,NH,,Constant Storrs,Constant,Storrs,,,NH,US,state,68.72,34.36,73.24,True,Rare town; 
33,CT,864,225.0,22.0,112.0,61.0,60.0,82.0,Waterbury,CT,,Abner Johnson,Abner,Johnson,Waterbury,New Haven County,CT,US,town,225.22,112.61,60.82,True,Rare new_town; Rare town; 
34,CT,899,52.0,28.0,26.0,14.0,52.0,19.0,Norfolk,CT,,Ariel Laurance | Ariel Laurence | Ariel Lawrence,Ariel,Laurance,Norfolk,Litchfield County,CT,US,town,52.28,26.14,52.19,True,Rare new_town; Rare town; 
35,CT,925,2714.0,74.0,,,,,State of Vermont,VT,,Stephen R Bradley,Stephen R,Bradley,,,VT,US,state,2714.74,0.0,0.0,True,More than 25% missing; 
36,CT,928,,,176.0,37.0,,,Norwich,CT,,Zachariah Huntington,,,Norwich,New London County,CT,US,town,0.0,176.37,0.0,True,More than 25% missing; 
37,CT,936,363.0,72.0,181.0,86.0,,,Volentown,CT,,John Gordon,John,Gordon,Voluntown,New London County,CT,US,town,363.72,181.86,0.0,True,Rare town; 
38,CT,944,110.0,75.0,55.0,38.0,29.0,90.0,Ridgefield,CT,,Philip B Bradley,Philip B,Bradley,Ridgefield,Fairfield County,CT,US,town,110.75,55.38,29.9,True,Rare new_town; Rare town; 
39,CT,950,,,,,88.0,14.0,Hartford,CT,,Sarah Trumbull,,,Hartford,Hartford County,CT,US,town,0.0,0.0,88.14,True,More than 25% missing; 
40,CT,952,,,,,300.0,,Colchester,CT,Farmer,Henry Champion,,,Colchester,New London County,CT,US,town,0.0,0.0,300.0,True,More than 25% missing; 
41,CT,953,,,,,156.0,,Colchester,CT,,Henry Champion II,,,Colchester,New London County,CT,US,town,0.0,0.0,156.0,True,More than 25% missing; 
42,CT,957,,,,,10.0,,Haddam,CT,Trader,Jeremiah Bradford,,,Haddam,Middlesex County,CT,US,town,0.0,0.0,10.0,True,More than 25% missing; 
43,CT,958,,,,,72.0,,,CT,,Elijah Holt,,,,,CT,US,state,0.0,0.0,72.0,True,More than 25% missing; 
44,CT,959,,,,,111.0,,Woodbury,CT,Society Treasurer,Nehemiah Child,,,Woodbury,Litchfield County,CT,US,town,0.0,0.0,111.0,True,More than 25% missing; 
45,CT,961,,,,,510.0,56.0,,CT,,John Murray,,,,,CT,US,state,0.0,0.0,510.56,True,More than 25% missing; 
46,CT,962,,,,,459.0,73.0,,CT,,Horace and Seth Johnson and Co,,,,,CT,US,state,0.0,0.0,459.73,True,More than 25% missing; 
47,CT,963,,,,,1041.0,77.0,,CT,,George Lewis,,,,,CT,US,state,0.0,0.0,1041.77,True,More than 25% missing; 
48,CT,964,,,,,10.0,95.0,,CT,,Abigail Robbins,,,,,CT,US,state,0.0,0.0,10.95,True,More than 25% missing; 
49,CT,965,,,,,21.0,73.0,,CT,,Elijah Robbins,,,,,CT,US,state,0.0,0.0,21.73,True,More than 25% missing; 
50,CT,966,,,,,29.0,20.0,,CT,,George Bull,,,,,CT,US,state,0.0,0.0,29.2,True,More than 25% missing; 
51,CT,967,,,,,12.0,,,CT,,William Cushing,,,,,CT,US,state,0.0,0.0,12.0,True,More than 25% missing; 
52,CT,968,,,,,43.0,77.0,,CT,,William Rogers,,,,,CT,US,state,0.0,0.0,43.77,True,More than 25% missing; 
53,CT,969,,,,,253.0,6.0,,CT,,Elijah Backus,,,,,CT,US,state,0.0,0.0,253.06,True,More than 25% missing; 
54,CT,970,,,,,20.0,,,CT,,Robert Walker,,,,,CT,US,state,0.0,0.0,20.0,True,More than 25% missing; 
55,CT,971,,,,,54.0,62.0,,CT,,Elijah Austin,,,,,CT,US,state,0.0,0.0,54.62,True,More than 25% missing; 
56,CT,972,,,,,241.0,82.0,Colchester,CT,,Henry Champion II,,,Colchester,New London County,CT,US,town,0.0,0.0,241.82,True,More than 25% missing; 
57,CT,973,,,,,20.0,,New York,NY,,John Mowatt,,,,,NY,US,state,0.0,0.0,20.0,True,More than 25% missing; 
58,CT,974,,,,,192.0,,,CT,,Amos Lyon,,,,,CT,US,state,0.0,0.0,192.0,True,More than 25% missing; 
59,CT,975,,,,,93.0,7.0,,CT,,Abner Johnson,,,,,CT,US,state,0.0,0.0,93.07,True,More than 25% missing; 
60,CT,976,,,,,70.0,,,CT,,William Coit,,,,,CT,US,state,0.0,0.0,70.0,True,More than 25% missing; 
61,CT,977,,,,,249.0,67.0,,CT,,Nathaniel Ely,,,,,CT,US,state,0.0,0.0,249.67,True,More than 25% missing; 
62,CT,978,,,,,2240.0,,Colchester,,,Henry Champion II,,,Colchester,New London County,CT,US,town,0.0,0.0,2240.0,True,More than 25% missing; 
63,CT,979,,,,,3.0,82.0,,CT,,Roger Moore,,,,,CT,US,state,0.0,0.0,3.82,True,More than 25% missing; 
64,CT,980,,,,,91.0,,,CT,,Michael and Thomas Bull,,,,,CT,US,state,0.0,0.0,91.0,True,More than 25% missing; 
65,CT,981,,,,,12.0,96.0,,CT,,James Davenport,,,,,CT,US,state,0.0,0.0,12.96,True,More than 25% missing; 
66,CT,982,,,,,140.0,,,CT,,David Mumford,,,,,CT,US,state,0.0,0.0,140.0,True,More than 25% missing; 
67,CT,983,,,,,23.0,51.0,,CT,,Matthew Griswold,,,,,CT,US,state,0.0,0.0,23.51,True,More than 25% missing; 
68,CT,984,,,,,36.0,73.0,,CT,,Samuel W Johnson,,,,,CT,US,state,0.0,0.0,36.73,True,More than 25% missing; 
69,CT,985,,,,,9.0,86.0,,CT,,Alvey Rowland,,,,,CT,US,state,0.0,0.0,9.86,True,More than 25% missing; 
70,CT,986,,,,,10.0,,,CT,,Gideon Hale,,,,,CT,US,state,0.0,0.0,10.0,True,More than 25% missing; 
71,CT,987,,,,,124.0,75.0,,CT,,William Albertson,,,,,CT,US,state,0.0,0.0,124.75,True,More than 25% missing; 
72,CT,988,,,,,18.0,46.0,,CT,,Daniel and Elijah Boardman,,,,,CT,US,state,0.0,0.0,18.46,True,More than 25% missing; 
73,CT,989,,,,,27.0,24.0,,CT,,Isaac Lee,,,,,CT,US,state,0.0,0.0,27.24,True,More than 25% missing; 
74,CT,990,,,,,180.0,,,CT,,William F Miller,,,,,CT,US,state,0.0,0.0,180.0,True,More than 25% missing; 
75,CT,991,,,,,20.0,17.0,,CT,,Nathaniel Potter,,,,,CT,US,state,0.0,0.0,20.17,True,More than 25% missing; 
76,CT,992,,,,,131.0,11.0,,CT,,State of Connecticut,,,,,CT,US,state,0.0,0.0,131.11,True,More than 25% missing; 
77,CT,993,,,,,2000.0,,,CT,,Mary Wyllys,,,,,CT,US,state,0.0,0.0,2000.0,True,More than 25% missing; 
78,CT,994,,,,,84.0,43.0,,CT,,Caleb Raymond,,,,,CT,US,state,0.0,0.0,84.43,True,More than 25% missing; 
79,CT,995,,,,,11.0,,Hartford,CT,,Hezekiah Merrill,,,Hartford,Hartford County,CT,US,town,0.0,0.0,11.0,True,More than 25% missing; 
80,CT,996,,,,,278.0,,,CT,,Joshua Coit,,,,,CT,US,state,0.0,0.0,278.0,True,More than 25% missing; 
81,CT,997,,,,,1064.0,64.0,,CT,,Zachariah Huntington,,,,,CT,US,state,0.0,0.0,1064.64,True,More than 25% missing; 
82,CT,998,,,,,42.0,90.0,Hartford,CT,,William H Imlay,,,Hartford,Hartford County,CT,US,town,0.0,0.0,42.9,True,More than 25% missing; 
83,CT,999,,,,,17.0,98.0,,CT,,William Hart,,,,,CT,US,state,0.0,0.0,17.98,True,More than 25% missing; 
84,CT,1000,,,,,24.0,73.0,,CT,,William Hart,,,,,CT,US,state,0.0,0.0,24.73,True,More than 25% missing; 
85,CT,1001,,,,,168.0,,,CT,,Elias Perkins,,,,,CT,US,state,0.0,0.0,168.0,True,More than 25% missing; 
86,CT,1002,,,,,68.0,66.0,,CT,,Timothy Burr,,,,,CT,US,state,0.0,0.0,68.66,True,More than 25% missing; 
87,CT,1003,,,,,46.0,30.0,,CT,,John Morgan,,,,,CT,US,state,0.0,0.0,46.3,True,More than 25% missing; 
88,CT,1004,,,,,,2.0,,CT,,Samuel W Pomeroy,,,,,CT,US,state,0.0,0.0,0.02,True,More than 25% missing; 
89,GA,40,17.0,351.6233,13.0,175.8133,14.0,384.09,Portsmouth Virginia,VA,Merchants,John Casper,John,Casper,Portsmouth,Norfolk County,VA,US,town,20.516233,14.758133,17.840899999999998,True,Rare town; 
90,GA,44,17.0,195.02,13.0,97.51,14.0,212.82,Carolina,SC,Excuetor,Morton Williams,Morton,Williams,,,SC,US,state,18.9502,13.9751,16.1282,True,Rare town; 
91,GA,45,17.0,106.8233,13.0,53.4133,14.0,122.92,Columbia County,GA,,William Ives,William,Ives,Columbia County,Columbia County,GA,US,county,18.068233,13.534133,15.2292,True,Rare new_town; Rare town; Rare county; 
92,MD,10,439.0,80.0,219.0,89.0,278.0,57.0,Rotterdam,,,Peter Baalde,Peter,Baalde,,,,NL,country,439.8,219.89,278.57,True,Rare town; 
93,MD,40,3081.0,28.0,1540.0,64.0,3169.0,98.0,Georges Town,MD,,Robert Peter | Robert Peters,Robert,Peters,Georgetown,Montgomery County,MD,US,town,3081.28,1540.64,3169.98,True,Rare town; 
94,MD,49,158.0,20.0,79.0,9.0,111.0,11.0,Kent County,MD,,Isaac Perkins,Isaac,Perkins,Kent County,Kent County,MD,US,county,158.2,79.09,111.11,True,Rare new_town; Rare town; 
95,MD,60,1626.0,48.0,813.0,24.0,878.0,30.0,Calver County,MD,,William Fitzhugh,William,Fitzhugh,,Calvert County,MD,US,county,1626.48,813.24,878.3,True,Rare town; 
96,MD,89,14.0,36.0,7.0,18.0,11.0,10.0,Talbot,MD,,Arthur Bryan,Arthur,Bryan,,Talbot County,MD,US,county,14.36,7.18,11.1,True,Rare town; 
97,MD,102,183.0,65.0,91.0,82.0,145.0,62.0,Frederick,MD,,John Ritchie,John,Ritchie,Frederick,Frederick County,MD,US,town,183.65,91.82,145.62,True,Rare town; 
98,MD,130,,,,,1600.0,1.0,Annapolis,MD,,Wallace and Muir,,,Annapolis,Anne Arundel County,MD,US,town,0.0,0.0,1600.01,True,More than 25% missing; 
99,MD,137,,,,,52.0,34.0,Annapolis,MD,,Archibald Golder,,,Annapolis,Anne Arundel County,MD,US,town,0.0,0.0,52.34,True,More than 25% missing; 
100,MD,139,,,,,5291.0,38.0,,MD,,Philip Key,,,,,MD,US,state,0.0,0.0,5291.38,True,More than 25% missing; 
101,MD,140,,,,,1924.0,64.0,,MD,,Gerrard Alexander,,,,,MD,US,state,0.0,0.0,1924.64,True,More than 25% missing; 
102,MD,150,158.0,1.0,79.0,,158.0,10.0,Pennsylvania,PA,,Christian Lybrant,Christian,Lybrant,,,PA,US,state,158.01,79.0,158.1,True,Rare town; 
103,MD,151,,,,,1240.0,,Annapolis,MD,,Wallace and Muir,,,Annapolis,Anne Arundel County,MD,US,town,0.0,0.0,1240.0,True,More than 25% missing; 
104,MD,172,243.0,94.0,121.0,96.0,65.0,85.0,Alexandria State of Virginia,VA,,William Hodgson,William,Hodgson,Alexandria,Fairfax County,VA,US,town,243.94,121.96,65.85,True,Rare town; 
105,MD,179,,,,,2127.0,85.0,,MD,,Benjamin Nicholson,,,,,MD,US,state,0.0,0.0,2127.85,True,More than 25% missing; 
106,MD,188,,,7360.0,77.0,,,Annapolis,MD,,Benjamin Harwood,,,Annapolis,Anne Arundel County,MD,US,town,0.0,7360.77,0.0,True,More than 25% missing; 
107,MD,189,,,177.0,54.0,,,Baltimore,MD,,William Smith,,,Baltimore,Baltimore County,MD,US,town,0.0,177.54,0.0,True,More than 25% missing; 
108,MD,196,803.0,96.0,401.0,98.0,1307.0,61.0,George town,MD,,Charles Beatty,Charles,Beatty,Georgetown,Cecil County,MD,US,town,803.96,401.98,1307.61,True,Rare town; 
109,MD,237,,,,,375.0,54.0,,MD,,John Jordans Estate,,,,,MD,US,state,0.0,0.0,375.54,True,More than 25% missing; 
110,MD,241,,,,,164.0,16.0,Washington County,MD,,Moses Rawlings,,,Washington County,Washington County,MD,US,county,0.0,0.0,164.16,True,More than 25% missing; 
111,MD,266,,,,,1068.0,,Baltimore,MD,,Luther Martin,,,Baltimore,Baltimore County,MD,US,town,0.0,0.0,1068.0,True,More than 25% missing; 
112,MD,280,,,10580.0,28.0,,,Prince Georges County,MD,,Rinaldo Johnson,,,,Prince Georges County,MD,US,county,0.0,10580.28,0.0,True,More than 25% missing; 
113,MD,290,,,3192.0,66.0,,,,MD,,Philip B Key,,,,,MD,US,state,0.0,3192.66,0.0,True,More than 25% missing; 
114,MD,292,,,,,753.0,35.0,,MD,,Uriah Forrest,,,,,MD,US,state,0.0,0.0,753.35,True,More than 25% missing; 
115,MD,304,755.0,55.0,377.0,77.0,539.0,96.0,Allegany County,MD,,Elijah Robosson,Elijah,Robosson,Allegany County,Allegany County,MD,US,county,755.55,377.77,539.96,True,Rare new_town; Rare town; Rare county; 
116,MD,309,,,,,2412.0,15.0,,MD,,John Francis Mercer,,,,,MD,US,state,0.0,0.0,2412.15,True,More than 25% missing; 
117,MD,311,,,872.0,66.0,,,,MD,,Jesse Rewees,,,,,MD,US,state,0.0,872.66,0.0,True,More than 25% missing; 
118,MD,312,,,4493.0,12.0,,,Annapolis,MD,,James Williams,,,Annapolis,Anne Arundel County,MD,US,town,0.0,4493.12,0.0,True,More than 25% missing; 
119,MD,332,,,1076.0,54.0,,,Prince Georges County,MD,,Walter S Chandler,,,,Prince Georges County,MD,US,county,0.0,1076.54,0.0,True,More than 25% missing; 
120,MD,343,,,182.0,23.0,,,Annapolis,MD,,William Campbell,,,Annapolis,Anne Arundel County,MD,US,town,0.0,182.23,0.0,True,More than 25% missing; 
121,MD,372,,,,,131.0,44.0,Anne Arundel County,MD,,Richard Sprigg,,,Anne Arundel County,Anne Arundel County,MD,US,county,0.0,0.0,131.44,True,More than 25% missing; 
122,MD,405,,,1728.0,98.0,,,Frederick Town,MD,,Richard Potts,,,Frederick,Frederick County,MD,US,town,0.0,1728.98,0.0,True,More than 25% missing; 
123,MD,411,500.0,,,,,,,MD,,Christopher Johnston,Christopher,Johnston,,,MD,US,state,500.0,0.0,0.0,True,More than 25% missing; 
124,MD,413,,,2011.0,13.0,,,Annapolis,MD,,Benjamin Harwood,,,Annapolis,Anne Arundel County,MD,US,town,0.0,2011.13,0.0,True,More than 25% missing; 
125,MD,415,,,,,1191.0,55.0,,MD,,Josiah Watson and Co,,,,,MD,US,state,0.0,0.0,1191.55,True,More than 25% missing; 
126,MD,416,,,7689.0,83.0,,,Annapolis,MD,,William Marbury,,,Annapolis,Anne Arundel County,MD,US,town,0.0,7689.83,0.0,True,More than 25% missing; 
127,MD,417,,,1879.0,59.0,,,Prince Georges County,MD,,Walter S Chandler,,,,Prince Georges County,MD,US,county,0.0,1879.59,0.0,True,More than 25% missing; 
128,MD,418,,,,,1050.0,,,MD,,William Count Van Hoogendorp,,,,,MD,US,state,0.0,0.0,1050.0,True,More than 25% missing; 
129,MD,429,1250.0,,,,,,,MD,,James Carey,James,Carey,,,MD,US,state,1250.0,0.0,0.0,True,More than 25% missing; 
130,MD,430,,,1227.0,58.0,,,Annapolis,MD,,Benjamin Harwood,,,Annapolis,Anne Arundel County,MD,US,town,0.0,1227.58,0.0,True,More than 25% missing; 
131,MD,435,,,695.0,28.0,,,Annapolis,MD,,Randolph B Latimer,,,Annapolis,Anne Arundel County,MD,US,town,0.0,695.28,0.0,True,More than 25% missing; 
132,MD,442,,,199.0,28.0,,,,MD,,Archibald Monereiff,,,,,MD,US,state,0.0,199.28,0.0,True,More than 25% missing; 
133,MD,447,,,,,15000.0,,Baltimore,MD,Merchant,Adrian Valck,,,Baltimore,Baltimore County,MD,US,town,0.0,0.0,15000.0,True,More than 25% missing; 
134,MD,450,,,,,410.0,70.0,,MD,,Lewis Brank,,,,,MD,US,state,0.0,0.0,410.7,True,More than 25% missing; 
135,MD,451,,,49.0,14.0,,,,MD,,David Smith,,,,,MD,US,state,0.0,49.14,0.0,True,More than 25% missing; 
136,MD,457,2606.0,50.0,,,,,,MD,,Elinor Elzey,Elinor,Elzey,,,MD,US,state,2606.5,0.0,0.0,True,More than 25% missing; 
137,MD,458,26.0,93.0,13.0,47.0,28.0,70.0,Isaac,MD,,Edward Hall | Edward Hall of Isaac,Edward,Hall,,,MD,US,state,26.93,13.47,28.7,True,Rare town; 
138,MD,484,750.0,,,,,,,MD,,Susanna Livingstone,Susanna,Livingstone,,,MD,US,state,750.0,0.0,0.0,True,More than 25% missing; 
139,MD,503,5000.0,,,,35000.0,,,MD,,William Hollingsworth,William ,Hollingsworth,,,MD,US,state,5000.0,0.0,35000.0,True,More than 25% missing; 
140,MD,508,569.0,52.0,,,,,,MD,,Elizabeth Elzey,Elizabeth,Elzey,,,MD,US,state,569.52,0.0,0.0,True,More than 25% missing; 
141,MD,509,2412.0,29.0,,,,,,MD,,John Laird And Thomas Dick,John Laird And Thomas Dick,,,,MD,US,state,2412.29,0.0,0.0,True,More than 25% missing; 
142,MD,510,400.0,,,,4000.0,,,MD,Executor of Robert Dick,John Laird And Thomas Dick | John Laird and Thomas Dick,John Laird And Thomas Dick,,,,MD,US,state,400.0,0.0,4000.0,True,More than 25% missing; 
143,MD,513,4000.0,,,,,,,MD,,William Sharp,William ,Sharp,,,MD,US,state,4000.0,0.0,0.0,True,More than 25% missing; 
144,MD,517,,,14.0,40.0,,,Baltimore Town,MD,,Philip Rogers,,,Baltimore,Baltimore County,MD,US,town,0.0,14.4,0.0,True,More than 25% missing; 
145,MD,519,5000.0,,,,,,London,,,John Hogarth,John,Hogarth,,,,GB,country,5000.0,0.0,0.0,True,More than 25% missing; 
146,MD,521,37.0,60.0,,,,,,MD,,James Rowland,James ,Rowland,,,MD,US,state,37.6,0.0,0.0,True,More than 25% missing; 
147,MD,524,,,,,6.0,64.0,Annapolis,MD,,Gabriel Duvall,,,Annapolis,Anne Arundel County,MD,US,town,0.0,0.0,6.64,True,More than 25% missing; 
148,MD,561,142.0,24.0,75.0,95.0,106.0,43.0,Frederick County Maryland,MD,,Joshua Howard,Joshua,Howard,Frederick County,Frederick County,MD,US,county,142.24,75.95,106.43,True,Rare town; 
149,MD,578,119.0,75.0,,,,,,MD,,William Whetcroft,William,Whetcroft,,,MD,US,state,119.75,0.0,0.0,True,More than 25% missing; 
150,MD,591,124.0,96.0,,,,,,MD,,Tristram Bowdle,Tristram,Bowdle,,,MD,US,state,124.96,0.0,0.0,True,More than 25% missing; 
151,MD,593,,,602.0,50.0,,,,MD,,James West,,,,,MD,US,state,0.0,602.5,0.0,True,More than 25% missing; 
152,MD,594,,,32.0,8.0,,,Annapolis,MD,,William Marbury,,,Annapolis,Anne Arundel County,MD,US,town,0.0,32.08,0.0,True,More than 25% missing; 
153,MD,595,,,1899.0,13.0,,,Annapolis,MD,,Benjamin Harwood,,,Annapolis,Anne Arundel County,MD,US,town,0.0,1899.13,0.0,True,More than 25% missing; 
154,MD,597,,,3600.0,,,,Annapolis,MD,,William Campbell,,,Annapolis,Anne Arundel County,MD,US,town,0.0,3600.0,0.0,True,More than 25% missing; 
155,MD,598,,,109.0,2.0,,,,MD,,Thomas Bailey,,,,,MD,US,state,0.0,109.02,0.0,True,More than 25% missing; 
156,MD,599,,,212.0,83.0,,,Annapolis,MD,,Randolph B Latimer,,,Annapolis,Anne Arundel County,MD,US,town,0.0,212.83,0.0,True,More than 25% missing; 
157,MD,600,,,1604.0,33.0,,,,MD,,John Collahan,,,,,MD,US,state,0.0,1604.33,0.0,True,More than 25% missing; 
158,MD,601,,,310.0,55.0,,,Annapolis,MD,,Randolph B Latimer,,,Annapolis,Anne Arundel County,MD,US,town,0.0,310.55,0.0,True,More than 25% missing; 
159,MD,602,,,7835.0,89.0,,,Annapolis,MD,,William Marbury,,,Annapolis,Anne Arundel County,MD,US,town,0.0,7835.89,0.0,True,More than 25% missing; 
160,MD,603,,,1303.0,24.0,,,Annapolis,MD,,Benjamin Harwood,,,Annapolis,Anne Arundel County,MD,US,town,0.0,1303.24,0.0,True,More than 25% missing; 
161,MD,604,,,875.0,55.0,,,Annapolis,MD,,William Marbury,,,Annapolis,Anne Arundel County,MD,US,town,0.0,875.55,0.0,True,More than 25% missing; 
162,MD,605,,,347.0,3.0,,,Annapolis,MD,,Randolph B Latimer,,,Annapolis,Anne Arundel County,MD,US,town,0.0,347.03,0.0,True,More than 25% missing; 
163,MD,606,,,967.0,86.0,,,Annapolis,MD,,Randolph B Latimer,,,Annapolis,Anne Arundel County,MD,US,town,0.0,967.86,0.0,True,More than 25% missing; 
164,MD,607,,,654.0,36.0,,,Annapolis,MD,,William Campbell,,,Annapolis,Anne Arundel County,MD,US,town,0.0,654.36,0.0,True,More than 25% missing; 
