child_id,child_name,state,in_post1790,error
Abbe-144,Ebenezer Abbe,CT,False,
Abbe-174,Roxalena Olmsted,CT,False,
Abbe-193,John Abbe,MA,False,
Abbe-206,Daniel Abbe,CT,False,
Abbe-271,Shadrach Abbe,,False,
Abbe-272,Anne Newman,CT,False,
Abbe-273,Lucy Abbe,CT,False,
Abbe-274,Lemuel Abbe,CT,False,
Abbe-275,Mary Abbe,CT,False,
Abbe-276,Amelia Abbe,CT,False,
Abbe-277,Azubah Abbe,CT,False,
Abbe-301,Lucie Abbe,,False,
Abbe-302,Hannah Abbe,,False,
Abbe-303,Daniel Abbe,,False,
Abbe-304,Daniel Abbe,,False,
Abbe-305,Sarah Abbe,,False,
Abbe-306,Oliver Abbe,,False,
Abbe-307,Dolle Abbe,,False,
Abbe-308,Dolle Abbe,,False,
Abbe-310,Abiel Abbe,CT,False,
Abbe-319,John Abbe,CT,False,
Abbe-321,Hannah Terry,CT,False,
Abbe-322,Tabitha Terry,,False,
Abbe-329,Mary Wheeler,MA,False,
Abbe-330,Joseph Abbe,,False,
Abbe-331,Jerusha Abbe,,False,
Abbe-332,Amos Abbe,MA,False,
Abbe-397,Thomas Abbe,CT,False,
Abbe-398,George Abbe,CT,False,
Abbe-399,Charles Abbe,CT,False,
Abbe-400,Phineas Abbe,CT,False,
Abbe-401,Susanna Abbe,CT,False,
Abbe-402,Moses Abbe,CT,False,
Abbe-403,Lucius Abbe,CT,False,
Abbe-404,Henry Abbe,CT,False,
Abbe-405,Samuel Abbe,CT,False,
Abbe-537,Olive Tubbs,NY,False,
Abbe-584,Submit Killam,CT,False,
Abbe-659,Charity McKnight,CT,False,
Abbe-660,John Abbe,CT,False,
Abbe-681,Nancy Burt,CT,False,
Abbe-699,Rachel Clayton,CT,False,
Abbe-700,Sarah Hyde,CT,False,
Abbe-701,Asenath Abbe,CT,False,
Abbe-702,Timothy Abbe,CT,False,
Abbe-703,Timothy Abbe,CT,False,
Abbe-704,Roxalenah Abbe,CT,False,
Abbey-1052,Reuben Abbey,NY,False,
Abbey-151,Hannah Rockwell,NY,False,
Abbey-575,Asaph Abbey,CT,False,
Abbey-643,Mary Wilcox,,False,
Abbey-644,Jemima Cooper,,False,
Abbey-645,Demares Hurlbut,,False,
Abbey-646,George Abbey,,False,
