child_id,child_name,state,in_post1790,error
Abbey-647,Thomas Abbey,,False,
Abbey-648,Benjamin Abbey,,False,
Abbey-649,David Abbey,,False,
Abbey-650,Reuben Abbey,CT,False,
Abbey-651,Samuel Abbey,CT,False,
Abbey-652,Hepzibah Abbey,,False,
Abbey-653,Rachel Abbey,,False,
Abbey-697,Benjamin Abbey,CT,False,
Abbey-711,John Abbey,NY,False,
Abbey-739,David Abbey,CT,False,
Abbey-740,Mary Jones,,False,
Abbey-741,Sarah Brown,CT,True,
Abbey-742,John Abbey,CT,False,
Abbot-1054,Betsey Chase,MA,False,
Abbot-106,Elizabeth Lummus,MA,False,
Abbot-1071,Henry Abbot,NH,False,
Abbot-1110,Mehitable Russell,MA,False,
Abbot-1116,Hannah Twitchell,MA,False,
Abbot-1216,Eleanor Bond,CT,False,
Abbot-1217,Olive Hutchinson,CT,False,
Abbot-1218,Henry Abbot,MA,False,
Abbot-1321,Dorothy Charles,MA,False,
Abbot-137,George Abbot,MA,False,
Abbot-14,Phebe Carleton,MA,False,
Abbot-152,Hannah Abbot,MA,False,
Abbot-181,John Abbot,MA,False,
Abbot-218,Martha Jenks,MA,False,
Abbot-230,Mary Abbot,MA,False,
Abbot-231,Mary Poor,MA,False,
Abbot-258,Priscilla Abbot,MA,False,
Abbot-288,Sarah Abbot,MA,False,
Abbot-303,Tamesin Appleton,MA,False,
Abbot-482,Samuel Abbot,MA,False,
Abbot-483,Stephen Abbot,MA,False,
Abbot-504,Mary Goss,MA,False,
Abbot-579,Jacob Abbot,NH,False,
Abbot-609,Abigail Hastings,MA,False,
Abbot-636,Ezra Abbot,NH,False,
Abbot-745,Herman Abbot,MA,False,
Abbot-776,Lorrida Mather,CT,False,
Abbot-791,Isaac Abbot,MA,False,
Abbot-81,Dorcas Holt,MA,False,
Abbot-842,Josiah Abbot,MA,False,
Abbot-879,Josiah Abbot,MA,False,
Abbot-910,Prudence Sawyer,MA,False,
Abbot-918,Hannah Heald,MA,False,
Abbot-95,Elizabeth Abbot,MA,False,
Abbot-953,Bigsby Abbot,MA,False,
Abbot-982,Mary Chase,MA,False,
Abbott-1000,Elizabeth Abbott,CT,False,
Abbott-10059,Jeduthun Abbott,MA,False,
Abbott-10288,Caleb Abbott,CT,False,
Abbott-10565,Benjamin Abbott,MA,False,
Abbott-11190,Paul Abbott,CT,False,
Abbott-11374,Sarah Nichols,NH,False,
Abbott-11376,Azubah Crittenden,MA,False,
Abbott-11706,William Abbott,MA,False,
Abbott-11923,Samuel Abbott,MA,False,
Abbott-13032,Phebe Shattuck,MA,False,
Abbott-13146,Anna Osgood,MA,False,
Abbott-13154,David Abbott,NH,False,
Abbott-13699,Stephen Abbott,MA,False,
Abbott-13726,Suzannah Charles,MA,False,
Abbott-13926,Sarah Wheeler,NH,False,
Abbott-14072,Lemuel Abbott,CT,False,
Abbott-14139,Nathan Abbott,MA,False,
Abbott-14404,Thomas Abbott,MA,False,
Abbott-14529,Jonathan Abbott,NH,False,
Abbott-14543,Jeremiah Abbott,MA,False,
Abbott-14804,Jeremiah Abbott,NH,False,
Abbott-14805,Lydia Morrill,NH,False,
Abbott-14824,Abigail Russell,MA,False,
Abbott-14850,Isaac Abbott,MA,False,
Abbott-15529,Micah Abbott,MA,False,
Abbott-15665,Naomi French,NH,False,
Abbott-15701,Elizabeth Jones,MA,False,
Abbott-16053,Olive Charles,MA,False,
Abbott-16774,Simeon Abbott,MA,False,
Abbott-16876,Samuel Abbott,MA,False,
Abbott-17301,Abigail Abbott,CT,False,
Abbott-17302,Delano Abbott,CT,False,
Abbott-17303,Joseph Abbott,CT,False,
Abbott-17320,Judith Young,NH,False,
Abbott-2321,John Abbott,MA,False,
Abbott-2322,Ephraim Abbott,MA,False,
Abbott-2323,Jason Abbott,MA,False,
Abbott-2324,Samuel Abbott,MA,False,
Abbott-2325,Sarah Abbott,MA,False,
Abbott-2326,Rebekah Sanderson,MA,False,
Abbott-2327,Abigail Abbott,MA,False,
Abbott-2329,Abijah Abbott,MA,False,
Abbott-2330,Amos Abbott,MA,False,
Abbott-2350,Nathan Abbott,MA,False,
Abbott-2351,Lydia Stiles,MA,False,
Abbott-2352,Samuel Abbott,MA,False,
Abbott-2353,Nathaniel Abbott,MA,False,
Abbott-2356,Isaac Abbott,MA,False,
Abbott-2357,John Abbott,MA,False,
Abbott-2358,Mary Bartlett,MA,False,
Abbott-2359,David Abbott,MA,False,
Abbott-2360,Jonathan Abbott,MA,False,
Abbott-2361,Moses Abbott,MA,False,
Abbott-2416,John Abbott,MA,False,
Abbott-2417,Ezra Abbott,MA,False,
Abbott-2418,Benjamin Abbott,MA,False,
Abbott-2419,Abigail Douglass,MA,False,
Abbott-2423,Abiel Abbott,MA,False,
Abbott-2424,Jacob Abbott,MA,False,
Abbott-2455,Daniel Abbott,MA,False,
Abbott-2456,Dorcas Frost,MA,False,
Abbott-2457,Sarah Montgomery,MA,False,
Abbott-2458,Farnum Abbott,MA,False,
Abbott-2459,Enoch Abbott,MA,False,
Abbott-2460,Hannah Farrington,MA,False,
Abbott-2461,Jonathan Abbott,MA,False,
Abbott-2462,Moses Abbott,MA,False,
Abbott-2463,Amos Abbott,MA,False,
Abbott-2512,David Abbott,MA,False,
Abbott-2513,Benjamin Abbott,MA,False,
Abbott-2539,Mary Abbott,,False,
Abbott-2540,Deborah Abbott,,False,
Abbott-2541,Sarah Stevens,MA,False,
Abbott-2543,Abner Abbott,,False,
Abbott-2544,Hannah Abbott,,False,
Abbott-2545,George Abbott,,False,
Abbott-2546,Dorcas Abbott,,False,
Abbott-2548,Abner Abbott,MA,False,
Abbott-2549,Samuel Abbott,,False,
Abbott-2550,Elizabeth Valpey,MA,False,
Abbott-300,Orinda Hinman,CT,False,
Abbott-301,Poly Abbott,MA,False,
Abbott-302,Lucy Abbott,CT,False,
Abbott-304,Hannah Abbott,CT,False,
Abbott-305,Royal Abbott,CT,False,
Abbott-3279,John Abbott,CT,False,
Abbott-4042,Rachel Abbott,,False,
Abbott-4445,Abnah Abbott,CT,False,
Abbott-4585,Lucy Abbott,CT,False,
Abbott-4586,Joseph Abbott,,False,
Abbott-4587,Mary Abbott,,False,
Abbott-4588,Reuben Abbott,CT,False,
Abbott-4589,Charles Abbott,,False,
Abbott-5015,Lois Abbott,CT,False,
Abbott-5016,Stephen Abbott,CT,False,
Abbott-5017,Hannah Abbott,CT,False,
Abbott-5019,Daniel Abbott,CT,True,
Abbott-5294,Ephraim Abbott,MA,False,
Abbott-5589,Ebenezer Abbott,NH,False,
Abbott-653,Enos Abbott,MA,False,
Abbott-6726,William Abbott,,False,
Abbott-7038,Zebadiah Abbott,MA,False,
Abbott-706,Zerviah Ellingwood,MA,False,
Abbott-714,Abraham Abbott,MA,False,
Abbott-7306,Daniel Abbott,CT,True,
Abbott-7307,Jedediah Abbott,CT,False,
Abbott-7308,John Abbott,CT,False,
Abbott-7309,Phebe Abbott,CT,False,
Abbott-7310,Eunice Hobart,,False,
Abbott-7311,Phebe Baker,,False,
Abbott-7312,Samuel Abbott,CT,False,
Abbott-7313,Elizabeth Abbott,,False,
Abbott-7314,Phipps Abbott,,False,
Abbott-7594,Abigail Whittemore,NH,False,
Abbott-8358,Eliza Perkins,NH,False,
Abbott-8381,Mary Scarborough,CT,False,
Abbott-867,Abigail Abbott,CT,False,
Abbott-868,Sarah Grumman,CT,False,
Abbott-8733,George Abbott,MA,False,
Abbott-8761,Betsey Hastings,MA,False,
Abbott-9177,Olive Towne,MA,False,
Abbott-9199,Hannah Shattuck,MA,False,
Abbott-954,Hannah Scofield,CT,False,
Abbott-955,Mary Whelpley,CT,False,
Abbott-956,Anne Foot,CT,False,
Abbott-957,Seth Abbott,CT,False,
Abbott-958,William Abbott,CT,False,
Abbott-959,Susannah Wright,CT,False,
Abbott-960,Abijah Abbott,CT,False,
Abbott-9746,David Abbott,CT,False,
Abbott-9895,Martha Child,NH,False,
Abbott-993,Ebenezer Abbott,CT,False,
Abbott-994,Michael Abbott,CT,False,
Abbott-995,Nathan Abbott,CT,False,
Abbott-996,Isaac Abbott,CT,False,
Abbott-998,Nathan Abbott,CT,False,
Abbott-999,Samuel Abbott,CT,False,
Abeel-32,Gerrit Abeel,NY,False,
Abeel-5,Cornplanter Abeel,NY,False,
Abeel-87,Anthony Abeel,NY,False,
Abel-3210,Elijah Abel,CT,True,
Abell-102,Benjamin Abell,CT,False,
Abell-1109,Dorothy Wimsatt,MD,False,
Abell-147,Elijah Abell,CT,False,
Abell-152,Elizabeth Thacher,CT,False,
Abell-1565,Eleanor Greenwell,,False,
Abell-160,Eunice Smith,CT,False,
Abell-1682,Ignatius Abell,MD,False,
Abell-195,Jabez Abell,CT,False,
Abell-1952,Philip Abell,MD,False,
Abell-213,Joseph Abell,CT,False,
Abell-303,Mollie Abell,CT,False,
Abell-338,Sarah Abell,CT,False,
Abell-473,Henrietta Thompson,MD,False,
Abell-475,John Abell,MD,False,
Abell-476,Mary Abell,MD,False,
Abell-477,Joshua Abell,MD,False,
Abell-478,Elizabeth Fenwick,MD,False,
Abell-479,Edmund Abell,MD,False,
Abell-480,Samuel Abell,MD,False,
Abell-527,Alethea Lillie Spalding,MD,False,
Abell-532,Peter Abell,MD,False,
Abell-58,Abel Abell,CT,False,
Abell-72,Aimey Abell,CT,False,
Abell-887,Robert Abell,MD,False,
Abell-950,Joseph Abell,MD,False,
Abell-951,Samuel Abell,MD,False,
Abney-132,John Abney,VA,False,
Abney-147,William Abney,VA,False,
Abney-148,Sarah McClanahan,VA,False,
Abney-258,William Abney,VA,False,
Abney-289,Martha Hogg,VA,False,
Abney-556,Martha Nanney,VA,False,
Abney-617,Lucy King,VA,False,
Abney-971,Nancy Fackler,,False,
Abney-972,Margaret North,,False,
Abney-973,John Abney,VA,False,
Aborn-190,Joseph Aborn,MA,False,
Aborn-35,James Aborn,MA,False,
Abraham-622,James Abraham,PA,False,
Abraham-633,Joseph Abraham,PA,False,
Abrams-1730,Mary Abraham,PA,False,
Acker-1628,John Acker,,False,
Acker-1885,Henry Acker,NY,False,
Acker-1994,Catherine Schutlz,,False,
Acker-490,Stephen Acker,,False,
Acker-492,Jacob Acker,,False,
Acker-609,Hannah Acker,,False,
Acker-610,Eve Acker,,False,
Acker-611,Barbara Acker,,False,
Acker-612,John Acker,PA,False,
Acker-613,Conrad Acker,PA,False,
Acker-614,Catherine Acker,,False,
Acker-615,Henry Acker,PA,False,
Acker-616,Anna Acker,,False,
Acker-617,Peter Acker,PA,False,
Acker-618,Elizabeth Acker,PA,False,
Acker-619,Jacob Acker,,False,
Ackerman-1469,Peter Ackerman,,False,
Ackerman-1883,Anitie Ackerman,NJ,False,
Ackerman-1985,David Ackerman,NJ,False,
Ackerman-2346,Sarah Stagg,,False,
Ackerman-2369,Johannes Ackerman,NJ,False,
Ackerman-2433,Maria Bogart,NJ,False,
Ackerman-2434,Elizabeth Hopper,NJ,False,
Ackerman-2435,Petrus Ackerman,NJ,False,
Ackerman-291,Abraham Ackerman,NJ,False,
Ackerman-295,Nicholas Ackerman,NJ,False,
Ackerman-297,Catharine Voorhees,NJ,False,
Ackerman-298,David Ackerman,,False,
Ackerman-299,Geleyn Ackerman,NJ,False,
Ackerman-301,Hester Ackerman,NJ,False,
Ackerman-302,Jacobus Ackerman,NJ,False,
Ackerman-303,James Ackerman,NJ,False,
Ackerman-304,John Ackerman,NJ,False,
Ackerman-305,Lenah Ackerman,NJ,False,
Ackerman-306,Rachel Ackerman,NJ,False,
Ackerman-307,Roelef Ackerman,NJ,False,
Ackerman-4028,"Jannetje Van Saan, Van Saun",NJ,False,
Ackerman-4288,Caty Ludlum,NJ,False,
Ackerman-60,Lourens Ackerman,NJ,False,
Ackerman-683,William Petrus Ackerman,NJ,False,
Ackerman-685,Petrus Abraham Ackerman,NJ,False,
Ackerman-686,Hannah Quackenbush,,False,
Ackerman-718,Elizabeth Post,NJ,False,
Ackerman-719,Ekbert Ackerman,NY,False,
Ackerman-721,David Ackerman,NJ,False,
Ackerman-722,Abraham Ackerman,NJ,False,
Ackerman-723,Rachel Ackerman,NJ,False,
Ackerman-724,Catrina Ackerman,,False,
Ackerman-725,Louwerense Ackerman,NJ,False,
Ackerman-739,Sara Ackerman,NJ,False,
Ackerman-740,Matheus Ackerman,NJ,False,
Ackerman-951,Mary Phillips,NJ,False,
Ackley-1224,Oliver Ackley,CT,False,
Adam-1850,Lucy Walker,CT,False,
Adam-1851,Sarah Beckley,CT,False,
Adam-1852,Samuel Adam,CT,False,
Adam-1853,John Adam,CT,False,
Adam-1854,Leonard Adam,CT,False,
Adam-1855,William Adam,CT,False,
Adams-10237,Moses Adams,,False,
Adams-10244,Jane Brown,VA,False,
Adams-10246,Rachel Moon,,False,
Adams-10247,Ann Perkins,,False,
Adams-10248,Jonathan Adams,,False,
Adams-10249,Sarah Adams,VA,False,
Adams-10250,James Adams,,False,
Adams-10251,John Adams,,False,
Adams-10939,Jonathan Adams,PA,False,
Adams-10940,Levi Adams,PA,False,
Adams-10941,Joseph Adams,PA,False,
Adams-10942,Lydia Adams,PA,False,
Adams-10943,James Adams,PA,False,
Adams-10944,Jacob Adams,PA,False,
Adams-10945,Eli Adams,PA,False,
Adams-10946,John Adams,PA,False,
Adams-10947,David Adams,PA,False,
Adams-10948,Jesse Adams,PA,False,
Adams-10949,Isaac Adams,PA,False,
Adams-10950,Weldon Adams,PA,False,
Adams-11,Abigail Smith,MA,False,
Adams-1163,Ruth Carrier,CT,False,
Adams-11886,Asa Adams,MA,False,
Adams-11887,Sybil Harding,,False,
Adams-11888,Daniel Adams,MA,False,
Adams-11889,Molly Adams,,False,
Adams-11890,Thomas Adams,MA,False,
Adams-12,John Quincy Adams,MA,False,
Adams-12430,Heman Adams,MA,False,
Adams-12548,Peter Adams,,False,
Adams-12981,Phinneas Adams,MA,False,
Adams-12994,Olive Hammond,MA,False,
Adams-12995,Samuel Adams,MA,False,
Adams-12997,Martha Adams,MA,False,
Adams-12998,Nathaniel Adams,MA,False,
Adams-12999,Alpheus Adams,MA,False,
Adams-13,Thomas Adams,MA,False,
Adams-13018,Mercy Ryder,MA,False,
Adams-13547,Thadeus Adams,,False,
Adams-13548,Zadoc Adams,CT,False,
Adams-14,Susanna Adams,MA,False,
Adams-14120,Mary Turner,MA,False,
Adams-14121,Ann Bass,MA,False,
Adams-14122,Susannah Boardman,MA,False,
Adams-14124,Elizabeth Adams,,False,
Adams-14125,Peter Adams,MA,False,
Adams-14347,Nathaniel Adams,MA,False,
Adams-14414,Mary Thayer,MA,False,
Adams-14415,Anne Vinton,MA,False,
Adams-14416,Elizabeth Newcomb,MA,False,
Adams-14418,Zabdiel Adams,MA,False,
Adams-15,Charles Adams,MA,False,
Adams-15047,William Adams,NY,False,
Adams-15077,David Adams,,False,
Adams-15488,Samuel Adams,MA,False,
Adams-16,Elizabeth Adams,MA,False,
Adams-16598,Lydia Sanford,CT,False,
Adams-16660,Willard Adams,NY,False,
Adams-16678,Simon Adams,NY,False,
Adams-17658,Joel Adams,CT,False,
Adams-1780,Lucy Batcheller,MA,False,
Adams-17803,Moses Adams,MA,False,
Adams-1781,Anna Adams,MA,False,
Adams-1782,Cyrus Adams,MA,False,
Adams-1783,Betsey Adams,MA,False,
Adams-17896,Elizabeth Simpson,,False,
Adams-18696,John Adams,MA,False,
Adams-18761,William Adams,MA,False,
Adams-18884,John Adams,,False,
Adams-18952,Susanna Sabin,MA,False,
Adams-18966,Ezra Adams,,False,
Adams-19353,Submit Adams,MA,False,
Adams-19354,Jonathan Adams,MA,False,
Adams-19355,Edward Adams,MA,False,
Adams-19356,Alice Adams,,False,
Adams-19357,Sarah Fairbanks,MA,False,
Adams-20337,John Adams,,False,
Adams-20613,Mary Esther Adams,,False,
Adams-20920,Mary Wood,CT,False,
Adams-22306,Sally Alford,NY,False,
Adams-23341,Benjamin Adams,MA,False,
Adams-23829,John Adams,PA,False,
Adams-25099,Charles Adams,,False,
Adams-25100,Aden Adams,MA,False,
Adams-2565,Abigail Converse,MA,False,
Adams-2569,Amos Adams,MA,False,
Adams-2570,Ann Hill,MA,False,
Adams-2572,Anna Tufts,MA,False,
Adams-25771,Mary Allen,CT,False,
Adams-2580,Charles Adams,MA,False,
Adams-25839,John Adams,CT,False,
Adams-2590,Daniel Adams,MA,False,
Adams-2595,Eliza Adams,,False,
Adams-25986,Andrew Adams,CT,False,
Adams-25987,Gideon Adams,CT,False,
Adams-2606,Hannah Tufts,MA,False,
Adams-2609,Harriet Adams,,False,
Adams-2616,Joel Adams,MA,False,
Adams-2621,Joseph Adams,MA,False,
Adams-2623,Joseph Adams,MA,False,
Adams-2634,Lucy Frost,MA,False,
Adams-26399,Elizabeth Snow,MA,False,
Adams-2641,Margaret Locke,MA,False,
Adams-2645,Martha Adams,MA,False,
Adams-2648,Mary Winship,MA,False,
Adams-2654,Nathan Adams,MA,False,
Adams-2664,Rebecca Tyler,,False,
Adams-2665,Rebecca Adams,,False,
Adams-2667,Rebecca Adams,,False,
Adams-2673,Samuel Adams,,False,
Adams-2675,Sarah Magoun,MA,False,
Adams-2678,Susanna Teel,MA,False,
Adams-2681,Thomas Adams,MA,False,
Adams-27498,Francis Adams,MA,False,
Adams-29209,Mary Whitlock,MA,False,
Adams-29523,Susanna Case,CT,False,
Adams-29949,John Adams,MA,False,
Adams-30231,Hannah Adams,MA,False,
Adams-30232,Hannah Adams,MA,False,
Adams-30233,Betty Adams,MA,False,
Adams-30234,Newton Adams,MA,False,
Adams-30235,Lewis Adams,MA,False,
Adams-30306,Mary Wolcott,CT,False,
Adams-30307,Lucy Crane,,False,
Adams-30308,Hannah Adams,NY,False,
Adams-30775,Thomas Adams,MA,False,
Adams-30923,Lydia Kimball,,False,
Adams-31074,Reuben Adams,CT,False,
Adams-31296,Joseph Adams,MA,False,
Adams-31395,Mary Wells,CT,False,
Adams-31663,James Adams,,False,
Adams-31665,Abel Adams,,False,
Adams-31670,William Adams,CT,False,
Adams-33508,Hephzibah Fairbanks,MA,False,
Adams-33802,Thankful Adams,MA,False,
Adams-33803,Rebecca Adams,MA,False,
Adams-33823,Salathial Adams,MA,False,
Adams-33846,Abel Adams,MA,False,
Adams-34077,William Adams,,False,
Adams-34317,Keziah Patten,MA,False,
Adams-35436,Clarissa Hersey,MA,False,
Adams-35437,Ann Whitney,MA,False,
Adams-35925,Thaddeus Adams,MA,False,
Adams-35995,Andrew Adams,,False,
Adams-35996,Jane Chase,,False,
Adams-35997,Sarah Crummett,,False,
Adams-35998,James Adams,MA,False,
Adams-35999,Samuel Adams,,False,
Adams-36000,Jonathan Adams,,False,
Adams-36624,Hosea Adams,CT,False,
Adams-37388,Abigail Wheelock,MA,False,
Adams-37887,Josiah Adams,MA,False,
Adams-38680,Edward Adams,MA,False,
Adams-38686,Nabby Bixby,MA,False,
Adams-38715,Rebecca Houghton,MA,False,
Adams-39001,John Adams,MA,False,
Adams-39174,Eunice Mason,NH,False,
Adams-39697,Joel Adams,MA,False,
Adams-4087,Elisha Adams,MA,False,
Adams-40910,William Adams,MA,False,
Adams-4097,Lemuel Adams,MA,False,
Adams-4098,Sarah Adams,MA,False,
Adams-4099,Joanna Adams,MA,False,
Adams-4100,Mary Adams,MA,False,
Adams-4101,Benjamin Adams,MA,False,
Adams-4102,Jonathan Adams,MA,False,
Adams-4103,John Adams,MA,False,
Adams-4104,James Adams,MA,False,
Adams-4105,Anna Adams,MA,False,
Adams-4106,William Adams,MA,False,
Adams-41213,Roger Adams,MA,False,
Adams-41232,Solomon Adams,MA,False,
Adams-41263,Joseph Adams,MA,False,
Adams-41519,John Adams,MA,False,
Adams-41652,Lawrence Adams,,False,
Adams-41653,Henry Adams,,False,
Adams-41654,Jesse Adams,,False,
Adams-41655,Abigail Adams,,False,
Adams-41657,David Adams,,False,
Adams-41658,James Adams,,False,
Adams-41659,William Adams,,False,
Adams-41660,Isabel Harris,,False,
Adams-41661,Sarah Adams,,False,
Adams-41662,Rachael Adams,,False,
Adams-41663,Nancy Adams,,False,
Adams-41847,Josiah Adams,MA,False,
Adams-4264,Lucy Hill,MA,False,
Adams-42654,Phineas Adams,MA,False,
Adams-42784,Lois Draper,MA,False,
Adams-43095,Ruth Bullard,NH,False,
Adams-43238,Hephzibah Adams,,False,
Adams-43349,William Adams,MA,False,
Adams-43505,Timothy Adams,MA,False,
Adams-43962,Lucy Adams,MA,False,
Adams-43963,Betsey Adams,MA,False,
Adams-43964,Thankful Adams,MA,False,
Adams-43965,Rebecca Adams,MA,False,
Adams-43966,Bartlett Adams,MA,False,
Adams-43967,Hannah Adams,MA,False,
Adams-43968,Daniel Adams,MA,False,
Adams-43969,Richard Adams,MA,False,
Adams-43971,Caleb Adams,MA,False,
Adams-4413,Samuel Adams,MA,False,
Adams-4416,Elizabeth Adams,MA,False,
Adams-4417,Joseph Adams,MA,False,
Adams-4418,Mehitable Adams,MA,False,
Adams-4419,Susan Hawley,MA,False,
Adams-4420,Amos Adams,MA,False,
Adams-4421,Sarah Adams,MA,False,
Adams-4422,Darius Adams,CT,False,
Adams-44346,Martha Tufts,MA,False,
Adams-44450,James Adams,NH,False,
Adams-44906,Betsey Ripley,MA,False,
Adams-45929,Love Russell,MA,False,
Adams-46397,Mary Blades,,False,
Adams-4672,Jesse Adams,MA,False,
Adams-4673,Reuben Adams,MA,False,
Adams-4674,Obadiah Adams,MA,False,
Adams-4675,Issachar Adams,MA,False,
Adams-4676,Elijah Adams,MA,False,
Adams-4677,Nathan Adams,MA,False,
Adams-46884,Margaret Ellis,MA,False,
Adams-46885,Lydia Brastow,MA,False,
Adams-4777,Lucinda Adams,MA,False,
Adams-4778,Ruth Adams,MA,False,
Adams-4779,Polly Adams,MA,False,
Adams-4780,Nathan Adams,MA,False,
Adams-4781,Keziah Adams,MA,False,
Adams-4782,Mary Adams,MA,False,
Adams-4809,Mary Adams,MA,False,
Adams-4810,Christian Adams,MA,False,
Adams-4811,Silence Adams,MA,False,
Adams-4812,Abraham Adams,MA,False,
Adams-4813,William Adams,MA,False,
Adams-4814,Moses Adams,MA,False,
Adams-48148,Thomas Adams,,False,
Adams-4815,Samuel Adams,MA,False,
Adams-48792,Lucy Tenney,MA,False,
Adams-49339,Phebe Burbank,NH,False,
Adams-50109,Thomas Adams,MA,False,
Adams-50687,Chauncey Adams,CT,False,
Adams-51093,Judith Kingsbury,MA,False,
Adams-51458,Rhoda Plimpton,MA,False,
Adams-51923,Jacob Adams,,False,
Adams-52260,Roswell Adams,CT,False,
Adams-52275,Elizabeth Appleton,MA,False,
Adams-52277,Moses Adams,MA,False,
Adams-52407,Rebecca Russell,MA,False,
Adams-53293,Abel Adams,NH,False,
Adams-53524,Jabez Adams,CT,False,
Adams-53529,Chauncey Adams,CT,False,
Adams-54368,Paul Adams,MA,False,
Adams-5437,Joseph Adams,CT,False,
Adams-5438,Susanna Davenport,CT,False,
Adams-5439,Jerusha Adams,CT,False,
Adams-5440,Elihu Adams,CT,False,
Adams-5441,David Adams,CT,False,
Adams-5442,Daniel Adams,CT,False,
Adams-5443,Roswell Adams,CT,False,
Adams-5450,Mary Brown,,False,
Adams-54653,Benoni Adams,MA,False,
Adams-55182,Annanisa Herrick,CT,False,
Adams-5525,Flavia Adams,MA,False,
Adams-5526,John Adams,MA,False,
Adams-5527,Chester Adams,MA,False,
Adams-5528,Mary Adams,MA,False,
Adams-5529,Origen Adams,MA,False,
Adams-5530,Barnabas Adams,MA,False,
Adams-5531,Elisha Adams,MA,False,
Adams-5532,Ebenezer Adams,MA,False,
Adams-5533,Betsey Adams,MA,False,
Adams-55936,Mary Metcalf,MA,False,
Adams-5595,Zebulon Adams,,False,
Adams-5596,Joseph Adams,NY,False,
Adams-55984,Thankful Bullard,MA,False,
Adams-55987,Micah Adams,MA,False,
Adams-56093,Amos Adams,MA,False,
Adams-56133,Jemima Randall,MA,False,
Adams-5666,George Adams,,False,
Adams-56766,Samuel Adams,MA,False,
Adams-57177,Rachel Pond,MA,False,
Adams-57552,Aaron Adams,CT,False,
Adams-57676,Mary Adams,MA,False,
Adams-57677,Rebecca Downing,MA,False,
Adams-57678,Smith Adams,MA,False,
Adams-57679,Mercy Adams,MA,False,
Adams-57680,Sarah Adams,MA,False,
Adams-57681,Marcy Adams,MA,False,
Adams-58761,Thomas Adams,MA,False,
Adams-58823,Phoebe Smith,CT,False,
Adams-58925,Jesse Adams,NH,False,
Adams-59013,Frances Houghton,MA,False,
Adams-59054,Mary Bellows,MA,False,
Adams-5911,Elijah Adams,CT,False,
Adams-5941,William Adams,MA,False,
Adams-5955,Hannah Adams,MA,False,
Adams-5956,Nathan Adams,,False,
Adams-5957,Abigail Bixby,MA,False,
Adams-5958,Ephraim Adams,MA,False,
Adams-5959,Joseph Adams,MA,False,
Adams-5960,Soloman Adams,MA,False,
Adams-5961,Mary Adams,MA,False,
Adams-5962,Lucy Witt,MA,False,
Adams-5963,Samuel Adams,MA,False,
Adams-5964,Prudence Adams,MA,False,
Adams-5965,Mary Newton,MA,False,
Adams-5966,Abigail Bemis,MA,False,
Adams-5967,Elizabeth Adams,MA,False,
Adams-5968,Molly Howe,MA,False,
Adams-5969,Olive Adams,MA,False,
Adams-5970,Sarah Adams,MA,False,
Adams-5971,John Adams,MA,False,
Adams-60255,Isabella Barnard,CT,False,
Adams-60286,John Adams,NY,False,
Adams-60660,Abraham Adams,MA,False,
Adams-61165,Nathaniel Adams,MA,False,
