child_id,child_name,state,in_post1790,error,parent_id,parent_ids_all,parent_name
Abbott-7306,Daniel Abbott,CT,True,,Abbott-2269,Abbott-2269,Samuel Abbott
Abel-3210,Elijah Abel,CT,True,,Abell-150,Abell-150,Elijah Abell
Allen-14753,Noah Allen,MA,True,,Way-637,Way-637,Abigail Allyn
Allen-27627,Betsey Wadsworth,CT,True,,Allen-27628,Allen-27628,Daniel Allen
Allen-35580,Elizabeth Allen,CT,True,,Allen-23631,Allen-23631,Thomas Allen
Allen-69305,Thomas Allen,MA,True,,Allen-63585,Allen-63585,Isaac Allen
Allyn-644,Henry Allyn,CT,True,,Allyn-402,Allyn-402,John Allyn
Amory-332,Thomas Amory,MA,True,,Amory-37,Amory-37,John Amory
Amory-38,Thomas Amory,MA,True,,Amory-37,Amory-37,John Amory
Andrews-148,William Andrews,CT,True,,Andrews-149,Andrews-149,William Andrus
Austin-13803,John Austin,CT,True,,Austin-3009,Austin-3009,David Austin
Austin-2653,Elijah Austin,CT,True,,Austin-2654,Austin-2654,Joshua Austin
Avery-3945,Amos Avery,CT,True,,Avery-3949,Avery-3949,John Avery
Backus-533,Elijah Backus,CT,True,,Bacon-3848,Bacon-3848,Mary Backus
Baldwin-5675,Timothy Baldwin,CT,True,,Baldwin-2047,Baldwin-2047,Samuel Baldwin
Baldwin-5677,Timothy Baldwin,CT,True,,Baldwin-2047,Baldwin-2047,Samuel Baldwin
Ball-5126,Joseph Ball,PA,True,,Ball-5124,Ball-5124,John Ball
Bedford-528,Gunning Bedford,DE,True,,Bedford-2561,Bedford-2561,William Bedford
Beecher-420,David Beecher,CT,True,,Beecher-228,Beecher-228,Isaac Beecher
Beecher-426,David Beecher,CT,True,,Perkins-8034,Perkins-8034,Hannah Beecher
Beers-1315,Elias Beers,CT,True,,Beers-382,Beers-382,Nathan Beers
Beers-1426,Isaac Beers,CT,True,,Beers-382,Beers-382,Nathan Beers
Beers-2436,Nathan Beers,CT,True,,Beers-1136,Beers-1136,Samuel Beers
Benedict-1337,Sarah Smith,CT,True,,Benedict-790,Benedict-790,James Benedict
Bennet-314,John Bennett,NJ,True,,Bennet-69,Bennet-69,John Bennet
Bennett-8236,Daniel Bennett,CT,True,,Bennett-8237,Bennett-8237,Nathan Bennett
Biddle-350,Clement Biddle,PA,True,,Biddle-342,Biddle-342,Owen Biddle
Biddle-594,Thomas Biddle,PA,True,,Biddle-341,Biddle-341,Clement Biddle
Bolles-244,John Bolles,CT,True,,Moore-31622,Moore-31622,Margaret Bolles
Bowie-334,Robert Bowie,MD,True,,Bowie-960,Bowie-960,William Bowie
Boyd-2675,James Boyd,PA,True,,Boyd-2669,Boyd-2669,Mary Boyd
Boyd-6124,James Boyd,PA,True,,Boyd-5708,Boyd-5708,William Boyd
Brackett-1591,Joshua Brackett,NH,True,,Brackett-1284,Brackett-1284,George Brackett
Bright-285,Jacob Bright,PA,True,,Bright-284,Bright-284,Peter Bright
Brown-131608,John Brown,PA,True,,Brown-50426,Brown-50426,William Brown
Brown-169616,Sarah Smith,CT,True,,Skelding-127,Skelding-127,Rebecca Brown
Brown-177610,Francis Brown,CT,True,,Slauson-68,Slauson-68,Rebecca Brown
Brown-45738,Peleg Brown,CT,True,,Brown-21524,Brown-21524,Amos Brown
Brown-53760,David Brown,CT,True,,Brown-46658,Brown-46658,Daniel Brown
Brown-59033,William Brown,PA,True,,Thompson-18376,Thompson-18376,Elizabeth Brown
Brown-612,Joseph Brown,PA,True,,Brown-610,Brown-610,Daniel Brown
Brown-68031,David Brown,CT,True,,Brown-37866,Brown-37866,Samuel Brown
Brown-85990,William Brown,PA,True,,Brown-81123,Brown-81123,John Brown
Brown-85995,James Brown,PA,True,,Brown-81123,Brown-81123,John Brown
Brown-86620,Benjamin Brown,MA,True,,Brown-86025,Brown-86025,William Brown
Brown-87452,David Brown,CT,True,,Brown-17464,Brown-17464,James Brown
Browne-1901,Joseph Brown,PA,True,,Brown-79831,Brown-79831,Abraham Brown
Bulkley-346,Abigail Bulkley,CT,True,,Bulkley-302,Bulkley-302,Jonathan Bulkeley
Burr-2194,Thaddeus Burr,CT,True,,Burr-1239,Burr-1239,Peter Burr
Caldwell-8721,David Caldwell,PA,True,,Stephenson-6680,Stephenson-6680,Elizabeth Caldwell
Campbell-21003,James Campbell,PA,True,,Campbell-54996,Campbell-54996,John Campbell
Campbell-38120,James Campbell,PA,True,,Campbell-38121,Campbell-38121,William Campbell
Campbell-7919,James Campbell,PA,True,,Campbell-2731,Campbell-2731,John Campbell
Canfield-1856,Abiel Canfield,CT,True,,Canfield-744,Canfield-744,Joseph Canfield
Canfield-2483,Samuel Canfield,CT,True,,Canfield-503,Canfield-503,Jonathan Canfield
Carpenter-16916,James Carpenter,NY,True,,Carpenter-5835,Carpenter-5835,Timothy Carpenter
Carroll-3428,Charles Carroll,MD,True,,Darnall-125,Darnall-125,Molly Carroll
Carroll-5180,Daniel Carroll,MD,True,,Hill-19326,Hill-19326,Mary Carroll
Carroll-5444,Charles Carroll,MD,True,,Hill-19326,Hill-19326,Mary Carroll
Chaffee-750,John Chaffee,CT,True,,Brown-31122,Brown-31122,Anna Chaffee
Choate-152,David Choate,MA,True,,Choate-130,Choate-130,William Choate
Clark-24809,Thomas Clark,CT,True,,Clark-6546,Clark-6546,Nathaniel Clark
Clark-39484,James Clark,CT,True,,Clark-1980,Clark-1980,Nathaniel Clark
Clark-65324,James Clark,CT,True,,Bacon-2706,Bacon-2706,Mary Clarke
Clark-67379,Nathan Clark,CT,True,,Clark-50553,Clark-50553,Thomas Clark
Coburn-1452,John Coburn,MA,True,,Coburn-734,Coburn-734,Nathaniel Coburn
Cogswell-900,Nathaniel Cogswell,CT,True,,Cogswell-52,Cogswell-52,Nathan Cogswell
Coit-294,John Coit,CT,True,,Coit-268,Coit-268;Richards-6877,Samuel Coit
