raw_name,state,original_row,Face Value,Specie Value
CHRISTIAN FEBIGER,PA,64762,500,12.5
CHRISTIAN FEBIGER,PA,64763,500,12.5
CHRISTIAN FEBIGER,PA,64764,500,12.5
CHRISTIAN FEBIGER,PA,64765,500,12.5
CHRISTIAN FEBIGER,PA,64766,500,12.5
CHRISTIAN FEBIGER,PA,64767,500,12.5
CHRISTIAN FEBIGER,PA,64768,500,12.5
CHRISTIAN FEBIGER,PA,64769,500,12.5
CHRISTIAN FEBIGER,PA,64770,500,12.5
CHRISTIAN FEBIGER,PA,64771,500,12.5
JAMES MOTT,NJ,33846,400,57.8833
JAMES MOTT,NJ,33847,400,57.8833
JAMES MOTT,NJ,37471,500,21.3125
JAMES MOTT,NJ,37472,500,21.3125
JAMES MOTT,NJ,37895,2000,59.3889
JAMES MOTT,NJ,37899,400,11.8778
JAMES MOTT,NJ,37900,400,11.8778
JAMES MOTT,NJ,37901,1000,29.6944
JAMES MOTT,NJ,37904,200,5.9389
JEDEDIAH HUNTINGTON,CT,17870,400,400.0
JEDEDIAH HUNTINGTON,CT,17871,400,400.0
JEDEDIAH HUNTINGTON,CT,17872,400,400.0
JEDEDIAH HUNTINGTON,CT,17873,400,400.0
JEDEDIAH HUNTINGTON,CT,17874,400,400.0
JEDEDIAH HUNTINGTON,CT,17875,400,400.0
JEDEDIAH HUNTINGTON,CT,17876,400,400.0
JEDEDIAH HUNTINGTON,CT,17877,400,400.0
JEDEDIAH HUNTINGTON,CT,17878,400,400.0
JEDEDIAH HUNTINGTON,CT,17879,400,400.0
JEDEDIAH HUNTINGTON,CT,17880,400,400.0
JEDEDIAH HUNTINGTON,CT,17881,400,400.0
JEDEDIAH HUNTINGTON,CT,17882,400,400.0
JEDEDIAH HUNTINGTON,CT,17883,400,400.0
JEDEDIAH HUNTINGTON,CT,17884,400,400.0
JEDEDIAH HUNTINGTON,CT,17885,400,400.0
JEDEDIAH HUNTINGTON,CT,17906,300,300.0
JEDEDIAH HUNTINGTON,CT,17907,300,300.0
JEDEDIAH HUNTINGTON,CT,18371,400,400.0
JEDEDIAH HUNTINGTON,CT,18372,400,400.0
JEDEDIAH HUNTINGTON,CT,18373,400,400.0
JEDEDIAH HUNTINGTON,CT,18374,400,400.0
JEDEDIAH HUNTINGTON,CT,18375,400,400.0
JEDEDIAH HUNTINGTON,CT,18376,400,400.0
JEDEDIAH HUNTINGTON,CT,18384,300,300.0
JEDEDIAH HUNTINGTON,CT,18385,300,300.0
JEDEDIAH HUNTINGTON,CT,19196,600,535.1333
JEDEDIAH HUNTINGTON,CT,19198,500,445.9444
JEDEDIAH HUNTINGTON,CT,19304,600,471.425
JEDEDIAH HUNTINGTON,CT,19305,600,471.425
JEDEDIAH HUNTINGTON,CT,19834,300,178.4542
JEDEDIAH HUNTINGTON,CT,23692,600,47.825
JEDEDIAH HUNTINGTON,CT,23695,500,39.8542
JEDEDIAH HUNTINGTON,CT,24266,4000,299.0556
JEDEDIAH HUNTINGTON,CT,24280,500,37.3819
JEDEDIAH HUNTINGTON,CT,24573,500,29.1319
JEDEDIAH HUNTINGTON,CT,24574,500,29.1319
JEDEDIAH HUNTINGTON,CT,24863,3000,133.6667
JEDEDIAH HUNTINGTON,CT,24864,3000,133.6667
JEDEDIAH HUNTINGTON,CT,24882,200,8.8389
WILLIAM GARDNER,NH,63,200,131.7444
WILLIAM GARDNER,NH,64,200,131.7444
WILLIAM GARDNER,NH,65,200,131.7444
WILLIAM GARDNER,NH,66,200,131.7444
WILLIAM GARDNER,NH,67,200,131.7444
WILLIAM GARDNER,NH,68,200,131.7444
WILLIAM GARDNER,NH,69,200,131.7444
WILLIAM GARDNER,NH,70,200,131.7444
