name
Richard Platt
William Duer
William Constable
Andrew Craigie
Clement Biddle
Elias Boudinot
Robert Morris
Gouverneur Morris
Daniel Parker
Herman LeRoy
William Bayard
John Delafield
Watson and Greenleaf
C. and J. Shaw
Nicholas Low
Robert Gilchrist
Peter Stadnitski
Matthys Ooster
Karel D'Amour
Kindreck Vollenhoven
Hendrick Vollenhoven
Etienne L'Espinasse
Christian van Eighen
Nicholas Van Staphorst
Gerrit Nutges
Johan van Franckenstein
Richard Smith
James Jarvis
Christopher Gore
Samuel Rogers
Francis Baring
Edmund Boehm
Thomas Hinchman
Charles John Michael de Wolf
Francis Vanderborcht
James Seagrove
Robert Hazlehurst & Co.
Robert Hazlehurst
Leonard Bleecker
Nathaniel Prime
Samuel Breck
David Sears
Nathan Bond
William Philips
"William Philips, Jr."
John Peck
Jonathan Mason
"Jonathan Mason, Jr."
William Burley
John Sprague
Mordecai Lewis
William Bingham
Matthew McConnell
Blair McClenachan
Solomon Lyons
Peter Wikoff
Charles Pettit
John Olden
John M. Taylor
Walter Stewart
"Andrew Summers, Jr."
Mrs. McClenachan
Christopher Marshall
"Christopher Marshall, Jr."
Charles Marshall
Andrew Caldwell
John Caldwell
Nicholas Brown
Philip Allen
Zachariah Allen
Jabez Bowen
Clarke and Nightingale
Nightingale
Joseph Clarke
Welcome Arnold
John Harbach
Hazard
Addoms
Robert Bridges
Edward Fox
Dr. Robert Blackwell
Thomas Willing
