,town,state,county,geo_level
1221,Pennsylvania,PA,,state
1234,Worcester County,MD,Worcester County,county
1243,Alexandria State of Virginia,VA,Fairfax County,state
1267,George town,MD,Cecil County,town
1375,Allegany County,MD,Allegany County,county
1490,Doden Maryland,MD,,state
1529,Isaac,MD,,state_flag
1590,London,MD,,state
1632,Frederick County Maryland,MD,Frederick County,county
1699,Edenton,NC,Chowan County,town
1701,Wayne County,NC,Wayne County,county
1702,,NC,,state
1705,Richmond Virginia,VA,Henrico County,town
1706,Newbern,NC,Craven County,town
1707,Rowan County,NC,Rowan County,county
1711,Warren County,NC,Warren County,county
1712,Tarborugh,NC,Edgecombe County,town
1716,Murfrees Borough,NC,Hertford County,town
1717,Perquimans County,NC,Perquimans County,county
1718,Mecklenburg County,NC,Mecklenburg County,county
1720,Fayetteville,NC,Cumberland County,town
1721,Wilmington,NC,New Hanover County,town
1722,Petersburg Virginia,VA,Hampshire County,town
1723,Edgecombe County,NC,Edgecombe County,county
1724,Pitt County,NC,Pitt County,county
1725,Salisbury,NC,Rowan County,town
1728,Halifax,NC,Halifax County,town
1735,Montgomery County Maryland,MD,Montgomery County,county
1738,Washington,NC,Beaufort County,town
1749,Halifax ,NC,Halifax County,town
1751,Eustatia,BVI,,other
1755,North Carolina,NC,,state
1756,Currituck County,NC,Currituck County,county
1762,Hillsborough,NC,Orange County,town
1763,Rockingham County,NC,Rockingham County,county
1774,Exeter,NH,Rockingham County,town
1775,Rockingham,NH,Rockingham County,county
1776,Merrimac,NH,Hillsborough County,town
1785,Kittery,MA,,state_flag
1789,Deerfield,NH,Rockingham County,town
1791,Greenland,NH,Rockingham County,town
1792,,NH,,state
1793,Kingstown,NH,Rockingham County,town
1794,Andover,MA,Essex County,town
1795,Kensington,NH,Rockingham County,town
1796,Hampton,NH,Rockingham County,town
1797,North Hampton,NH,Rockingham County,town
1800,Newbury,NH,Hillsborough County,town
1802,Candia,NH,Rockingham County,town
1806,Salem,MA,Essex County,town
1808,Marbury,NH,Strafford County,town
1809,London,NH,Rockingham County,town
1811,Newbury Port,MA,Essex County,town
1815,Salem,NH,Rockingham County,town
1817,Glouster,NH,,state_flag
1821,Canterbury,NH,Rockingham County,town
1827,York,NH,,state_flag
1831,New Castle,NH,Rockingham County,town
1832,Wells,NH,,state_flag
1835,Beverly,MA,Essex County,town
1837,Sandwich,NH,Strafford County,town
1838,Pembroke,NH,Hillsborough County,town
1840,Gilmantown,NH,Strafford County,town
1844,Pelham,NH,Hillsborough County,town
1846,Situate,MA,Plymouth County,town
1848,Concord,NH,Grafton County,town
1849,Ipswich,MA,Essex County,town
1850,Barrington,NH,Strafford County,town
1853,Rowley,MA,Essex County,town
1854,Newtown,NH,Rockingham County,town
1859,South Hampton,NH,Rockingham County,town
1860,Tamworth,NH,Strafford County,town
1866,Amherst,NH,Hillsborough County,town
1868,Hopkinton,NH,Hillsborough County,town
1871,Acworth,NH,Cheshire County,town
1872,Somersworth,NH,Strafford County,town
1873,Haverhill,MA,Essex County,town
1878,Nottingham,NH,Rockingham County,town
1880,Charlestown,NH,Cheshire County,town
1888,Stoughton,MA,Suffolk County,town
1892,Wakefield,NH,Strafford County,town
1897,Londonberry,NH,Rockingham County,town
1901,Salisbury,NH,Hillsborough County,town
1908,Durham,NH,Strafford County,town
1926,Hollis,NH,Hillsborough County,town
1947,Dover,NH,Strafford County,town
1964,Brintwood,NH,Rockingham County,town
1971,Roxbury,MA,Suffolk County,town
1973,Keene,NH,Cheshire County,town
1976,Rye,NH,Rockingham County,town
1982,Almsbury,MA,Essex County,town
1993,Lancaster,PA,Lancaster County,town
2000,Philadelphia County,PA,Philadelphia County,county
2002,Bucks County Pennsylvania,PA,Bucks County,county
2004,,PA,,state
2006,Carlisle Pennsylvania,PA,Cumberland County,town
2011,Germantown,PA,Cumberland County,town
2029,Franklin County,PA,Franklin County,county
2032,New Castle Delaware,DE,New Castle County,county
2038,Reading,PA,Berks County,town
2051,Bethlehem,PA,Northampton County,town
2063,New Jersey,NJ,,state
2083,Barbadoes,PA,,state
2085,Sta Croix,PA,,state
2090,Westmoreland,PA,Westmoreland County,town
2093,Blockley,PA,Philadelphia County,town
2096,Alexandria Virginia,VA,Fairfax County,town
2099,Montgomery,PA,Northumberland County,town
2100,W Callisters Town,PA,,state
2101,Huntington New Jersey,NJ,,state
2106,Cumberland,PA,Cumberland County,town
2115,Delaware,PA,Delaware County,county
2123,State of Delawere,DE,,state
2130,Cambridge Massachusetts,MA,Middlesex County,town
2143,Massachusetts,MA,,state
2168,Reading Pennsylvania,PA,Berks County,town
2169,Tulpehocken,PA,Berks County,town
2172,,VA,,state
2185,Chester County,PA,Chester County,county
2202,Connecticutt,CT,,county
2207,Armstrong,PA,Northumberland County,town
2226,Bucks County,PA,Bucks County,county
2259,Reading Berks County,PA,Berks County,town
2269,County of Philadelphia,PA,Philadelphia County,county
2283,Maidenhead,PA,,state
2285,Northumb Country,PA,Northumberland County,county
2335,Northan Liberties,PA,Philadelphia County,town
2409,Montgomery County,PA,Montgomery County,county
2429,Delaware Newcastle County,DE,New Castle County,county
2442,Chester County Pennsylvania,PA,Chester County,county
2443,York Town Pennsylvania,PA,York County,town
2470,Lancaster Pennsylvania,PA,Lancaster County,town
2475,Dauphin County Pennsylvania,PA,Dauphin County,county
2477,Allegheny County Pennsylvania,PA,Allegheny County,county
2483,Louden County Virginia,VA,Loudoun County,county
2493,Borden Town,PA,Philadelphia County,town
2496,Chester Co Pennsylvania,PA,Chester County,county
2498,The N Lib of Philadelphia,PA,Philadelphia County,town
2500,Pennsylvania Berks County,PA,Berks County,county
2502,Pennsylvania Montgomery County,PA,Montgomery County,county
2505,Franklin County Pennsylvania,PA,Franklin County,county
2514,Charleston South Carolina,PA,Charleston County,town
2520,Pittsburgh Pennsylvania,PA,Allegheny County,town
2522,Lancaster County Pennsylvania,PA,Lancaster County,county
2527,Brunswick New Jersey,NJ,Middlesex County,town
2531,St Eustalia,PA,,state
2533,Berks County Pennsylvania,PA,Berks County,county
2555,Berks County,PA,Berks County,county
2560,Fayette County Pennsylvania,PA,Fayette County,county
2568,Delaware County Pennsylvania,PA,Delaware County,county
2575,Passyunk,PA,Philadelphia County,town
2589,Northampton County Pennsylvania,PA,Northampton County,county
2591,Chester County Pennsylvaina,PA,Chester County,county
2595,Northern Liberties,PA,Philadelphia County,town
2602,Northum County Pennsylvania,PA,Northumberland County,county
2609,Fredericksburg Virginia,VA,Spotsylvania County,town
2613,Chambersburgh Pennsylvania,PA,Franklin County,town
2615,Fredrick Co Maryland,MD,Frederick County,county
2625,Frankford Philadelphia County,PA,Philadelphia County,town
2631,Ohio County Virginia,VA,Ohio County,county
2636,Dauphincoy Pennsylvania,PA,Dauphin County,town
2641,York County Pennsylvania,PA,York County,county
2644,Cape May New Jersey,NJ,Cape May County,town
2646,Cumb County Pennsylvania,PA,Cumberland County,county
2665,Delaware State,DE,,state
2675,Trenton New Jersey,NJ,Hunterdon County,town
2691,New Brunswick New Jersey,NJ,Middlesex County,town
2692,Mount Holley New Jersey,NJ,Burlington County,town
2704,Kensington,PA,Westmoreland County,town
2712,Dauphin County,PA,Dauphin County,county
2717,Chester,PA,Chester County,county
2718,Burlington New Jersey,PA,Burlington County,town
2720,Allegheny County,PA,Allegheny County,county
2775,Chester and County,PA,Chester County,county
2798,German Town,PA,Philadelphia County,town
2818,Westmoreland County,PA,Westmoreland County,county
2828,Middlesex New Jersey,NJ,Middlesex County,town
2833,Dauphin and Company,PA,Dauphin County,town
2845,The Northern Libert,PA,Philadelphia County,town
2853,Lancaster County,PA,Lancaster County,county
2854,Kent Company Delaware,DE,Kent County,county
2864,Northumberland County,PA,Northumberland County,county
2871,Hatter Philadelphia,PA,Philadelphia County,town
2902,Accomack County Virginia,VA,Accomack County,county
2906,Princeton New Jersey,NJ,Middlesex County,town
2920,Albany,NY,Albany County,town
2927,Northampton County,PA,Northampton County,county
2934,King George Co Virginia,VA,King George County,county
2950,Southwark,PA,Philadelphia County,town
2952,Westmoreland County Pennsylvania,PA,Westmoreland County,county
2987,Wilmington Delaware,DE,New Castle County,county
2988,Montgomery County Pennsylvania,PA,Montgomery County,county
3001,Burlington New Jersey,NJ,Burlington County,town
3011,Northumberland County Pennsylvania,PA,Northumberland County,county
3016,Sunbury Pennsylvania,PA,Northumberland County,town
3024,Church on Philadelphia,PA,Philadelphia County,town
3033,James City County Virginia,VA,James City County,county
3037,Pittsburgh,PA,Allegheny County,town
3052,Newark,PA,,state
3054,Monmouth County New Jersey,NJ,Monmouth County,county
3057,Philadelphila,PA,Philadelphia County,town
3065,New Castle County Delaware State,DE,New Castle County,state
3071,Somerset County Maryland,MD,Somerset County,county
3094,York County,PA,York County,county
3134,Northumberland County Virginia,PA,,state
3167,Newton Township New Jersey,NJ,Sussex County,town
3195,Paxton Tot Dauphin County,PA,Dauphin County,county
3204,Delaware County,PA,Delaware County,county
3209,Cape May,NJ,Cape May County,town
3231,Bedford County,PA,Bedford County,county
3251,Somerset County New Jersey,NJ,Somerset County,county
3269,York Town,PA,York County,town
3283,Little Compton,RI,Newport County,town
3284,Warren,RI,Bristol County,town
3285,East Greenwich,RI,Kent County,town
3286,Johnston,RI,Providence County,town
3287,Scituate,RI,Providence County,town
3290,Coventry,RI,Kent County,town
3292,Rehoboth,MA,Bristol County,town
3294,Newport,RI,Newport County,town
3298,Dighton,MA,Bristol County,town
3299,Cumberland,RI,Providence County,town
3301,South Kingston,RI,Washington County,town
3302,North Hampton,MA,Hampshire County,town
3304,Littleton,MA,Middlesex County,town
3305,Sutton,MA,Worcester County,town
3309,Gloucester,RI,Providence County,town
3310,Ludlow,MA,Hampshire County,town
3311,North Providence,RI,Providence County,town
3321,Foster,RI,Providence County,town
3322,Warwick,RI,Kent County,town
3326,Liecester,MA,Worcester County,town
3329,Bristol,RI,Bristol County,town
3347,Smithfield,RI,Providence County,town
3348,,RI,,state
3355,Newport in New Hampshire,NH,Cheshire County,town
3371,Barrington,RI,Bristol County,town
3387,Somerset,MA,Bristol County,town
3400,Cranston,RI,Providence County,town
3409,Charlestown,RI,Washington County,town
3423,Grafton Massachusetts,MA,Worcester County,town
3433,Swansea,MA,Bristol County,town
3435,West Greenwich,RI,Kent County,town
3464,Bridgewater,MA,Plymouth County,town
3465,South Kingstone,RI,Washington County,town
3472,Attleborough,MA,Bristol County,town
3473,Johnson,RI,Providence County,town
3474,London,RI,,state
3478,Portsmouth,RI,Newport County,town
3493,North Kingston,RI,Washington County,town
3496,Exeter,RI,Washington County,town
3499,Richmond,RI,Washington County,town
3506,Tiverton,RI,Newport County,town
3553,Falmouth Massachusetts,MA,Barnstable County,town
3556,Dudley,MA,Worcester County,town
3607,Springfield,RI,,state_flag
3642,Westport,MA,Bristol County,town
3655,Chesterfield Massachusetts,MA,Hampshire County,town
3715,Freetown,MA,Bristol County,town
3718,North Kingstone,RI,Washington County,town
3725,Norton,MA,Bristol County,town
3745,North Kingstown,RI,Washington County,town
3750,Stoughton now of Providence,RI,Providence County,town
3770,Alexandria,NH,Grafton County,town
3954,James Island,SC,Charleston County,town
3970,Bermuda,BM,,other
3984,Georgetown,SC,Georgetown County,town
3990,,SC,,state
3995,Camden Planter,SC,Lancaster County,town
4015,Virginia and Philadelphia,VA,,state
4033,St. Paul's,SC,Clarendon County,town
4037,Williamsburgh,VA,Greenbrier County,town
4039,Pee Dee,SC,Georgetown County,town
4040,St Helena,SC,Beaufort County,town
4049,Register of the Treasury,US,,other
4079,,FR,,other
4095,St. George,SC,Charleston County,town
4096,Camden,SC,Lancaster County,town
4100,St. Thomas,VI,,other
4105,New River,SC,Beaufort County,town
4115,St Johns,SC,Charleston County,town
4121,Winyaw,SC,Georgetown County,town
4128,Broad River,SC,Beaufort County,town
4140,Columbia,SC,Richland County,town
4143,St Thomas,BVI,,other
4148,St Andrews,SC,Richland County,town
4149,Great Britain,GB,,other
4183,Richard Sennings,SC,,state
4193,96 District,SC,Abbeville County,town
4200,Edinburgh,GB,,other
4206,Abbeville,SC,Abbeville County,town
4215,Long Cames,SC,,state_flag
4218,Toogoodoo,SC,Charleston County,town
4237,Charlestom,SC,Charleston County,town
4245,Bourdeaux,FR,,other
4268,The River May,VI,,other
4284,St Pauls,SC,Clarendon County,town
4314,Ninety six District,SC,Laurens County,town
4317,Richard County,SC,Richland County,county
4345,Savannah,SC,,state_flag
4347,Dorchester,SC,Charleston County,town
