recon_id,six_percent_amt,deferred_amt,post_total,ratio_six,ratio_deferred,pre_total,expected_six_amt,expected_deferred_amt,in_ratio_tolerance
A100:Z100,217.21,108.61,325.82,0.6666564360689952,0.33334356393100484,1400,933.3333333333333,466.66666666666663,True
A1016:Z1016,615.28,307.64,922.92,0.6666666666666666,0.3333333333333333,1400,933.3333333333333,466.66666666666663,True
A1023:Z1023,0.0,0.0,0.0,,,4300,2866.6666666666665,1433.3333333333333,False
A1024:Z1024,6265.18,3132.59,9397.77,0.6666666666666666,0.3333333333333333,1400,933.3333333333333,466.66666666666663,True
A1026:Z1026,274.34,137.16,411.5,0.6666828675577157,0.33331713244228434,3200,2133.333333333333,1066.6666666666665,True
A1027:Z1027,78.33,39.17,117.5,0.6666382978723404,0.3333617021276596,400,266.66666666666663,133.33333333333331,True
A1031:Z1031,0.0,0.0,0.0,,,1000,666.6666666666666,333.3333333333333,False
A1034:Z1034,433.85,216.92,650.77,0.6666717888040322,0.33332821119596784,3800,2533.333333333333,1266.6666666666665,True
A1036:Z1036,4665.43,2332.71,6998.14,0.6666671429837071,0.3333328570162929,1600,1066.6666666666665,533.3333333333333,True
A1039:Z1039,123.54,61.77,185.31,0.6666666666666667,0.33333333333333337,200,133.33333333333331,66.66666666666666,True
A103:Z103,90.0,45.0,135.0,0.6666666666666666,0.3333333333333333,1400,933.3333333333333,466.66666666666663,True
A1042:Z1042,828.04,414.03,1242.07,0.6666612992826492,0.3333387007173509,2900,1933.3333333333333,966.6666666666666,True
A1052:Z1052,455.34,227.67,683.01,0.6666666666666666,0.3333333333333333,8900,5933.333333333333,2966.6666666666665,True
A105:Z105,550.0,275.0,825.0,0.6666666666666666,0.3333333333333333,500,333.3333333333333,166.66666666666666,True
A1064:Z1064,11.98,5.99,17.97,0.6666666666666667,0.33333333333333337,200,133.33333333333331,66.66666666666666,True
A1067:Z1067,450.81,225.41,676.22,0.6666617373044276,0.33333826269557243,400,266.66666666666663,133.33333333333331,True
A1071:Z1071,595.78,297.89,893.67,0.6666666666666666,0.3333333333333333,600,400.0,200.0,True
A1075:Z1075,65.1,32.56,97.66,0.6665984026213393,0.3334015973786607,600,400.0,200.0,True
A107:Z107,0.0,0.0,0.0,,,700,466.66666666666663,233.33333333333331,False
A1080:Z1080,17373.87,8686.94,26060.809999999998,0.6666665387606909,0.3333334612393092,17400,11600.0,5800.0,True
A1082:Z1082,3532.89,1766.45,5299.34,0.6666660376575195,0.33333396234248036,14400,9600.0,4800.0,True
A1085:Z1085,629.77,314.89,944.66,0.6666631380602545,0.3333368619397455,3000,2000.0,1000.0,True
A10:Z10,63.4,31.7,95.1,0.6666666666666667,0.33333333333333337,200,133.33333333333331,66.66666666666666,True
A1114:Z1114,303.15,151.58,454.73,0.6666593363094583,0.33334066369054166,300,200.0,100.0,True
A1122:Z1122,29.81,14.91,44.72,0.6665921288014311,0.3334078711985689,500,333.3333333333333,166.66666666666666,True
A1130:Z1130,1059.67,529.84,1589.5100000000002,0.6666645695843373,0.33333543041566266,9600,6400.0,3200.0,True
A1136:Z1136,1334.7,667.35,2002.0500000000002,0.6666666666666666,0.3333333333333333,400,266.66666666666663,133.33333333333331,True
A113:Z113,6.73,3.37,10.100000000000001,0.6663366336633663,0.3336633663366336,1000,666.6666666666666,333.3333333333333,True
A1140:Z1140,18626.05,9313.01,27939.059999999998,0.6666670245885151,0.3333329754114849,4600,3066.6666666666665,1533.3333333333333,True
A1142:Z1142,853.33,426.67,1280.0,0.6666640625,0.3333359375,600,400.0,200.0,True
A1145:Z1145,600.0,300.0,900.0,0.6666666666666666,0.3333333333333333,900,600.0,300.0,True
A1158:Z1158,20.2,10.11,30.31,0.6664467172550314,0.33355328274496865,300,200.0,100.0,True
A1169:Z1169,906.94,453.48,1360.42,0.6666617662192558,0.3333382337807442,3100,2066.6666666666665,1033.3333333333333,True
A1170:Z1170,2967.49,1483.75,4451.24,0.666665917811666,0.33333408218833405,2300,1533.3333333333333,766.6666666666666,True
A1174:Z1174,177.58,88.79,266.37,0.6666666666666667,0.33333333333333337,2900,1933.3333333333333,966.6666666666666,True
A1178:Z1178,0.0,0.0,0.0,,,1000,666.6666666666666,333.3333333333333,False
A117:Z117,91.1,45.56,136.66,0.6666178837992097,0.33338211620079033,4400,2933.333333333333,1466.6666666666665,True
A1188:Z1188,1331.86,665.92,1997.7799999999997,0.6666700037041116,0.33332999629588844,1900,1266.6666666666665,633.3333333333333,True
A1191:Z1191,634.02,317.02,951.04,0.6666596567967699,0.33334034320323014,4900,3266.6666666666665,1633.3333333333333,True
A1192:Z1192,17055.88,8527.94,25583.82,0.6666666666666667,0.33333333333333337,500,333.3333333333333,166.66666666666666,True
A1194:Z1194,3118.42,1559.22,4677.64,0.6666652414465414,0.33333475855345857,6100,4066.6666666666665,2033.3333333333333,True
A1202:Z1202,22.22,11.11,33.33,0.6666666666666666,0.3333333333333333,3600,2400.0,1200.0,True
A1204:Z1204,785.91,392.96,1178.87,0.6666638391001553,0.3333361608998448,8600,5733.333333333333,2866.6666666666665,True
A1208:Z1208,0.0,0.0,0.0,,,700,466.66666666666663,233.33333333333331,False
A1209:Z1209,0.0,0.0,0.0,,,1000,666.6666666666666,333.3333333333333,False
A1215:Z1215,233.1,116.55,349.65,0.6666666666666667,0.33333333333333337,2500,1666.6666666666665,833.3333333333333,True
A1223:Z1223,0.0,0.0,0.0,,,1000,666.6666666666666,333.3333333333333,False
A1228:Z1228,1856.26,928.13,2784.39,0.6666666666666667,0.33333333333333337,400,266.66666666666663,133.33333333333331,True
A1229:Z1229,78.71,39.35,118.06,0.6666949008978484,0.33330509910215145,300,200.0,100.0,True
A1234:Z1234,578.36,289.18,867.54,0.6666666666666667,0.33333333333333337,11200,7466.666666666666,3733.333333333333,True
A123:Z123,108.1,54.06,162.16,0.6666255550074001,0.33337444499259994,600,400.0,200.0,True
