occupation,count,pre_1790_total,post_1790_total,percent_of_pre1790_total,percent_of_post1790_total,net_pct_change
Administrator,5,11400,4962.83,0.933584473016133,0.45543708771564356,-56.46640350877193
Administrator | Esquire,3,5300,47114.18,0.43403488657767586,4.323651007451518,788.9467924528302
Administrator | Esquire | nan,1,6000,15653.23,0.49136024895585945,1.4364911722833833,160.88716666666667
Administrator | Merchant,3,13700,44364.83,1.121939235115879,4.071344166977232,223.83087591240874
Administrator | Printer,1,2900,8743.37,0.23749078699533208,0.8023758560378508,201.49551724137936
Administrator | Shopkeeper,1,8100,17722.5,0.6633363360904103,1.6263873207505584,118.79629629629629
Attorney,4,4800,12980.18,0.39308819916468757,1.1911863548066008,170.42041666666668
Attorney | Esquire,1,9400,0.0,0.7697977233641798,0.0,-100.0
Baker | Butcher | Printer,1,3600,33.33,0.2948161493735157,0.0030586818677170884,-99.07416666666666
Baker | Laborer | Tailor,1,6000,548.61,0.49136024895585945,0.050345738357283884,-90.85650000000001
Baker | Merchant,1,7900,8325.21,0.646957661125215,0.76400146630474,5.382405063291128
Blacksmith,2,9800,2038.37,0.8025550732945705,0.18706046680763522,-79.20030612244898
Blacksmith | Merchant,1,300,1996.65,0.024568012447792973,0.18323183771909168,565.55
Bookbinder,1,6200,1091.31,0.5077389239210548,0.10014911818356843,-82.39822580645162
Broker,4,24100,69447.31,1.9736303333060354,6.373154151176948,188.163112033195
Broker | Tailor,1,4100,1259.91,0.335762836786504,0.11562147830649377,-69.27048780487806
Candlemaker,1,6000,5061.0,0.49136024895585945,0.46444611258674423,-15.65
Candlemaker | Merchant | Shopkeeper,1,8700,5443.02,0.7124723609859962,0.49950394778342244,-37.43655172413793
Carpenter,1,500,3981.21,0.04094668741298829,0.3653541805752761,696.242
Carpenter | Esquire | Shoemaker,1,86800,8678.28,7.108344934894767,0.7964025706262183,-90.00198156682028
Carpenter | Mariner,1,1200,4497.44,0.09827204979117189,0.4127284182161879,274.78666666666663
Carpenter | Merchant,1,300,689.2,0.024568012447792973,0.06324763106002454,129.73333333333335
Clerk,3,1800,1370.08,0.14740807468675785,0.12573173877353222,-23.88444444444445
Clerk | Reverend,1,500,331.53,0.04094668741298829,0.03042438642677007,-33.69400000000001
Cloakmaker,1,21900,2690.04,1.7934649086888872,0.24686398354136443,-87.71671232876712
Coachmaker,1,3200,746.15,0.26205879944312505,0.06847391165907908,-76.6828125
Coppersmith | nan,1,6200,3702.63,0.5077389239210548,0.33978899621558134,-40.28016129032258
Currier,1,12400,6800.84,1.0154778478421096,0.6241105908564382,-45.15451612903226
Distiller,1,23100,13594.18,1.891736958480059,1.2475329094654155,-41.150735930735934
Doctor,2,1100,3450.58,0.09008271230857423,0.3166584602192389,213.6890909090909
Druggist,1,5900,5194.81,0.48317091147326185,0.4767258071777801,-11.952372881355926
Druggist | Merchant,2,63300,57440.05,5.183850626484317,5.2712523077036595,-9.257424960505524
Esquire,75,258800,194783.06,21.194005404962738,17.87516992980647,-24.736066460587327
Esquire | Farmer,1,3400,400.69,0.27843747440832034,0.03677117424469128,-88.215
Esquire | Judge,1,400,598.39,0.03275734993039063,0.05491403068776564,49.5975
Esquire | Laborer,1,25200,8524.6,2.0637130456146098,0.7822994134275757,-66.17222222222223
Esquire | Merchant,6,45700,65757.27,3.7425272295471297,6.034520534640771,43.88899343544858
Esquire | Military Officer,1,3400,282.03,0.27843747440832034,0.02588178959352687,-91.705
Esquire | Sheriff,1,1800,84.32,0.14740807468675785,0.00773801545412256,-95.31555555555556
Excise Officer,1,200,4219.0,0.016378674965195315,0.3871760816051124,2009.5
Farmer,80,109300,45153.13,8.95094586847924,4.143686168667042,-58.68881061299177
Farmer | School Committee Member,1,700,506.66,0.05732536237818361,0.04649600225315152,-27.619999999999994
Gardener | Horsestable Owner,1,800,42.13,0.06551469986078126,0.003866254638071436,-94.73375
Gentlewoman,3,6300,2760.6400000000003,0.5159282614036524,0.25334291963079825,-56.180317460317454
Gentlewoman | Widow,1,28400,6718.06,2.325771845057735,0.6165139006371276,-76.34485915492957
Goldsmith,2,1200,1317.22,0.09827204979117189,0.12088079597342646,9.768333333333336
Grocer,1,4500,876.16,0.36852018671689457,0.08040488164473461,-80.52977777777778
Grocer | Merchant,1,13000,14889.12,1.0646138727376955,1.3663690780157174,14.531692307692316
Hatters | Merchant,1,1900,24239.95,0.15559741216935552,2.224491315312597,1175.786842105263
Innholder,2,5400,486.83000000000004,0.44222422406027356,0.0446762104308644,-90.98462962962964
Joiner,1,800,1454.42,0.06551469986078126,0.1334715896203147,81.80250000000001
Joiner | Mariner | Military Officer,1,6600,806.93,0.5404962738514455,0.07405166995250376,-87.77378787878789
Judge,1,6500,411.15,0.5323069363688477,0.037731084605817006,-93.6746153846154
Laborer,1,14400,5299.34,1.1792645974940628,0.4863184869147278,-63.19902777777777
Laborer | Weaver,1,1400,56.53,0.11465072475636721,0.00518773735319673,-95.96214285714287
Leatherdresser,1,600,1000.0,0.049136024895585946,0.09176963299481214,66.66666666666666
Mariner,5,6500,1200.91,0.5323069363688477,0.11020706995979986,-81.52446153846155
Mariner | Military Officer,1,1100,5856.85,0.09008271230857423,0.5374809750056655,432.4409090909091
Merchant,48,202800,246850.6914,16.60797641470805,22.65339735429363,21.721248224852076
Merchant | Shoemaker,1,2800,646.57,0.22930144951273443,0.05933549160545569,-76.90821428571428
Military Officer,2,1500,1299.99,0.12284006223896486,0.11929960519692583,-13.333999999999998
Molster,1,900,317.07,0.07370403734337892,0.02909739753366509,-64.77000000000001
Physician,5,6900,6009.46,0.5650642862992384,0.5514859386970038,-12.906376811594203
Plaisterer,1,8900,683.01,0.7288510359511916,0.06267957703178664,-92.32573033707865
Printer,3,2100,3140.43,0.17197608713455081,0.2881961085458979,49.54428571428571
Professor,1,1200,691.66,0.09827204979117189,0.06347338435719177,-42.36166666666667
Reverend,5,15100,20844.35,1.2365899598722463,1.9128783495154122,38.04205298013244
Rigger,1,500,1957.05,0.04094668741298829,0.1795977602524971,291.40999999999997
School Committee,2,3300,1103.08,0.27024813692572275,0.10122924676391738,-66.57333333333334
School Committee Member,1,3300,2561.29,0.27024813692572275,0.2350486432932824,-22.385151515151517
Shipwright,1,1800,1862.64,0.14740807468675785,0.1709337892014569,3.4800000000000053
Shoemaker,5,3700,714.46,0.30300548685611334,0.06556573198947349,-80.69027027027028
Shopkeeper,1,2500,6000.0,0.20473343706494143,0.5506177979688729,140.0
Silversmith,1,2200,2876.49,0.18016542461714846,0.2639744316132472,30.749545454545448
Skinner,1,4500,2562.75,0.36852018671689457,0.23518262695745484,-43.05
Stevedore | Tobacconist,1,7800,89.48,0.6387683236426173,0.008211546760375792,-98.85282051282051
Surveyor,1,300,3805.34,0.024568012447792973,0.34921465522047845,1168.4466666666667
Tailor,4,10300,3703.04,0.8435017607075588,0.33982662176510914,-64.04815533980582
Treasurer,6,18700,29513.57,1.531406109245762,2.7084494872666975,57.826577540106946
Widow,8,5200,4774.41,0.4258455490950782,0.438145853466761,-8.18442307692308
