state,debtholders,percent_matched,percent_total
CT,271,34.654731457800516,14.122516556291389
DE,1,0.1278772378516624,1.0540838852097132
MA,31,3.9641943734015346,15.949227373068434
MD,86,10.997442455242968,5.568432671081678
NH,46,5.88235294117647,2.9304635761589406
NJ,12,1.5345268542199488,10.353200883002208
NY,72,9.207161125319693,8.04083885209713
PA,261,33.37595907928389,38.813465783664455
VA,2,0.2557544757033248,3.1677704194260485
