row_id,Name,Fn_Fix,Ln_Fix,new_town,county,new_state,country,geo_level,Name_Fix
72,Thomas Russell,Thomas,Russell,Boston,Suffolk County,MA,US,town,Thomas Russell
73,David Trumbull,David,Trumbull,Lebanon,Windham County,CT,US,town,David Trumbull
74,Richard R Eliot,Richard R,Eliot,Watertown,Litchfield County,CT,US,town,Richard R Eliot
75,Andrew Huntington,andrew,Huntington,Norwich,New London County,CT,US,town,andrew Huntington
76,Hannah Huntington,Hannah,Huntington,Norwich,New London County,CT,US,town,Hannah Huntington
77,Pownal Deming | Pownal Deming III,Pownal,Deming,Hartford,Hartford County,CT,US,town,Pownal Deming | Pownal Deming Iii
78,Pownal Deming | Pownal Deming III,Pownal,Deming Iii,Hartford,Hartford County,CT,US,town,Pownal Deming | Pownal Deming Iii
79,Elijah Cowles,Elijah,Cowles,Farmington,Hartford County,CT,US,town,Elijah Cowles
80,Aaron Bull,Aaron,Bull,Hartford,Hartford County,CT,US,town,Aaron Bull
81,Charles Phelps,Charles,Phelps,Stonington,New London County,CT,US,town,Charles Phelps
82,Pierpont Bacon,Pierpont,Bacon,Colchester,New London County,CT,US,town,Pierpont Bacon
83,Elias Peck | Elias Peek,Elias,Peck,Colchester,New London County,CT,US,town,Elias Peck | Elias Peek
84,Elias Peck | Elias Peek,Elias,Peek,Colchester,New London County,CT,US,town,Elias Peck | Elias Peek
85,John Trumbull,John,Trumbull,Hartford,Hartford County,CT,US,town,John Trumbull
86,John Marsh,John,Marsh,Wethersfield,Hartford County,CT,US,town,John Marsh
87,Mary Porter,Mary,Porter,Wethersfield,Hartford County,CT,US,town,Mary Porter
88,John Warner,John,Warner,Wethersfield,Hartford County,CT,US,town,John Warner
89,Thaddeus Burr,Thaddeus,Burr,Fairfield,Fairfield County,CT,US,town,Thaddeus Burr
90,Samuel Bishop,Samuel,Bishop,Bolton,Tolland County,CT,US,town,Samuel Bishop
91,Augustus Collins,Augustus,Collins,Guilford,New Haven County,CT,US,town,Augustus Collins
92,Samuel Fitch,Samuel,Fitch,Guilford,New Haven County,CT,US,town,Samuel Fitch
93,Hannah Hawley | Hannah Howley,Hannah,Hawley,Fairfield,Fairfield County,CT,US,town,Hannah Hawley | Hannah Howley
94,Hannah Hawley | Hannah Howley,Hannah,Howley,Fairfield,Fairfield County,CT,US,town,Hannah Hawley | Hannah Howley
95,Samuel Penfield,Samuel,Penfield,Fairfield,Fairfield County,CT,US,town,Samuel Penfield
96,Levi Booth,Levi,Booth,Enfield,Hartford County,CT,US,town,Levi Booth
97,Joseph Caren,Joseph,Caren,Norwich,New London County,CT,US,town,Joseph Caren
98,John Don | John Dow,John,Don,Plainfield,Windham County,CT,US,town,John Don | John Dow
99,John Don | John Dow,John,Dow,Plainfield,Windham County,CT,US,town,John Don | John Dow
100,William Ellery,William,Ellery,Hartford,Hartford County,CT,US,town,William Ellery
101,John Dickinson,John,Dickinson,Middletown,Middlesex County,CT,US,town,John Dickinson
102,Levi Warner,Levi,Warner,Wethersfield,Hartford County,CT,US,town,Levi Warner
103,Aaron Cadwell II | Aaron Caldwell II,Aaron,Cadwell Ii,Hartford,Hartford County,CT,US,town,Aaron Cadwell Ii | Aaron Caldwell Ii
104,Aaron Cadwell II | Aaron Caldwell II,Aaron,Caldwell Ii,Hartford,Hartford County,CT,US,town,Aaron Cadwell Ii | Aaron Caldwell Ii
105,John Hale,John,Hale,Coventry,Tolland County,CT,US,town,John Hale
106,Samuel Talcott,Samuel,Talcott,Hartford,Hartford County,CT,US,town,Samuel Talcott
107,James Hillhouse,James,Hillhouse,New Haven,New Haven County,CT,US,town,James Hillhouse
108,Mary Hillhouse,Mary,Hillhouse,New Haven,New Haven County,CT,US,town,Mary Hillhouse
109,Stephen Potter,Stephen,Potter,,,NY,US,state,Stephen Potter
110,Rebecca Woolsey,Rebecca,Woolsey,Hebron,Tolland County,CT,US,town,Rebecca Woolsey
111,Theodocia Woolsey | Theodosia Woolsey,Theodocia,Woolsey,New Haven,New Haven County,CT,US,town,Theodocia Woolsey | Theodosia Woolsey
112,Theodocia Woolsey | Theodosia Woolsey,Theodosia,Woolsey,New Haven,New Haven County,CT,US,town,Theodocia Woolsey | Theodosia Woolsey
113,Simeon Avery,Simeon,Avery,Groton,New London County,CT,US,town,Simeon Avery
114,Lucy Chen,Lucy,Chen,New London,New London County,CT,US,town,Lucy Chen
115,William Talcott,William,Talcott,Hebron,Tolland County,CT,US,town,William Talcott
116,Willam F Miller | William Fowler Miller,Willam F,Miller,Farmington,Hartford County,CT,US,town,Willam F Miller | William Fowler Miller
117,Willam F Miller | William Fowler Miller,William Fowler,Miller,Farmington,Hartford County,CT,US,town,Willam F Miller | William Fowler Miller
118,Elijah Gridley,Elijah,Gridley,Mansfield Center,Tolland County,CT,US,town,Elijah Gridley
119,William Belcher,William,Belcher,Preston,New London County,CT,US,town,William Belcher
120,Philip Sellew | Philip Sellow,Philip,Sellew,Glastonbury,Hartford County,CT,US,town,Philip Sellew | Philip Sellow
121,Philip Sellew | Philip Sellow,Philip,Sellow,Glastonbury,Hartford County,CT,US,town,Philip Sellew | Philip Sellow
122,Eunice and Betsey Wadsworth,Betsey,Wadsworth,Hartford,Hartford County,CT,US,town,Betsey Wadsworth | Eunice Wadsworth
123,Eunice and Betsey Wadsworth,Eunice,Wadsworth,Hartford,Hartford County,CT,US,town,Betsey Wadsworth | Eunice Wadsworth
124,Joshua Belden and James Wells,James,Wells,Wethersfield,Hartford County,CT,US,town,James Wells | Joshua Belden
125,Joshua Belden and James Wells,Joshua,Belden,Wethersfield,Hartford County,CT,US,town,James Wells | Joshua Belden
126,William Hart,William,Hart,Old Saybrook,Middlesex County,CT,US,town,William Hart
127,Saul Alvord,Saul,Alvord,Bolton,Tolland County,CT,US,town,Saul Alvord
128,Lemuel Bruswell,Lemuel,Bruswell,Norwich,New London County,CT,US,town,Lemuel Bruswell
129,Wheeler Coit | Wheeler Coit Treasurer Preston Co | Wheeler Coit Treasurer of Preston Society Coit Treasurer of Preston Society,Wheeler,Coit,Preston,New London County,CT,US,town,Wheeler Coit
130,Benjamin Throop | Benjamin Troop,Benjamin,Throop,Bozrah,New London County,CT,US,town,Benjamin Throop | Benjamin Troop
131,Benjamin Throop | Benjamin Troop,Benjamin,Troop,Bozrah,New London County,CT,US,town,Benjamin Throop | Benjamin Troop
132,John Humphrey,John,Humphrey,Derby,New Haven County,CT,US,town,John Humphrey
