row_id,old,new,type,state
31,"{'Reading', 'Reading Pennsylvania'}",Reading Pennsylvania,town,PA
32,"{'Northampton County Pennsylvania', 'Northampton'}",Northampton County Pennsylvania,town,PA
33,"{'Chester County', 'Chester County Pennsylvaina'}",Chester County Pennsylvaina,town,PA
34,"{'Philadelphia', 'Chester County Pennsylvaina'}",Chester County Pennsylvaina,town,PA
35,"{'Northern Liberties', 'Philadelphia'}",Northern Liberties,town,PA
36,"{'Northum County Pennsylvania', 'Northumberland'}",Northum County Pennsylvania,town,PA
37,"{'Chambersburg', 'Chambersburgh Pennsylvania'}",Chambersburgh Pennsylvania,town,PA
38,"{'Chester County', 'Chester County Pennsylvania'}",Chester County Pennsylvania,town,PA
39,"{'Dauphincoy Pennsylvania', 'Dauphin County'}",Dauphincoy Pennsylvania,town,PA
40,"{'Cape May New Jersey', 'Cape May N Jersey'}",Cape May New Jersey,town,PA
41,"{'York County', 'York County Pennsylvania'}",York County Pennsylvania,town,PA
42,"{'Cumberland County', 'Cumb County Pennsylvania'}",Cumb County Pennsylvania,town,PA
43,"{'Delaware', 'Delaware State'}",Delaware State,town,PA
44,"{'Northampton County', 'Northampton County Pennsylvania'}",Northampton County Pennsylvania,town,PA
45,"{'Mount Holly New Jersey', 'Mount Holley New Jersey'}",Mount Holley New Jersey,town,PA
46,"{'Allegheny County Pennsylvania', 'Allegany County'}",Allegheny County Pennsylvania,town,PA
47,"{'Kensignton', 'Kensington'}",Kensignton,town,PA
48,"{'Burlington New Jersey', 'Burlington'}",Burlington New Jersey,town,PA
49,"{'Allegheny County', 'Allegany County'}",Allegheny County,town,PA
50,"{'Chester and County', 'Chester County'}",Chester and County,town,PA
51,"{'Bordentown', 'Borden Town'}",Borden Town,town,PA
52,"{'German Town', 'Germantown'}",German Town,town,PA
53,"{'Westmoreland County', 'Westmoreland'}",Westmoreland County,town,PA
54,"{'New Jersey', 'Middlesex New Jersey'}",Middlesex New Jersey,town,PA
55,"{'The Northern Libert', 'Philadelphia'}",The Northern Libert,town,PA
56,"{'Lancaster', 'Lancaster County'}",Lancaster County,town,PA
57,"{'Kent County', 'Kent Company Delaware'}",Kent Company Delaware,town,PA
58,"{'Northumberland', 'Northumberland County'}",Northumberland County,town,PA
59,"{'Northern Liberties', 'North Libert'}",Northern Liberties,town,PA
60,"{'Prince Town', 'Princeton New Jersey'}",Princeton New Jersey,town,PA
61,"{'Northampton County', 'Pennsylvania'}",Northampton County,town,PA
62,"{'Virginia', 'King George Co Virginia'}",King George Co Virginia,town,PA
63,"{'Wilmington Delaware', 'Wilmington'}",Wilmington Delaware,town,PA
64,"{'Montgomery County Pennsylvania', 'Montgomery County'}",Montgomery County Pennsylvania,town,PA
65,"{'Berlington New Jersey', 'Burlington New Jersey'}",Berlington New Jersey,town,PA
66,"{'Northumberland County Pennsylvania', 'Northern and County Pennsylvania'}",Northumberland County Pennsylvania,town,PA
67,"{'Northern Liberties', 'The Northern Libs'}",Northern Liberties,town,PA
68,"{'Sunbury Pennsylvania', 'Sundry Pennsylvania'}",Sunbury Pennsylvania,town,PA
69,"{'Franklin County Pennsylvania', 'Franklin County'}",Franklin County Pennsylvania,town,PA
70,"{'Church on Philadelphia', 'Philadelphia'}",Church on Philadelphia,town,PA
71,"{'New Castle County Delaware State', 'New Castle County'}",New Castle County Delaware State,town,PA
72,"{'Berks County Pennsylvania', 'Berks and County'}",Berks County Pennsylvania,town,PA
73,"{'Chester', 'Chester County'}",Chester County,town,PA
74,"{'Philadelphia', 'Westmoreland County'}",Westmoreland County,town,PA
75,"{'Westmoreland County Pennsylvania', 'Westmoreland County'}",Westmoreland County Pennsylvania,town,PA
76,"{'North County', 'Northumberland County'}",Northumberland County,town,PA
77,"{'Northampton County', 'Northumberland County'}",Northumberland County,town,PA
78,"{'Northumberland', 'Northampton County'}",Northampton County,town,PA
79,"{'New Jersey', 'Somerset County New Jersey'}",Somerset County New Jersey,town,PA
80,"{'York Town Pennsylvania', 'York Town'}",York Town Pennsylvania,town,PA
81,"{'York County', 'York Town'}",York County,town,PA
82,"{'York Town', 'York County Pennsylvania'}",York County Pennsylvania,town,PA
83,"{'Merchants', 'Merchant'}",Merchants,occupation,PA
84,"{'Executor', 'Executer'}",Executor,occupation,PA
85,"{'Merchant', 'Marchant'}",Merchant,occupation,PA
86,"{'Executor', 'Ex of William Honeyman'}",Ex of William Honeyman,occupation,PA
87,"{'Administer of the estate of Job Vernon', 'Adm to Estate of Job Vernon'}",Administer of the estate of Job Vernon,occupation,PA
88,"{'Ex to the Estate John Holmes', 'Executor to the Estate of John Holmes deceased'}",Executor to the Estate of John Holmes deceased,occupation,PA
89,"{'Ex to the Est of Jacob Coleman deceased', 'Executor to the Estate of Jacob Coleman deceased'}",Executor to the Estate of Jacob Coleman deceased,occupation,PA
90,"{'Junior Broker', 'Broker'}",Junior Broker,occupation,PA
91,"{'Executor to the Estate Abraham Hull deceased', 'Ex to the Estate Abraham Hull'}",Executor to the Estate Abraham Hull deceased,occupation,PA
92,"{'Ex to Esate of Francis Hopkins', 'Executor to the Estate of Francis Hopkinson deceased'}",Executor to the Estate of Francis Hopkinson deceased,occupation,PA
93,"{'Admin to the the Estate of Frederick Faring', 'Administrator to Estate of Frederick Faring Deceased'}",Administrator to Estate of Frederick Faring Deceased,occupation,PA
94,"{'Ex Philadelphia County', 'Esquier'}",Ex Philadelphia County,occupation,PA
95,"{'Ship Wright', 'Shipwright'}",Ship Wright,occupation,PA
96,"{'Guardian to Adam Guier', 'Guardian to Adam Grier'}",Guardian to Adam Guier,occupation,PA
97,"{'Executor to Estate of John Hart deceased', 'Ex to the Estate of John Hart Deceased'}",Executor to Estate of John Hart deceased,occupation,PA
98,"{'Administrator of Daniel Joy Deceased', 'One of the Administrators of Daniel Joy Deceased'}",One of the Administrators of Daniel Joy Deceased,occupation,PA
99,"{'Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown', 'Executor to the Estate of Hugh Patton deceased'}",Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown,occupation,PA
100,"{'Guardian for George Lawrence Young', 'Guadian to George Lawrence Young'}",Guardian for George Lawrence Young,occupation,PA
101,"{'Executer of Samuel Inglis', 'Executor Samuel Inglis'}",Executer of Samuel Inglis,occupation,PA
102,"{'Adm to Est of Richard Walker Deceased', 'Administer Estate of Richard Walker Deceased'}",Administer Estate of Richard Walker Deceased,occupation,PA
103,"{'Property of Mathematics', 'Mathematician'}",Property of Mathematics,occupation,PA
104,"{'Printer in Trust for Jennet Thompson', 'Interest for Jennet Thompson'}",Printer in Trust for Jennet Thompson,occupation,PA
105,"{'Trustee for the Use of the Legal Representatives of Thomas Albertson Deceased', 'Trustee for the use of the legal representation of Thomas Albertson Deceased'}",Trustee for the Use of the Legal Representatives of Thomas Albertson Deceased,occupation,PA
106,"{'Administratrix of Alexander McCaraher deceased', 'Adm of Alexander McCaraher late of Chester County Deceased'}",Adm of Alexander McCaraher late of Chester County Deceased,occupation,PA
107,"{'Cordwainer', 'Cordwainder'}",Cordwainder,occupation,PA
108,"{'Merchant', 'Esquire'}",Merchant,occupation,PA
109,"{'Shopkeeper', 'Shop Keeper'}",Shop Keeper,occupation,PA
110,"{'in trust for the Estate of Robert Dill', 'Trust for the Estate of Robert Dill'}",in trust for the Estate of Robert Dill,occupation,PA
111,"{'Administrator to the Estate of William Barrell Deceased', 'Adm to the Est of William Barrell Decesed'}",Administrator to the Estate of William Barrell Deceased,occupation,PA
112,"{'Trust for Jacobus Van Eis of Somerset', 'In trust for Jacobus Van Eis of Somerset County New Jersey'}",In trust for Jacobus Van Eis of Somerset County New Jersey,occupation,PA
113,"{'Gloucester', 'Glocester'}",Gloucester,town,RI
