row_id,state,town_original,town_preprocessed,new_town,county,new_state,match_method
24,CT,Watertown,Watertown,Watertown,Litchfield County,CT,crosswalk_primary_city
25,CT,Stonington,Stonington,Stonington,New London County,CT,crosswalk_primary_city
26,CT,Fairfield,Fairfield,Fairfield,Fairfield County,CT,crosswalk_primary_city
27,CT,Guilford,Guilford,Guilford,New Haven County,CT,crosswalk_primary_city
28,CT,Enfield,Enfield,Enfield,Hartford County,CT,crosswalk_primary_city
29,CT,Plainfield,Plainfield,Plainfield,Windham County,CT,crosswalk_primary_city
30,CT,Coventry,Coventry,Coventry,Tolland County,CT,crosswalk_primary_city
31,CT,Groton,Groton,Groton,New London County,CT,crosswalk_primary_city
32,CT,Bozrah,Bozrah,Bozrah,New London County,CT,crosswalk_primary_city
33,CT,Derby,Derby,Derby,New Haven County,CT,crosswalk_primary_city
34,CT,Woodstock,Woodstock,Woodstock,Windham County,CT,crosswalk_primary_city
35,CT,Windham,Windham,Windham,Windham County,CT,crosswalk_primary_city
36,CT,Stratford,Stratford,Stratford,Fairfield County,CT,crosswalk_primary_city
37,CT,Brooklyn,Brooklyn,Brooklyn,Windham County,CT,crosswalk_primary_city
38,CT,Haddam,Haddam,Haddam,Middlesex County,CT,crosswalk_primary_city
39,CT,Tolland,Tolland,Tolland,Tolland County,CT,crosswalk_primary_city
40,CT,Danbury,Danbury,Danbury,Fairfield County,CT,crosswalk_primary_city
41,CT,Newington,Newington,Newington,Hartford County,CT,crosswalk_primary_city
42,CT,Litchfield,Litchfield,Litchfield,Litchfield County,CT,crosswalk_primary_city
43,CT,Milford,Milford,Milford,New Haven County,CT,crosswalk_primary_city
44,CT,Pomfret,Pomfret,Pomfret,Windham County,CT,crosswalk_primary_city
45,CT,Killingworth,Killingworth,Killingworth,Middlesex County,CT,crosswalk_primary_city
46,CT,Granby,Granby,Granby,Hartford County,CT,crosswalk_primary_city
47,CT,Roxbury,Roxbury,Roxbury,Litchfield County,CT,crosswalk_primary_city
48,CT,New Hartford,New Hartford,New Hartford,Litchfield County,CT,crosswalk_primary_city
49,CT,East Haddam,East Haddam,East Haddam,Middlesex County,CT,crosswalk_primary_city
50,CT,Greenwich,Greenwich,Greenwich,Fairfield County,CT,crosswalk_primary_city
51,CT,New Milford,New Milford,New Milford,Litchfield County,CT,crosswalk_primary_city
52,CT,Canaan,Canaan,Canaan,Litchfield County,CT,crosswalk_primary_city
53,CT,Montville,Montville,Montville,New London County,CT,crosswalk_primary_city
54,CT,Norwalk,Norwalk,Norwalk,Fairfield County,CT,crosswalk_primary_city
55,CT,Canterbury,Canterbury,Canterbury,Windham County,CT,crosswalk_primary_city
56,CT,Branford,Branford,Branford,New Haven County,CT,crosswalk_primary_city
57,CT,Ashford,Ashford,Ashford,Windham County,CT,crosswalk_primary_city
58,CT,Willington,Willington,Willington,Tolland County,CT,crosswalk_primary_city
59,CT,Southbury,Southbury,Southbury,New Haven County,CT,crosswalk_primary_city
60,CT,North Haven,North Haven,North Haven,New Haven County,CT,crosswalk_primary_city
61,CT,Woodbury,Woodbury,Woodbury,Litchfield County,CT,crosswalk_primary_city
62,CT,Thompson,Thompson,Thompson,Windham County,CT,crosswalk_primary_city
63,CT,Hampton,Hampton,Hampton,Windham County,CT,crosswalk_primary_city
64,CT,Cheshire,Cheshire,Cheshire,New Haven County,CT,crosswalk_primary_city
65,CT,Voluntown,Voluntown,Voluntown,New London County,CT,crosswalk_primary_city
66,CT,Weston,Weston,Weston,Fairfield County,CT,crosswalk_primary_city
67,CT,Wallingford,Wallingford,Wallingford,New Haven County,CT,crosswalk_primary_city
68,CT,East Haven,East Haven,East Haven,New Haven County,CT,crosswalk_primary_city
69,CT,Ellington,Ellington,Ellington,Tolland County,CT,crosswalk_primary_city
70,CT,Durham,Durham,Durham,Middlesex County,CT,crosswalk_primary_city
71,CT,Waterbury,Waterbury,Waterbury,New Haven County,CT,crosswalk_primary_city
72,CT,Norfolk,Norfolk,Norfolk,Litchfield County,CT,crosswalk_primary_city
73,CT,Ridgefield,Ridgefield,Ridgefield,Fairfield County,CT,crosswalk_primary_city
74,CT,Lyme,Lyme,East Lyme,New London County,CT,fuzzy_city_name
75,CT,Saybrook,Saybrook,Old Saybrook,Middlesex County,CT,fuzzy_city_name
76,CT,Mansfield,Mansfield,Mansfield Center,Tolland County,CT,fuzzy_city_name
77,CT,Reading,Reading,Redding,Fairfield County,CT,fuzzy_city_name
78,CT,Symsbury,Symsbury,Simsbury,Hartford County,CT,fuzzy_city_name
79,CT,Franklin,Franklin,North Franklin,New London County,CT,fuzzy_city_name
80,CT,Cornwell,Cornwell,Cornwall,Litchfield County,CT,fuzzy_city_name
81,CT,Brooklyne,Brooklyne,Brooklyn,Windham County,CT,fuzzy_city_name
82,CT,Stonnington,Stonnington,Stonington,New London County,CT,fuzzy_city_name
83,CT,Volentown,Volentown,Voluntown,New London County,CT,fuzzy_city_name
84,CT,Chatham,East Hampton,East Hampton,Middlesex County,CT,fuzzy_city_name
85,CT,Huntington,Shelton,Shelton,Fairfield County,CT,fuzzy_city_name
86,GA,Augusta,Augusta,Augusta,Richmond County,GA,crosswalk_primary_city
87,GA,Effingham County,Effingham County,Effingham County,Effingham County,GA,crosswalk_county_name
88,GA,Columbia County,Columbia County,Columbia County,Columbia County,GA,crosswalk_county_name
89,MD,Baltimore,Baltimore,Baltimore,Baltimore County,MD,crosswalk_primary_city
90,MD,Annapolis,Annapolis,Annapolis,Anne Arundel County,MD,crosswalk_primary_city
91,MD,Cambridge,Cambridge,Cambridge,Dorchester County,MD,crosswalk_primary_city
92,MD,Frederick,Frederick,Frederick,Frederick County,MD,crosswalk_primary_city
93,MD,Harford County,Harford County,Harford County,Harford County,MD,crosswalk_county_name
94,MD,Baltimore County,Baltimore County,Baltimore County,Baltimore County,MD,crosswalk_county_name
95,MD,Anne Arundel County,Anne Arundel County,Anne Arundel County,Anne Arundel County,MD,crosswalk_county_name
96,MD,Frederick County,Frederick County,Frederick County,Frederick County,MD,crosswalk_county_name
97,MD,Somerset County,Somerset County,Somerset County,Somerset County,MD,crosswalk_county_name
98,MD,Caroline County,Caroline County,Caroline County,Caroline County,MD,crosswalk_county_name
99,MD,Washington County,Washington County,Washington County,Washington County,MD,crosswalk_county_name
100,MD,Kent County,Kent County,Kent County,Kent County,MD,crosswalk_county_name
101,MD,Charles County,Charles County,Charles County,Charles County,MD,crosswalk_county_name
102,MD,Montgomery County,Montgomery County,Montgomery County,Montgomery County,MD,crosswalk_county_name
103,MD,Talbot County,Talbot County,Talbot County,Talbot County,MD,crosswalk_county_name
104,MD,Calvert County,Calvert County,Calvert County,Calvert County,MD,crosswalk_county_name
105,MD,Cecil County,Cecil County,Cecil County,Cecil County,MD,crosswalk_county_name
106,MD,Dorchester County,Dorchester County,Dorchester County,Dorchester County,MD,crosswalk_county_name
107,MD,Worcester County,Worcester County,Worcester County,Worcester County,MD,crosswalk_county_name
108,MD,Allegany County,Allegany County,Allegany County,Allegany County,MD,crosswalk_county_name
109,MD,Frederick County Maryland,Frederick County,Frederick County,Frederick County,MD,crosswalk_county_name
110,MD,Montgomery County Maryland,Montgomery County,Montgomery County,Montgomery County,MD,crosswalk_county_name
