child_id,child_name,state,in_post1790,error,parent_id,parent_ids_all,parent_name,multi_parent
Smith-119295,James Smith,PA,True,,Buchanan-2732,Buchanan-2732,Elizabeth Smith,False
Smith-119297,John Smith,PA,True,,Buchanan-2732,Buchanan-2732,Elizabeth Smith,False
Smith-138826,Isaac Smith,CT,True,,Smith-70447,Smith-70447,Elijah Smith,False
Smith-140967,Sarah Smith,CT,True,,Smith-129762,Smith-129762,Samuel Smith,False
Smith-143706,Sarah Smith,CT,True,,Smith-143648,Smith-143648,Oliver Smith,False
Smith-158254,Samuel Smith,CT,True,,Smith-10309,Smith-10309,Josiah Smith,False
Smith-171049,John Smith,PA,True,,Smith-83681,Smith-83681,Samuel Smith,False
Smith-196133,Sarah Smith,CT,True,,Smith-196070,Smith-196070,Samuel Smith,False
Smith-196134,Isaac Smith,CT,True,,Smith-196070,Smith-196070,Samuel Smith,False
Smith-211205,John Smith,PA,True,,Smith-83360,Smith-83360,Thomas Smith,False
Smith-213899,John Smith,PA,True,,Smith-213900,Smith-213900,Joseph Smith,False
Smith-225770,William Smith,MA,True,,Smith-7639,Smith-7639,Joshua Smith,False
Smith-226663,William Smith,PA,True,,Smith-36616,Smith-36616,Samuel Smith,False
Smith-226723,Seth Smith,CT,True,,Smith-113043,Smith-113043,Ebenezer Smith,False
Smith-245860,Elizabeth Smith,PA,True,,Smith-245861,Smith-245861,Petrus Smith,False
Smith-265409,Samuel Smith,CT,True,,Brown-59094,Brown-59094,Elizabeth Smith,False
Smith-2764,William Smith,PA,True,,Smith-2032,Smith-2032,Thomas Smith,False
Smith-2765,Mary Smith,PA,True,,Smith-173365,Smith-173365,Thomas Smith,False
Smith-2769,John Smith,PA,True,,Smith-2032,Smith-2032,Thomas Smith,False
Smith-27746,Samuel Smith,CT,True,,Smith-27757,Smith-27757,Josiah Smith,False
Smith-289525,George Smith,CT,True,,Smith-21887,Smith-21887,Jonathan Smith,False
Smith-28985,Sarah Smith,CT,True,,Smith-27757,Smith-27757,Josiah Smith,False
Smith-292714,John Smith,PA,True,,Smith-292715,Smith-292715,Thomas Smith,False
Smith-29638,William Smith,PA,True,,Smith-29647,Smith-29647,James Smith,False
Smith-296794,William Smith,MD,True,,Smith-233117,Smith-233117,Nathaniel Smith,False
Smith-308004,Seth Smith,CT,True,,Smith-308006,Smith-308006,Stephen Smith,False
Smith-330961,Reuben Smith,CT,True,,Smith-130131,Smith-130131,Abraham Smith,False
Smith-331351,Sarah Smith,CT,True,,Beach-8019,Beach-8019,Mindwell Smith,False
Smith-331505,Sarah Smith,CT,True,,Smith-130131,Smith-130131,Abraham Smith,False
Smith-334165,Seth Smith,CT,True,,Smith-133852,Smith-133852,Josiah Smith,False
Smith-36617,Jonathan Smith,PA,True,,Smith-36613,Smith-36613,Joseph Smith,False
Smith-37750,Thomas Smith,NY,True,,Smith-37788,Smith-37788,William Smith,False
