child_id,child_name,state,in_post1790,error,parent_id,parent_ids_all,parent_name,multi_parent
Davenport-2767,John Davenport,CT,True,,Huntington-794,Huntington-794,Elizabeth Davenport,False
Davidson-20835,James Davidson,PA,True,,Davidson-21308,Davidson-21308,William Davidson,False
Davidson-9525,James Davidson,PA,True,,Davidson-6076,Davidson-6076,John Davidson,False
Davis-107361,John Davis,PA,True,,Davis-60531,Davis-60531,William Davis,False
Davis-112813,John Davis,CT,True,,Davis-112812,Davis-112812,Aaron Davis,False
Davis-21935,Thomas Davis,VA,True,,Davis-19677,Davis-19677,William Davis,False
Davis-32982,William Davis,MA,True,,Davis-29889,Davis-29889,Benjamin Davis,False
Davis-35108,David Davis,CT,True,,Davis-14859,Davis-14859,Jonathan Davis,False
Davis-39026,William Davis,MA,True,,Davis-36861,Davis-36861,Moses Davis,False
Davison-6699,Elizabeth Allen,CT,True,,Davison-4470,Davison-4470,Phineas Davison,False
Denny-1470,Ebenezer Denny,PA,True,,Denny-1471,Denny-1471,William Denny,False
Dorsey-1675,Caleb Dorsey,MD,True,,Dorsey-787,Dorsey-787,Elizabeth Dorsey,False
Douglass-1772,Andrew Douglass,PA,True,,Douglas-4654,Douglas-4654,George Douglas,False
Douglass-2410,George Douglass,PA,True,,Douglas-4654,Douglas-4654,George Douglas,False
Dow-1038,John Dow,CT,True,,Dow-377,Dow-377,Benjamin Dow,False
Duncan-3338,Elizabeth Smith,PA,True,,Smith-48206,Smith-48206,Ann Duncan,False
Duncan-3343,James Duncan,PA,True,,Smith-48206,Smith-48206,Ann Duncan,False
Dyer-17081,Eliphalet Dyer,CT,True,,Dyer-11751,Dyer-11751,Thomas Dyer,False
Edwards-24501,Thomas Edwards,PA,True,,Foulke-31,Foulke-31,Martha Roberts,False
Elliott-19363,William Elliott,PA,True,,Wilson-120090,Wilson-120090,Jean Elliott,False
Evans-24165,David Evans,PA,True,,Evans-24166,Evans-24166,William Evans,False
Evans-304,David Evans,PA,True,,Evans-302,Evans-302,John Evans,False
Evans-31312,John Evans,PA,True,,Evans-19332,Evans-19332,Peter Evans,False
Evans-41428,John Evans,PA,True,,Evans-41276,Evans-41276,Evan Evans,False
Evans-41431,Nathan Evans,PA,True,,Evans-41276,Evans-41276,Evan Evans,False
Fisher-30133,Joshua Fisher,MA,True,,Fisher-33938,Fisher-33938,Nathaniel Fisher,False
Fisher-33931,John Fisher,MA,True,,Fisher-33938,Fisher-33938,Nathaniel Fisher,False
Fitch-3074,Samuel Fitch,CT,True,,Fitch-688,Fitch-688,Jabez Fitch,False
Fonda-232,John Fonda,NY,True,,Fonda-233,Fonda-233,Lawrence Fonda,False
Fonda-328,Abraham Fonda,NY,True,,Fonda-173,Fonda-173,John Fonda,False
Foote-1387,Martha Norton,NY,True,,Moss-1115,Moss-1115,Martha Thompson,False
Francis-5082,Thomas Francis,PA,True,,Francis-2692,Francis-2692,Tench Francis,False
Gale-1949,John Gale,MD,True,,Airey-135,Airey-135,Elizabeth Gale,False
Gale-1957,George Gale,MD,True,,Airey-135,Airey-135,Elizabeth Gale,False
Gallup-144,Isaac Gallup,CT,True,,Gallup-162,Gallup-162,Benadam Gallup,False
Garrigues-638,Elizabeth Smith,PA,True,,Garrigues-14,Garrigues-14,Isaac Garrigues,False
Gibson-32871,James Gibson,PA,True,,Gibson-32847,Gibson-32847,John Gibson,False
Gilman-1209,Samuel Gilman,NH,True,,Gilman-1018,Gilman-1018,Jonathan Gilman,False
Gilman-1647,Samuel Gilman,NH,True,,Gilman-1645,Gilman-1645,David Gilman,False
Goodwin-5263,Hezekiah Goodwin,CT,True,,Goodwin-2195,Goodwin-2195,John Goodwin,False
Goodwin-5266,Hezekiah Goodwin,CT,True,,Goodwin-2195,Goodwin-2195,John Goodwin,False
Gray-14595,Samuel Gray,CT,True,,Gray-14592,Gray-14592,Jonathan Gray,False
Gridley-412,Elijah Gridley,CT,True,,Gridley-147,Gridley-147,Elnathan Gridley,False
Griswold-1332,John Griswold,CT,True,,Gibbs-903,Gibbs-903,Hannah Griswold,False
Griswold-853,John Griswold,CT,True,,Griswold-585,Griswold-585,Daniel Griswold,False
Hale-1276,John Hale,CT,True,,Hale-1280,Hale-1280,James Hale,False
Hale-2608,Elisha Hale,CT,True,,Hale-2128,Hale-2128,Jonathan Hale,False
Hale-4550,John Hale,CT,True,,Hale-401,Hale-401,Richard Hale,False
Hale-7887,Josiah Hale,CT,True,,Hale-7872,Hale-7872,William Hale,False
Hall-14453,John Hall,CT,True,,Hall-14454,Hall-14454,David Hall,False
Hall-20602,John Hall,CT,True,,Johnson-25343,Johnson-25343,Sarah Johnson,False
Hall-319,Stephen Hall,CT,True,,Hall-6697,Hall-6697,Abner Hall,False
Hall-56463,Edward Hall,MD,True,,Hall-14922,Hall-14922,Aquilla Hall,False
Hall-65049,John Hall,CT,True,,Hall-65046,Hall-65046,Richard Hall,False
Hall-7232,John Hall,CT,True,,Hall-6697,Hall-6697,Abner Hall,False
Hall-8231,Joseph Hall,NH,True,,Hall-8233,Hall-8233,Johnathan Hall,False
Hancock-10241,John Hancock,MA,True,,Lowell-407,Lowell-407,Elizabeth Hancock,False
Hart-20582,Joseph Hart,PA,True,,Hart-20581,Hart-20581,William Hart,False
Hart-25797,John Hart,PA,True,,Means-1549,Means-1549,Jean Hart,False
Hart-2770,John Hart,PA,True,,Hart-2783,Hart-2783,Joseph Hart,False
Hart-4482,Joseph Hart,PA,True,,Means-1549,Means-1549,Jean Hart,False
Hart-5058,John Hart,PA,True,,Hart-304,Hart-304,William Hart,False
Hartman-1319,Peter Hartman,PA,True,,Hartman-1320,Hartman-1320,John Hartman,False
Hayes-14907,Mary Smith,PA,True,,Hayes-14906,Hayes-14906,George Hayes,False
Hayes-21509,Elizabeth Smith,PA,True,,Hayes-22966,Hayes-22966,Henry Hayes,False
Henderson-10872,Samuel Henderson,PA,True,,Henderson-14455,Henderson-14455,Thomas Henderson,False
Henry-15993,William Henry,PA,True,,Henry-18460,Henry-18460,John Henry,False
Hide-171,John Hyde,CT,True,,Hyde-3783,Hyde-3783,Joseph Hide,False
Higgins-2336,William Higgins,CT,True,,Higgins-2320,Higgins-2320,Samuel Higgins,False
Hine-680,Abel Hine,CT,True,,Hine-679,Hine-679,Daniel Hine,False
Hooker-862,James Hooker,CT,True,,Hooker-2001,Hooker-2001,Noadiah Hooker,False
Horsey-85,Outerbridge Horsey,MD,True,,Horsey-108,Horsey-108,William Horsey,False
Hovey-1435,Jacob Hovey,CT,True,,Hovey-558,Hovey-558,Joseph Hovey,False
Hull-1984,Sarah Smith,CT,True,,Hull-1978,Hull-1978,Stephen Hull,False
Hunt-18787,John Hunt,MA,True,,Hunt-7736,Hunt-7736,William Hunt,False
Hunt-5892,John Hunt,MA,True,,Whitmarsh-32,Whitmarsh-32,Ruth Hunt,False
Hunter-16136,James Hunter,PA,True,,Ross-21142,Ross-21142,Susan Hunter,False
Huntington-1170,Andrew Huntington,CT,True,,Huntington-1225,Huntington-1225,Sarah Throop,False
Huntington-1393,Zachariah Huntington,CT,True,,Huntington-151,Huntington-151,Jabez Huntington,False
Huntington-2187,John Huntington,CT,True,,Eells-333,Eells-333,John Eells,False
Huntington-2204,Andrew Huntington,CT,True,,Denison-121,Denison-121,Elizabeth Huntington,False
Huntington-2246,Henry Huntington,CT,True,,Huntington-2244,Huntington-2244,Benjamin Huntington,False
Huntington-2859,Hannah Huntington,CT,True,,Huntington-144,Huntington-144,Joseph Huntington,False
Huntington-824,Jedediah Huntington,CT,True,,Huntington-151,Huntington-151,Jabez Huntington,False
Huntington-881,Hannah Huntington,CT,True,,Huntington-878,Huntington-878,Oliver Huntington,False
Hutton-446,Mary Smith,PA,True,,Hutton-2830,Hutton-2830,James Hutton,False
Hyde-4017,John Hyde,CT,True,,Hyde-4014,Hyde-4014,Simon Hyde,False
Irwin-4064,Nathaniel Irwin,PA,True,,Irwin-4065,Irwin-4065,George Irwin,False
Jamison-721,John Jamison,PA,True,,Jamison-1100,Jamison-1100,James Jamison,False
Johnson-106459,William Johnson,NY,True,,Brelsford-353,Brelsford-353,Mary Johnson,False
Johnson-109926,Seth Johnson,CT,True,,Johnson-59774,Johnson-59774,William Johnson,False
Johnson-31330,William Johnson,NY,True,,Wysen_Bergh-1,Wysen_Bergh-1,John Johnson,False
Johnson-38487,William Johnson,NY,True,,Johnson-38489,Johnson-38489,John Johnson,False
Johnson-56376,John Johnson,NY,True,,Smith-125701,Smith-125701,Jennie Johnson,False
Johnson-70474,Stephen Johnson,CT,True,,Johnson-25342,Johnson-25342,Moses Johnson,False
Johnston-17580,James Johnston,PA,True,,Johnston-17573,Johnston-17573,John Johnston,False
Jones-50540,John Jones,PA,True,,Jones-50541,Jones-50541,Joseph Jones,False
Jones-85829,William Jones,MA,True,,Jones-85825,Jones-85825,Isaac Jones,False
Judson-1160,Mary Judson,CT,True,,Judson-93,Judson-93,David Judson,False
Judson-668,Mary Judson,CT,True,,Judson-93,Judson-93,David Judson,False
Judson-830,David Judson,CT,True,,Judson-79,Judson-79,Agur Judson,False
Keeler-1428,Sarah Smith,CT,True,,Keeler-1295,Keeler-1295,Matthew Keeler,False
Keim-570,Catherine Miller,PA,True,,Keim-15,Keim-15,George Keim,False
Kellogg-3432,Martin Kellogg,CT,True,,Kellogg-1932,Kellogg-1932,Samuel Kellogg,False
Langdon-729,John Langdon,NH,True,,Hall-14649,Hall-14649,Mary Langdon,False
Lansdale-127,Thomas Lansdale,MD,True,,Crabb-256,Crabb-256,Elinor Lansdale,False
Lansing-343,Abraham Lansing,NY,True,,Lansing-290,Lansing-290,Catharina Douw,False
Lansing-405,Abraham Lansing,NY,True,,Lansing-256,Lansing-256,Johannes Lansing,False
Lansing-512,Abraham Lansing,NY,True,,Lansing-510,Lansing-510,Isaac Lansing,False
Lansing-817,Abraham Lansing,NY,True,,Lansing-279,Lansing-279,Gerrit Lansing,False
Larrabee-1958,Timothy Larrabee,CT,True,,Larrabee-1519,Larrabee-1519,John Larrabee,False
Lascher-3,Catherine Miller,PA,True,,Lesher-242,Lesher-242,John Lesher,False
Lee-15337,Charles Lee,VA,True,,Lee-9806,Lee-9806,Richard Lee,False
Lee-20195,Elizabeth Allen,CT,True,,Lee-10605,Lee-10605,Jonathan Lee,False
Lee-4355,Thomas Lee,MA,True,,Lee-1461,Lee-1461,Joseph Lee,False
Lee-43695,Richard Lee,VA,True,,Lee-20569,Lee-20569,George Lee,False
Lewis-13308,David Lewis,PA,True,,Lewis-6356,Lewis-6356,Nathan Lewis,False
Linton-2153,Elizabeth Smith,PA,True,,Moon-5418,Moon-5418,Mary Linton,False
Long-36784,John Long,PA,True,,Long-36780,Long-36780,William Long,False
Lowenstein-356,Henry Livingston,NY,True,,Appel-365,Appel-365,Anna Lowenstein,False
MacCubbin-65,Charles MacCubbin,MD,True,,Carroll-5448,Carroll-5448,Mary MacCubbin,False
