,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,county,geo_level,6p_total
1207,160.0,,80.0,,115.0,80.0,Prince Georges County,MD,,['Daniel Clarke'],Prince Georges County,county,
1208,,,,,52.0,34.0,Annapolis,MD,,['Archibald Golder'],Anne Arundel County,town,
1209,64.0,76.0,32.0,38.0,68.0,82.0,Montgomery County,MD,,"['Aron Lanham', 'Aaron Lanham']",Montgomery County,county,64.76
1210,,,,,5291.0,38.0,,MD,,['Philip Key'],,state,
1211,,,,,1924.0,64.0,,MD,,['Gerrard Alexander'],,state,
1212,16.0,,8.0,,,,Prince Georges County,MD,,['Benjamin Duvall'],Prince Georges County,county,
1213,15.0,42.0,7.0,70.0,,,Anne Arundel County,MD,,['Elizabeth Gassaway'],Anne Arundel County,county,15.42
1214,1936.0,28.0,968.0,14.0,,,Virgina,VA,,['Gerrard Alexander'],,state,1936.28
1215,2079.0,60.0,1039.0,90.0,1368.0,41.0,Dorchester County,MD,,['Elizabeth Gray'],Dorchester County,county,2079.6
1216,118.0,22.0,59.0,11.0,80.0,,Prince Georges County,MD,,['Thomas Richardson'],Prince Georges County,county,118.22
1217,1235.0,92.0,617.0,95.0,933.0,73.0,Cambridge,MD,,['Gustavus Scott'],Dorchester County,town,1235.92
1218,126.0,1.0,63.0,,91.0,24.0,Prince Georges County,MD,,['Rinaldo Johnson'],Prince Georges County,county,126.01
1219,504.0,28.0,252.0,13.0,554.0,6.0,Annapolis,MD,Merchant,['John Davidson'],Anne Arundel County,town,504.28
1220,3177.0,36.0,1588.0,68.0,2612.0,45.0,Annapolis,MD,,['Frederick Grammar'],Anne Arundel County,town,3177.36
1221,158.0,1.0,79.0,,158.0,10.0,Pennsylvania,PA,,['Christian Lybrant'],,state,158.01
1222,,,,,1240.0,,Annapolis,MD,,['Wallace and Muir'],Anne Arundel County,town,
1223,230.0,65.0,115.0,32.0,239.0,30.0,Annapolis,MD,Merchant,['John Davidson'],Anne Arundel County,town,230.65
1224,13700.0,94.0,6850.0,46.0,7487.0,1.0,Annapolis,MD,,['Benjamin Harwood'],Anne Arundel County,town,13700.94
1225,21854.0,30.0,10927.0,14.0,25213.0,72.0,George Town,MD,Merchant,['John Laird'],Cecil County,town,21854.3
1226,98.0,8.0,49.0,3.0,64.0,13.0,Annapolis,MD,,['William Marbury'],Anne Arundel County,town,98.08
1227,20.0,27.0,10.0,13.0,13571.0,95.0,Annapolis,MD,,['Randolph B Latimer'],Anne Arundel County,town,20.27
1228,262138.0,43.0,131069.0,21.0,152239.0,70.0,Annapolis,MD,,['Benjamin Harwood'],Anne Arundel County,town,262138.43
1229,272.0,48.0,136.0,24.0,278.0,11.0,Baltimore,MD,Merchant,['Adrian Valck'],Baltimore County,town,272.48
1230,2202.0,48.0,1101.0,24.0,2129.0,56.0,Baltimore County,MD,,['James Gettings'],Baltimore County,county,2202.48
1231,913.0,48.0,456.0,73.0,644.0,64.0,St Marys County,MD,,['Philip Key'],St Marys County,county,913.48
1232,2217.0,40.0,1108.0,70.0,1721.0,34.0,Annapolis,MD,,['Lewis Neth'],Anne Arundel County,town,2217.4
1233,803.0,11.0,401.0,55.0,811.0,45.0,Anne Arundel County,MD,,['Vachel White'],Anne Arundel County,county,803.11
1234,2521.0,14.0,1260.0,57.0,1726.0,90.0,Worcester County,MD,,['Ezekiel Hanie'],Worcester County,county,2521.14
1235,376.0,8.0,188.0,4.0,255.0,4.0,Cambridge,MD,,['Gustavus Scott'],Dorchester County,town,376.08
1236,312.0,84.0,156.0,42.0,280.0,28.0,Cambridge,MD,,['Gustavus Scott'],Dorchester County,town,312.84
1237,3045.0,87.0,1522.0,93.0,2033.0,30.0,Somerset County,MD,,"['Levin Winder', 'Lovin Winder']",Somerset County,county,3045.87
1238,1619.0,36.0,809.0,68.0,1148.0,37.0,Dorchester County,MD,,['Robert Harrison'],Dorchester County,county,1619.36
1239,15.0,,7.0,50.0,14.0,45.0,Anne Arundel County,MD,,['William Wyvell'],Anne Arundel County,county,
1240,257.0,11.0,128.0,55.0,181.0,21.0,Anne Arundel County,MD,,['Joshua Yates'],Anne Arundel County,county,257.11
1241,275.0,32.0,137.0,65.0,227.0,38.0,St Marys County,MD,,['Charles Chilton'],St Marys County,county,275.32
1242,121.0,52.0,60.0,75.0,117.0,58.0,Baltimore,MD,,['John McClellan'],Baltimore County,town,121.52
1243,243.0,94.0,121.0,96.0,65.0,85.0,Alexandria State of Virginia,VA,,['William Hodgson'],Fairfax County,state,243.94
1244,133.0,15.0,66.0,57.0,130.0,47.0,Annapolis,MD,,['Thomas Hyde'],Anne Arundel County,town,133.15
1245,221.0,46.0,110.0,72.0,114.0,73.0,Baltimore,MD,Merchant,['Adrian Valck'],Baltimore County,town,221.46
1246,123.0,56.0,61.0,77.0,81.0,32.0,Montgomery County,MD,,"['Richard Wootton', 'Richard Woottan']",Montgomery County,county,123.56
1247,126.0,27.0,63.0,13.0,134.0,38.0,Baltimore,MD,,['Eleanor Croxall'],Baltimore County,town,126.27
1248,31.0,70.0,15.0,85.0,25.0,32.0,Annapolis,MD,,['Frederick Green'],Anne Arundel County,town,31.7
1249,323.0,84.0,161.0,91.0,315.0,1.0,Dorchester County,MD,,['Thomas Martin'],Dorchester County,county,323.84
1250,,,,,2127.0,85.0,,MD,,['Benjamin Nicholson'],,state,
1251,735.0,46.0,367.0,72.0,530.0,52.0,St Marys County,MD,,['Henry Tubman'],St Marys County,county,735.46
1252,1503.0,32.0,,,1119.0,53.0,Baltimore,MD,Merchant,['Adrian Valck'],Baltimore County,town,1503.32
1253,261.0,48.0,130.0,74.0,286.0,81.0,Prince Georges County,MD,,['Robert Bowie'],Prince Georges County,county,261.48
1254,333.0,33.0,,,,,Annapolis,MD,,['William Campbell'],Anne Arundel County,town,333.33
1255,1664.0,60.0,832.0,30.0,1205.0,15.0,Annapolis,MD,,['Robert Couden'],Anne Arundel County,town,1664.6
1256,73.0,36.0,36.0,68.0,72.0,67.0,Calvert County,MD,,['Walter Hellen'],Calvert County,county,73.36
1257,82.0,56.0,41.0,27.0,79.0,13.0,Annapolis,MD,,['Thomas Callahan'],Anne Arundel County,town,82.56
1258,233.0,33.0,116.0,67.0,221.0,56.0,Annapolis,MD,,['Benjamin Harwood'],Anne Arundel County,town,233.33
1259,,,7360.0,77.0,,,Annapolis,MD,,['Benjamin Harwood'],Anne Arundel County,town,
1260,,,177.0,54.0,,,Baltimore,MD,,['William Smith'],Baltimore County,town,
1261,3.0,44.0,1.0,72.0,,,Cecil County,MD,,['John Ward'],Cecil County,county,3.44
1262,3013.0,48.0,1506.0,74.0,2125.0,15.0,,MD,,['James Bruff'],,state,3013.48
1263,620.0,47.0,310.0,24.0,1062.0,10.0,Queen Annes County,MD,,"['Philip Feddeman', 'Philip Feddman']",Queen Annes County,county,620.47
1264,68.0,84.0,34.0,42.0,66.0,32.0,,MD,,['William Hackett'],,state,68.84
1265,80.0,,40.0,,57.0,60.0,Annapolis,MD,,['Joseph Sands'],Anne Arundel County,town,
1266,768.0,7.0,384.0,3.0,540.0,86.0,Washington County,MD,,['Moses Rawlings'],Washington County,county,768.07
1267,803.0,96.0,401.0,98.0,1307.0,61.0,George town,MD,,['Charles Beatty'],Cecil County,town,803.96
1268,55.0,50.0,27.0,75.0,,,Prince Georges County,MD,,['Walter S Chandler'],Prince Georges County,county,55.5
1269,610.0,97.0,305.0,48.0,589.0,5.0,,MD,,"['Richard A Contee', 'Richard Alexander Cont']",,state,610.97
1270,1034.0,12.0,517.0,6.0,558.0,42.0,Virginia,VA,,"['Daniel Carroll Brent', 'Daniel Carroll Brant Virginia']",,state,1034.12
1271,165.0,92.0,82.0,96.0,176.0,23.0,Virginia,VA,,"['Charles Lee', 'Richard Lee', 'Charles Lee Virginia']",,state,165.92
1272,3128.0,30.0,1564.0,15.0,1605.0,60.0,George Town,MD,Merchants,['Uriah Forrest and Benjamin Stoddert'],Cecil County,town,3128.3
1273,46.0,20.0,23.0,10.0,,,Frederick County,MD,,['Michael Baltzel'],Frederick County,county,46.2
1274,15.0,62.0,7.0,81.0,,,Frederick County,MD,,['Peter Houck'],Frederick County,county,15.62
1275,333.0,68.0,166.0,84.0,303.0,87.0,Prince Georges County,MD,,"['Walter S Chandler', 'Walter Storey Chandler']",Prince Georges County,county,333.68
1276,32.0,84.0,16.0,42.0,11.0,56.0,Frederick County,MD,,['Thomas Beatty'],Frederick County,county,32.84
1277,22.0,22.0,11.0,11.0,24.0,93.0,Frederick County,MD,,['Henry Brotbeck'],Frederick County,county,22.22
1278,38.0,72.0,19.0,36.0,38.0,47.0,Frederick County,MD,,['Casper Eader'],Frederick County,county,38.72
1279,44.0,44.0,22.0,22.0,49.0,86.0,Frederick County,MD,,['Peter Giphard'],Frederick County,county,44.44
1280,62.0,69.0,31.0,34.0,66.0,1.0,Frederick County,MD,,['Conrad Grosh'],Frederick County,county,62.69
1281,2950.0,,1475.0,,1891.0,67.0,Worcester County,MD,,"['John Gunby', 'John Gunley']",Worcester County,county,
1282,80.0,48.0,40.0,24.0,78.0,96.0,Frederick County,MD,,['Thomas Hawkins'],Frederick County,county,80.48
1283,33.0,33.0,16.0,66.0,37.0,40.0,Frederick County,MD,,['Valentine Marter'],Frederick County,county,33.33
1284,31.0,10.0,15.0,55.0,34.0,91.0,Frederick County,MD,,"['Philip Rodenpillar', 'Philip Rodenpiller']",Frederick County,county,31.1
1285,22.0,64.0,11.0,32.0,23.0,83.0,Frederick County,MD,,['Matthias Shrub'],Frederick County,county,22.64
1286,26.0,40.0,13.0,20.0,28.0,10.0,Frederick County,MD,,['George Simmerman'],Frederick County,county,26.4
1287,53.0,16.0,26.0,58.0,49.0,96.0,Frederick Town,MD,,['James Smith'],Frederick County,town,53.16
1288,90.0,78.0,45.0,39.0,93.0,2.0,Frederick County,MD,,"['Andrew Workman', 'Andrew Worman']",Frederick County,county,90.78
1289,39.0,36.0,19.0,68.0,41.0,87.0,Annapolis,MD,,['Wallace and Muir'],Anne Arundel County,town,39.36
1290,258.0,20.0,129.0,10.0,248.0,47.0,Baltimore,MD,,['Isaac Vanbibber'],Baltimore County,town,258.2
1291,864.0,39.0,432.0,19.0,807.0,86.0,St Marys County,MD,,['John Briscoe'],St Marys County,county,864.39
1292,369.0,70.0,184.0,84.0,360.0,94.0,Virginia,VA,,['William Carlin'],,state,369.7
1293,221.0,67.0,110.0,83.0,212.0,57.0,Prince Georges County,MD,,"['Francis Clement Dyer', 'Francis C Dyer']",Prince Georges County,county,221.67
1294,143.0,78.0,71.0,88.0,105.0,80.0,Baltimore County,MD,,"['Sutton Gudgeon', 'Sulton Gudgeon']",Baltimore County,county,143.78
1295,1283.0,99.0,641.0,99.0,903.0,22.0,Charles County,MD,,['Edward Hamilton'],Charles County,county,1283.99
1296,2416.0,60.0,1208.0,30.0,1857.0,50.0,,MD,,"['Absalom Ridgely', 'Absalom Redgely']",,state,2416.6
1297,430.0,,215.0,,116.0,10.0,Annapolis,MD,,['James Williams'],Anne Arundel County,town,
1298,2548.0,46.0,1274.0,22.0,1731.0,41.0,Montgomery County,MD,,['Richard Anderson'],Montgomery County,county,2548.46
1299,65.0,98.0,32.0,99.0,69.0,74.0,Talbot County,MD,,['Sarah Marshall'],Talbot County,county,65.98
1300,1783.0,18.0,891.0,59.0,1286.0,33.0,,MD,,['Perry Benson'],,state,1783.18
1301,115.0,85.0,57.0,92.0,123.0,47.0,Annapolis,MD,,['Jesse Dewees'],Anne Arundel County,town,115.85
1302,1085.0,24.0,542.0,62.0,1321.0,25.0,Baltimore Town,MD,Merchant,['Nicholas Sluby'],Baltimore County,town,1085.24
1303,50.0,,25.0,,46.0,25.0,Annapolis,MD,,['James Williams'],Anne Arundel County,town,
1304,912.0,45.0,456.0,22.0,971.0,43.0,Prince Georges County,MD,,"['Walter S Chandler', 'Walter Storey Chandler']",Prince Georges County,county,912.45
1305,28.0,4.0,14.0,3.0,29.0,93.0,,MD,,['Rezin Davis'],,state,28.04
1306,33.0,34.0,16.0,66.0,35.0,3.0,Frederick County,MD,,['William Dickensheet'],Frederick County,county,33.34
1307,1390.0,89.0,695.0,45.0,556.0,70.0,,MD,the estate of the late,"['The Estate of John Jordon', 'John Jordon', 'John Jordans Estate']",,state,1390.89
1308,,,,,375.0,54.0,,MD,,['John Jordans Estate'],,state,
1309,725.0,75.0,362.0,87.0,794.0,68.0,Annapolis,MD,,"['Randolph B Latimer', 'Randolph Brandt Latimer']",Anne Arundel County,town,725.75
1310,186.0,86.0,93.0,42.0,90.0,44.0,Annapolis,MD,,['William Marbury'],Anne Arundel County,town,186.86
1311,608.0,5.0,304.0,2.0,364.0,95.0,Washington County,MD,,['Moses Rawlings'],Washington County,county,608.05
1312,,,,,164.0,16.0,Washington County,MD,,['Moses Rawlings'],Washington County,county,
1313,135.0,56.0,67.0,77.0,91.0,12.0,Baltimore County,MD,,['John Thomas'],Baltimore County,county,135.56
1314,2148.0,66.0,1074.0,34.0,1409.0,32.0,,MD,,['John Gale'],,state,2148.66
1315,1036.0,86.0,518.0,43.0,683.0,74.0,,MD,Executor of Ebenezer Finlay,"['John Gale', 'John Gale Execr of Ebenezer Finlays']",,state,1036.86
1316,362.0,91.0,181.0,43.0,225.0,10.0,Baltimore County,MD,Merchant,['Robert Gilmor'],Baltimore County,county,362.91
1317,4666.0,66.0,2333.0,34.0,1952.0,30.0,,MD,,['Nicholas Low'],,state,4666.66
1318,129.0,10.0,64.0,55.0,162.0,4.0,Dorchester County,MD,,['Robert Harrison'],Dorchester County,county,129.1
1319,16.0,98.0,8.0,49.0,17.0,86.0,Frederick County,MD,,['William House'],Frederick County,county,16.98
1320,105.0,74.0,52.0,87.0,,,Baltimore,MD,,['Lewis Brantz'],Baltimore County,town,105.74
1321,82.0,55.0,41.0,28.0,22.0,28.0,Annapolis,MD,Merchant,['John Davidson'],Anne Arundel County,town,82.55
1322,95.0,62.0,47.0,81.0,62.0,44.0,Annapolis,MD,Merchant,['John Davidson'],Anne Arundel County,town,95.62
1323,,,,,66.0,34.0,Annapolis,MD,Merchant,['John Davidson'],Anne Arundel County,town,
1324,266.0,42.0,133.0,22.0,71.0,93.0,Baltimore County,MD,,['Mara Fara'],Baltimore County,county,266.42
1325,353.0,34.0,176.0,66.0,248.0,46.0,Annapolis,MD,,['William Marbury'],Anne Arundel County,town,353.34
1326,233.0,70.0,116.0,85.0,347.0,33.0,Baltimore,MD,Merchant,['Adrian Valck'],Baltimore County,town,233.7
1327,2343.0,3.0,1171.0,52.0,2063.0,60.0,Annapolis,MD,,"['Wallace and Muir', 'Wallace Muir']",Anne Arundel County,town,2343.03
1328,242.0,32.0,121.0,15.0,130.0,84.0,,MD,,['Henry Gaither'],,state,242.32
1329,72.0,22.0,36.0,11.0,26.0,,Anne Arundel County,MD,,['Mary Mayo'],Anne Arundel County,county,72.22
1330,184.0,89.0,92.0,44.0,131.0,7.0,Baltimore,MD,Merchant,['Adrian Valck'],Baltimore County,town,184.89
1331,217.0,76.0,108.0,88.0,131.0,72.0,Annapolis,MD,,"['Randolph B Latimer', 'Randloph B Latimer']",Anne Arundel County,town,217.76
1332,106.0,66.0,53.0,34.0,81.0,60.0,Annapolis,MD,,['William Marbury'],Anne Arundel County,town,106.66
1333,967.0,94.0,483.0,97.0,540.0,76.0,Baltimore,MD,,['Luther Martin'],Baltimore County,town,967.94
1334,4206.0,29.0,2103.0,14.0,3754.0,77.0,Annapolis,MD,,['James Williams'],Anne Arundel County,town,4206.29
1335,39.0,48.0,19.0,74.0,32.0,31.0,St Marys County,MD,,['Edmund Plowden'],St Marys County,county,39.48
1336,515.0,55.0,257.0,77.0,360.0,75.0,Charles County,MD,,['Richard Edelen'],Charles County,county,515.55
1337,,,,,1068.0,,Baltimore,MD,,['Luther Martin'],Baltimore County,town,
1338,550.0,,275.0,,371.0,38.0,Charles County,MD,,['Alexander McPherson'],Charles County,county,
1339,133.0,24.0,66.0,62.0,108.0,65.0,Frederick County,MD,,"['John Neale', 'John Neall']",Frederick County,county,133.24
1340,233.0,70.0,116.0,85.0,173.0,62.0,Baltimore County,MD,,['Daniel Dulany'],Baltimore County,county,233.7
1341,88.0,24.0,44.0,12.0,83.0,76.0,Anne Arundel County,MD,,['Leonard Sellman'],Anne Arundel County,county,88.24
1342,15.0,53.0,7.0,76.0,14.0,83.0,Prince Georges County,MD,,['Richard Bryant'],Prince Georges County,county,15.53
1343,21.0,66.0,10.0,83.0,76.0,87.0,Anne Arundel County,MD,,['Zachariah Duvall'],Anne Arundel County,county,21.66
1344,415.0,36.0,207.0,68.0,389.0,88.0,Harford County,MD,,['John Archer'],Harford County,county,415.36
1345,44.0,84.0,22.0,42.0,43.0,95.0,Harford County,MD,Executor of Moses Ruth,"['John Archer', 'John Archer Excr of Moses Ruth']",Harford County,county,44.84
1346,210.0,58.0,105.0,29.0,202.0,30.0,Harford County,MD,,['John Hays'],Harford County,county,210.58
1347,9.0,24.0,4.0,62.0,7.0,73.0,Harford County,MD,,['John Gibbs'],Harford County,county,9.24
1348,11.0,66.0,5.0,83.0,11.0,5.0,Harford County,MD,,"[""Francis O'Neill""]",Harford County,county,11.66
1349,1573.0,33.0,786.0,66.0,1008.0,90.0,Harford County,MD,,['Edward Prall'],Harford County,county,1573.33
1350,183.0,49.0,91.0,74.0,190.0,40.0,,MD,,['William Robinson'],,state,183.49
1351,,,10580.0,28.0,,,Prince Georges County,MD,,['Rinaldo Johnson'],Prince Georges County,county,
1352,188.0,88.0,94.0,44.0,134.0,32.0,Annapolis,MD,,['Wallace and Muir'],Anne Arundel County,town,188.88
1353,283.0,33.0,141.0,66.0,261.0,57.0,Baltimore,MD,,"['Samuel Sterett', 'Samuel Sterrett']",Baltimore County,town,283.33
1354,161.0,77.0,80.0,88.0,117.0,7.0,Charles County,MD,,['Thomas Waters'],Charles County,county,161.77
1355,39.0,48.0,19.0,74.0,42.0,1.0,Charles County,MD,,['Joshua Mudd'],Charles County,county,39.48
1356,135.0,38.0,67.0,69.0,142.0,92.0,Dorchester County,MD,,"['Elizabeth Caile', 'Eliza Caile']",Dorchester County,county,135.38
1357,4031.0,31.0,2015.0,65.0,2747.0,74.0,Dorchester County,MD,,['Thomas Woolford'],Dorchester County,county,4031.31
1358,360.0,,269.0,62.0,267.0,,Montgomery County,MD,,['Uriah Forrest'],Montgomery County,county,
1359,179.0,25.0,,,130.0,64.0,Montgomery County,MD,,['Uriah Forrest'],Montgomery County,county,179.25
1360,153.0,54.0,76.0,77.0,146.0,96.0,Montgomery County,MD,,"[""Bernard O'Neill""]",Montgomery County,county,153.54
1361,,,3192.0,66.0,,,,MD,,['Philip B Key'],,state,
1362,732.0,32.0,366.0,16.0,493.0,86.0,Prince Georges County,MD,,"['Walter S Chandler', 'Walter Storey Chandler']",Prince Georges County,county,732.32
1363,,,,,753.0,35.0,,MD,,['Uriah Forrest'],,state,
1364,179.0,48.0,89.0,74.0,115.0,32.0,Annapolis,MD,,"['Randolph B Latimer', 'Randolph Brandt Latimer']",Anne Arundel County,town,179.48
1365,169.0,14.0,84.0,57.0,164.0,51.0,Frederick County,MD,,['Thomas Beatty'],Frederick County,county,169.14
1366,553.0,45.0,276.0,72.0,314.0,,Annapolis,MD,,['William Marbury'],Anne Arundel County,town,553.45
1367,110.0,22.0,55.0,11.0,86.0,8.0,Frederick County,MD,,['John Ramsburgh'],Frederick County,county,110.22
1368,340.0,42.0,170.0,21.0,276.0,66.0,Harford County,MD,,['Joseph Wheeler'],Harford County,county,340.42
1369,31.0,77.0,15.0,88.0,20.0,35.0,Frederick County,MD,,"['Lawrence Brangle and Jacob Gombar', 'Lawrence Brangle and Jacob Gombare', 'Lawrance Brangle and Jacob Gombare']",Frederick County,county,31.77
1370,1468.0,80.0,734.0,40.0,1807.0,86.0,Virginia,VA,,"['William Wilson and Co', 'William Wilsm and Co', 'William Wilson and Company']",,state,1468.8
1371,68.0,78.0,34.0,39.0,62.0,56.0,Annapolis,MD,,"['John Callhan', 'John Callahan']",Anne Arundel County,town,68.78
1372,116.0,13.0,58.0,6.0,113.0,97.0,Annapolis,MD,,['John Muir'],Anne Arundel County,town,116.13
1373,902.0,47.0,451.0,23.0,164.0,61.0,Baltimore,MD,Merchant,['Adrian Valck'],Baltimore County,town,902.47
1374,119.0,96.0,59.0,98.0,,,Annapolis,MD,,['Jesse Dewees'],Anne Arundel County,town,119.96
1375,755.0,55.0,377.0,77.0,539.0,96.0,Allegany County,MD,,['Elijah Robosson'],Allegany County,county,755.55
1376,266.0,59.0,133.0,30.0,266.0,80.0,Annapolis,MD,,['John Muir'],Anne Arundel County,town,266.59
1377,4354.0,63.0,520.0,2.0,1828.0,24.0,Annapolis,MD,,['Wallace and Muir'],Anne Arundel County,town,4354.63
1378,3016.0,91.0,2977.0,32.0,280.0,80.0,Annapolis,MD,,['Wallace and Muir'],Anne Arundel County,town,3016.91
1379,233.0,65.0,116.0,82.0,169.0,12.0,Harford County,MD,,"['James McGaw', 'James McGan']",Harford County,county,233.65
1380,,,,,2412.0,15.0,,MD,,['John Francis Mercer'],,state,
1381,316.0,66.0,158.0,33.0,305.0,90.0,Charles County,MD,,['Francis Speake'],Charles County,county,316.66
1382,,,872.0,66.0,,,,MD,,['Jesse Rewees'],,state,
1383,,,4493.0,12.0,,,Annapolis,MD,,['James Williams'],Anne Arundel County,town,
1384,5414.0,49.0,2707.0,24.0,4606.0,32.0,Anne Arundel County,MD,,['Charles Stuart and James McCulloch'],Anne Arundel County,county,5414.49
1385,38.0,12.0,19.0,6.0,37.0,12.0,Annapolis,MD,,['Philip Barton Key'],Anne Arundel County,town,38.12
1386,2818.0,40.0,1409.0,20.0,1889.0,95.0,Prince Georges County,MD,,['Thomas Lansdale'],Prince Georges County,county,2818.4
1387,297.0,67.0,148.0,83.0,,,Montgomery County,MD,,['David Lynn'],Montgomery County,county,297.67
1388,2363.0,94.0,1181.0,97.0,1804.0,50.0,Virginia,VA,,"['Josiah Watson and Co', 'Josiah Watson and Company']",,state,2363.94
1389,2673.0,42.0,,,606.0,9.0,Annapolis,MD,,['Wallace and Muir'],Anne Arundel County,town,2673.42
1390,64.0,97.0,32.0,48.0,69.0,6.0,Annapolis,MD,,"['James Brice', 'James Bried']",Anne Arundel County,town,64.97
1391,309.0,60.0,154.0,80.0,167.0,17.0,Virginia,VA,,['Jacob Cox'],,state,309.6
1392,64.0,14.0,32.0,7.0,45.0,94.0,Annapolis,MD,,"['Jesse Dewers', 'Jesse Dewees']",Anne Arundel County,town,64.14
1393,,,1051.0,29.0,2027.0,85.0,Baltimore County,MD,,['James Gettings'],Baltimore County,county,
1394,101.0,43.0,50.0,71.0,1993.0,27.0,Anne Arundel County,MD,,"['James Pattison', 'William Patterson']",Anne Arundel County,county,101.43
1395,2225.0,40.0,905.0,42.0,228.0,16.0,Baltimore,MD,,['William Patterson'],Baltimore County,town,2225.4
1396,,,103.0,64.0,228.0,16.0,Baltimore,MD,,['William Patterson'],Baltimore County,town,
1397,,,103.0,64.0,106.0,70.0,Baltimore,MD,,"['William Patterson', 'James Pattison']",Baltimore County,town,
1398,157.0,85.0,78.0,92.0,133.0,88.0,Annapolis,MD,,['William Wilkins'],Anne Arundel County,town,157.85
1399,55.0,3.0,27.0,52.0,57.0,78.0,,MD,,['William Richardson'],,state,55.03
1400,459.0,40.0,229.0,70.0,256.0,36.0,Dorchester County,MD,,['Archibald Pattison'],Dorchester County,county,459.4
1401,267.0,62.0,133.0,81.0,234.0,86.0,Anne Arundel County,MD,,['Richard Sprigg'],Anne Arundel County,county,267.62
1402,154.0,58.0,77.0,29.0,321.0,17.0,Prince Georges County,MD,,['Walter S Chandler'],Prince Georges County,county,154.58
1403,,,1076.0,54.0,,,Prince Georges County,MD,,['Walter S Chandler'],Prince Georges County,county,
1404,106.0,66.0,53.0,33.0,81.0,60.0,Charles County,MD,,['Ignatius Gardiner'],Charles County,county,106.66
1405,471.0,83.0,235.0,91.0,323.0,3.0,Dorchester County,MD,,['Stanley Byus'],Dorchester County,county,471.83
1406,600.0,88.0,300.0,44.0,586.0,34.0,,MD,Executor of Nicholas Gassaway,"['Robert Pattenger', 'Robert Pottenger', 'Robert Pottinger Excr Nicholas Gassaway']",,state,600.88
1407,,,,,934.0,28.0,George Town,MD,Merchant,['William Deakins'],Cecil County,town,
1408,1402.0,40.0,701.0,20.0,1204.0,1.0,Annapolis,MD,,"['Richard Fraizer', 'Richard Frazier']",Anne Arundel County,town,1402.4
1409,80.0,98.0,40.0,49.0,25.0,78.0,George Town,MD,,['James M Lingan'],Cecil County,town,80.98
1410,952.0,33.0,476.0,16.0,695.0,91.0,George Town,MD,,['Joseph E Rowles'],Cecil County,town,952.33
1411,645.0,33.0,322.0,66.0,422.0,63.0,Annapolis,MD,,['Charles Carroll of Carrolton'],Anne Arundel County,town,645.33
1412,28.0,89.0,14.0,44.0,18.0,49.0,Annapolis,MD,,['Benjamin Harwood'],Anne Arundel County,town,28.89
1413,10437.0,76.0,5036.0,65.0,146.0,64.0,Annapolis,MD,,['William Campbell'],Anne Arundel County,town,10437.76
1414,,,182.0,23.0,,,Annapolis,MD,,['William Campbell'],Anne Arundel County,town,
1415,1077.0,,538.0,50.0,,,Annapolis,MD,,['Jesse Dewees'],Anne Arundel County,town,
1416,106.0,66.0,53.0,34.0,81.0,60.0,Baltimore,MD,,['George Gale'],Baltimore County,town,106.66
1417,296.0,2.0,148.0,1.0,204.0,74.0,Annapolis,MD,,['William Marbury'],Anne Arundel County,town,296.02
1418,675.0,98.0,337.0,99.0,704.0,4.0,Prince Georges County,MD,,"['John Contee', 'John Conter']",Prince Georges County,county,675.98
1419,505.0,60.0,252.0,80.0,667.0,62.0,Montgomery County,MD,,"['Uriah Hornett', 'Uriah Forrest', 'Uriah Horrest']",Montgomery County,county,505.6
1420,89.0,82.0,44.0,91.0,44.0,68.0,Baltimore,MD,,['William Matthews'],Baltimore County,town,89.82
1421,273.0,22.0,136.0,61.0,257.0,45.0,St Marys County,MD,,"['Thomas A Reeder', 'Thomas A Reider']",St Marys County,county,273.22
1422,,,,,407.0,85.0,Baltimore County,MD,Merchant,['Robert Gilmor'],Baltimore County,county,
1423,,,,,5849.0,6.0,Baltimore County,MD,Merchant,['Robert Gilmor'],Baltimore County,county,
1424,105.0,15.0,52.0,57.0,78.0,25.0,Baltimore Town,MD,,"['Jacob Graybill', 'Jacob Graybell']",Baltimore County,town,105.15
1425,34.0,66.0,17.0,33.0,36.0,53.0,Annapolis,MD,,"['Beriah Marbury', 'Beriah Maybury']",Anne Arundel County,town,34.66
1426,1791.0,88.0,895.0,93.0,2057.0,70.0,Annapolis,MD,,['Jonas Clapham'],Anne Arundel County,town,1791.88
1427,165.0,89.0,82.0,94.0,666.0,21.0,Virginia,VA,,['Richard Conway'],,state,165.89
1428,38.0,73.0,19.0,36.0,41.0,14.0,Talbot County,MD,,"['John Enshine', 'John Erskine']",Talbot County,county,38.73
1429,1118.0,62.0,559.0,31.0,366.0,70.0,Annapolis,MD,,['James Williams'],Anne Arundel County,town,1118.62
1430,22.0,50.0,11.0,25.0,22.0,96.0,Prince Georges County,MD,,['Jacob Aldridge'],Prince Georges County,county,22.5
1431,220.0,88.0,110.0,43.0,299.0,1.0,Queen Annes County,MD,,"['Edwrad Harris', 'Edward Harris']",Queen Annes County,county,220.88
1432,71.0,67.0,35.0,83.0,64.0,85.0,Baltimore Town,MD,,['David McMechen'],Baltimore County,town,71.67
1433,242.0,22.0,121.0,11.0,,,Annapolis,MD,,['Lewis Neth'],Anne Arundel County,town,242.22
1434,110.0,48.0,55.0,24.0,92.0,13.0,Prince Georges County,MD,,['John Snowden'],Prince Georges County,county,110.48
