,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,county,geo_level,6p_total
28,1573.0,33.0,786.0,67.0,424.0,80.0,New London,CT,,['Richard Douglass'],New London County,town,1573.33
29,184.0,60.0,92.0,30.0,71.0,52.0,New London,CT,Printer,['Timothy Green'],New London County,town,184.6
30,102.0,28.0,51.0,14.0,66.0,22.0,Chatham,CT,Farmer,['David White'],Middlesex County,town,102.28
31,61.0,57.0,30.0,79.0,27.0,88.0,Chatham,CT,Farmer,['Joseph White'],Middlesex County,town,61.57
32,617.0,1.0,308.0,50.0,216.0,,Berlin,CT,Farmer,['Jedediah Norton'],Hartford County,town,617.01
33,9756.0,63.0,4878.0,32.0,8176.0,26.0,Glastonbury,CT,,['Ebenezer Plummer'],Hartford County,town,9756.63
34,285.0,15.0,142.0,57.0,173.0,57.0,Hartford,CT,Merchant,['John Thomas'],Hartford County,town,285.15
35,512.0,68.0,256.0,34.0,646.0,61.0,Saybrook,CT,Farmer,['Eliphalet Lester'],Middlesex County,town,512.68
36,60.0,37.0,30.0,18.0,63.0,83.0,Rhode Island,RI,,['Timothy Peckham'],,state,60.37
37,288.0,97.0,144.0,49.0,373.0,79.0,Stafford,CT,,['Howard Moulton'],Tolland County,town,288.97
38,53.0,33.0,26.0,67.0,30.0,32.0,Glastonbury,CT,Joiner,['John Sellew'],Hartford County,town,53.33
39,402.0,21.0,201.0,11.0,289.0,60.0,Lebanon,CT,Farmer,['Peleg Thomas'],New London County,town,402.21
40,1120.0,74.0,560.0,37.0,806.0,93.0,Hebron,CT,Farmer,['Samuel Gilbert'],Tolland County,town,1120.74
41,3144.0,80.0,1572.0,40.0,2445.0,11.0,Middletown,CT,,['Philip Mortimer'],Middlesex County,town,3144.8
42,337.0,16.0,168.0,58.0,436.0,79.0,,CT,,['John Payson'],,state,337.16
43,4040.0,10.0,2020.0,5.0,3468.0,72.0,Middletown,CT,Merchant,['George Starr'],Middlesex County,town,4040.1
44,2144.0,47.0,1072.0,24.0,1799.0,12.0,New Haven,CT,,['Jonathan Edwards'],New Haven County,town,2144.47
45,43.0,24.0,21.0,62.0,,,Hartford,CT,Merchant,['James A Wells'],Hartford County,town,43.24
46,26.0,95.0,13.0,47.0,,,East Windsor,CT,Esquire,['Erastus Wolcott'],Hartford County,town,26.95
47,78.0,,39.0,,56.0,15.0,East Hartford,CT,Farmer,['Joseph Olmsted'],Hartford County,town,
48,666.0,67.0,333.0,33.0,180.0,,Hartford,CT,Farmer,['Nathan H Whiting'],Hartford County,town,666.67
49,19.0,29.0,9.0,65.0,36.0,64.0,New London,CT,,['Thomas C Green'],New London County,town,19.29
50,816.0,21.0,408.0,10.0,696.0,33.0,Boston,MA,Broker,['John Templeman'],Suffolk County,town,816.21
51,459.0,86.0,229.0,93.0,370.0,,Hartford,CT,Merchant,['Ezekiel Williams'],Hartford County,town,459.86
52,16405.0,29.0,8202.0,64.0,11988.0,66.0,Norwich,CT,,['Joshua Lathrop'],New London County,town,16405.29
53,1228.0,39.0,614.0,20.0,935.0,98.0,Norwich,CT,,"['Daniel Lathrop Coit', 'Daniel L Coit']",New London County,town,1228.39
54,2403.0,33.0,1201.0,67.0,866.0,61.0,Springfield,MA,Merchant,['Jonathan Dwight'],Hampshire County,town,2403.33
55,1408.0,67.0,704.0,33.0,380.0,33.0,Hartford,CT,Merchant,['John Hall'],Hartford County,town,1408.67
56,2109.0,41.0,1054.0,71.0,1326.0,22.0,Hartford,CT,Merchant,['Samuel W Pomeroy'],Hartford County,town,2109.41
57,178.0,50.0,89.0,25.0,94.0,64.0,New Haven,CT,,['John Austin'],New Haven County,town,178.5
58,64.0,48.0,32.0,24.0,23.0,22.0,Wethersfield,CT,Farmer,['Solomon Wells'],Hartford County,town,64.48
59,209.0,44.0,104.0,73.0,967.0,49.0,Middletown,CT,,['Enoch Parsons'],Middlesex County,town,209.44
60,4000.0,,2000.0,,2930.0,,Preston,CT,,['Wheeler Coit'],New London County,town,
61,3333.0,5.0,1666.0,52.0,2785.0,25.0,Hartford,CT,,['Nathan Strong'],Hartford County,town,3333.05
62,145.0,64.0,72.0,82.0,98.0,13.0,Sharon,CT,Farmer,['Hezekiah Goodwin'],Litchfield County,town,145.64
63,811.0,84.0,405.0,92.0,219.0,20.0,Lebanon,CT,Farmer,['Andrew Fitch'],New London County,town,811.84
64,40.0,67.0,20.0,34.0,29.0,33.0,Somers,CT,Farmer,['Jacob Pratt'],Tolland County,town,40.67
65,1779.0,35.0,889.0,68.0,1249.0,26.0,Wethersfield,CT,,['Samuel W Williams'],Hartford County,town,1779.35
66,20.0,0.0,10.0,,,,East Windsor,CT,Esquire,['Erastus Wolcott'],Hartford County,town,20.0
67,62.0,93.0,31.0,47.0,22.0,66.0,Goshen,CT,Farmer,"['Solomon Wadham', 'Solomon Windham']",Litchfield County,town,62.93
68,321.0,68.0,160.0,84.0,115.0,51.0,Farmington,CT,,['Noadiah Hooker'],Hartford County,town,321.68
69,623.0,20.0,311.0,60.0,466.0,31.0,Torrington,CT,Farmer,['Ebenezer Miller'],Litchfield County,town,623.2
70,2400.0,,1200.0,,2010.0,,Boston,MA,Merchant,['Thomas Russell'],Suffolk County,town,
71,6454.0,4.0,3227.0,2.0,1857.0,57.0,Lebanon,CT,,['David Trumbull'],New London County,town,6454.04
72,533.0,33.0,266.0,67.0,144.0,,Watertown,CT,,['Richard R Eliot'],Litchfield County,town,533.33
73,53.0,38.0,26.0,69.0,308.0,72.0,Norwich,CT,,['Andrew Huntington'],New London County,town,53.38
74,510.0,37.0,255.0,18.0,151.0,72.0,Norwich,CT,,['Hannah Huntington'],New London County,town,510.37
75,1336.0,5.0,668.0,2.0,959.0,93.0,Hartford,CT,Merchant,"['Pownal Deming III', 'Pownal Deming']",Hartford County,town,1336.05
76,917.0,18.0,458.0,59.0,360.0,,Farmington,CT,,['Elijah Cowles'],Hartford County,town,917.18
