,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,orig_town,state,occupation,Name,county,6p_total,town,geo_level
0,1064.0,75.0,532.0,37.0,508.0,51.0,Hartford,CT,Merchant,['Samuel W Pomeroy'],Hartford County,1064.75,Hartford,town
1,449.0,96.0,224.0,97.0,232.0,10.0,Bolton,CT,Farmer,['Benjamin Trumbull'],Tolland County,449.96,Bolton,town
2,154.0,20.0,77.0,10.0,192.0,,Rhode Island,RI,Farmer,['Richard Green'],,154.2,,state
3,196.0,75.0,98.0,37.0,172.0,24.0,Hartford,CT,Merchant,['Thomas Hopkins'],Hartford County,196.75,Hartford,town
4,53.0,58.0,26.0,79.0,67.0,6.0,Hartford,CT,Merchant,['John Morgan'],Hartford County,53.58,Hartford,town
5,345.0,50.0,172.0,75.0,248.0,76.0,Wethersfield,CT,,['John Lewis'],Hartford County,345.5,Wethersfield,town
6,121.0,22.0,60.0,61.0,32.0,72.0,Lyme,CT,Farmer,['John Parsons'],New London County,121.22,Lyme,town
7,121.0,22.0,60.0,61.0,32.0,72.0,Lyme,CT,Farmer,['Marshfield Parsons'],New London County,121.22,Lyme,town
8,114.0,18.0,57.0,9.0,,,New Haven,CT,Mariner,['Francis Brown'],New Haven County,114.18,New Haven,town
9,66.0,66.0,33.0,34.0,48.0,,Farmington,CT,Farmer,"['Joseph Woodruffe', 'Joseph Woodruff']",Hartford County,66.66,Farmington,town
10,22452.0,81.0,11226.0,40.0,30160.0,57.0,New London,CT,Merchant,['Thomas Shaw'],New London County,22452.81,New London,town
11,26.0,27.0,13.0,13.0,18.0,91.0,New London,CT,Merchant,['Samuel Wheat'],New London County,26.27,New London,town
12,1000.0,17.0,500.0,9.0,1500.0,32.0,Hartford,CT,Merchant,['Peleg Sanford'],Hartford County,1000.17,Hartford,town
13,115.0,85.0,57.0,92.0,,,New London,CT,Merchant,['William Stewart'],New London County,115.85,New London,town
14,2967.0,49.0,1483.0,75.0,846.0,,Cornwall,CT,Farmer,['Heman Swift'],Litchfield County,2967.49,Cornwall,town
15,1739.0,64.0,869.0,82.0,1248.0,,New London,CT,,['Richard Law'],New London County,1739.64,New London,town
16,611.0,7.0,305.0,53.0,439.0,96.0,New London,CT,Mariner,['Elisha Hinman'],New London County,611.07,New London,town
17,35.0,52.0,17.0,76.0,,,New London,CT,,['Bathsheba Perow'],New London County,35.52,New London,town
18,2195.0,36.0,1097.0,68.0,1371.0,38.0,Stamford,CT,,['John and James Davenport'],Fairfield County,2195.36,Stamford,town
19,54.0,77.0,27.0,39.0,57.0,45.0,Farmington,CT,,['Allen Olcott'],Hartford County,54.77,Farmington,town
20,62.0,67.0,31.0,34.0,22.0,88.0,East Hartford,CT,Farmer,['Timothy Burnham'],Hartford County,62.67,East Hartford,town
21,546.0,20.0,273.0,10.0,466.0,40.0,Stamford,CT,Attorney at Law,['John Davenport'],Fairfield County,546.2,Stamford,town
22,210.0,1.0,105.0,1.0,67.0,13.0,Bristol,CT,Farmer,['Dan Hill'],Hartford County,210.01,Bristol,town
23,2570.0,67.0,1285.0,33.0,2880.0,,Hartford,CT,Merchant,['Samuel Marsh'],Hartford County,2570.67,Hartford,town
