,city,county,state,country,population
208,Suncook,York,Maine,USA ,17
209,Washington Plantation,York,Maine,USA ,58
210,Waterboro,York,Maine,USA ,174
211,Waterford,York,Maine,USA ,32
212,Wells,York,Maine,USA ,504
213,York,York,Maine,USA ,505
214,Back River Upper Hundred,Baltimore,Maryland,USA ,NR
215,Baltimore,Baltimore,Maryland,USA ,NR
216,Baltimore Town,Baltimore,Maryland,USA ,NR
217,Misc Run Hundred,Baltimore,Maryland,USA ,NR
218,Patapsco Lower Hundred,Baltimore,Maryland,USA ,NR
219,Two Delaware Hundreds,Baltimore,Maryland,USA ,NR
220,Back Creek,Cecil,Maryland,USA ,110
221,Bohemia Hundred,Cecil,Maryland,USA ,85
222,Bohemia Manor,Cecil,Maryland,USA ,103
223,Charles Town,Cecil,Maryland,USA ,59
224,East Nottingham,Cecil,Maryland,USA ,141
225,Elk Neck,Cecil,Maryland,USA ,167
226,Middleneck Hundred,Cecil,Maryland,USA ,20
227,North Millford,Cecil,Maryland,USA ,401
228,North Sassafrass Hundred,Cecil,Maryland,USA ,59
229,North Susquehannah,Cecil,Maryland,USA ,155
230,Octorara Hundred,Cecil,Maryland,USA ,191
231,South Millford,Cecil,Maryland,USA ,401
232,South Susquehannah Hundred,Cecil,Maryland,USA ,174
233,West Nottingham Hundred,Cecil,Maryland,USA ,133
234,West Sassafras Hundred,Cecil,Maryland,USA ,100
235,Unknown Township,St Marys,Maryland,USA ,1550
236,Back River Upper Hundred,Talbot,Maryland,USA ,NR
237,Barnstable,Barnstable,Massachusetts,USA ,486
238,Chatham,Barnstable,Massachusetts,USA ,197
239,Eastham,Barnstable,Massachusetts,USA ,314
240,Falmouth,Barnstable,Massachusetts,USA ,261
241,Harwich,Barnstable,Massachusetts,USA ,422
242,Plantation,Barnstable,Massachusetts,USA ,NR
243,Provincetown,Barnstable,Massachusetts,USA ,97
244,Sandwich,Barnstable,Massachusetts,USA ,327
245,Truro,Barnstable,Massachusetts,USA ,223
246,Wellfleet,Barnstable,Massachusetts,USA ,212
247,Yarmouth,Barnstable,Massachusetts,USA ,455
248,Adams,Berkshire,Massachusetts,USA ,404
249,Alford,Berkshire,Massachusetts,USA ,98
250,Becket,Berkshire,Massachusetts,USA ,127
251,Bethlehem,Berkshire,Massachusetts,USA ,48
252,Dalton,Berkshire,Massachusetts,USA ,94
253,Egremont,Berkshire,Massachusetts,USA ,122
254,Great Barrington,Berkshire,Massachusetts,USA ,221
255,Hancock,Berkshire,Massachusetts,USA ,190
256,Lanesborough,Berkshire,Massachusetts,USA ,346
257,Lee,Berkshire,Massachusetts,USA ,203
258,Lenox,Berkshire,Massachusetts,USA ,182
259,Loudon,Berkshire,Massachusetts,USA ,62
260,Mount Washington,Berkshire,Massachusetts,USA ,55
261,New Ashford,Berkshire,Massachusetts,USA ,80
262,New Marlborough,Berkshire,Massachusetts,USA ,253
263,Partridgefield,Berkshire,Massachusetts,USA ,172
264,Pittsfield,Berkshire,Massachusetts,USA ,312
265,Richmond,Berkshire,Massachusetts,USA ,176
266,Sandisfield,Berkshire,Massachusetts,USA ,285
267,Sheffield,Berkshire,Massachusetts,USA ,317
268,Stockbridge,Berkshire,Massachusetts,USA ,198
269,Tyringham,Berkshire,Massachusetts,USA ,237
270,Washington,Berkshire,Massachusetts,USA ,98
271,West Stockbridge,Berkshire,Massachusetts,USA ,180
272,Williamstown,Berkshire,Massachusetts,USA ,280
273,Windsor,Berkshire,Massachusetts,USA ,151
274,Attleborough,Bristol,Massachusetts,USA ,384
275,Berkley,Bristol,Massachusetts,USA ,139
276,Dartmouth,Bristol,Massachusetts,USA ,448
277,Dighton,Bristol,Massachusetts,USA ,285
278,Easton,Bristol,Massachusetts,USA ,261
279,Freetown,Bristol,Massachusetts,USA ,364
280,Mansfield,Bristol,Massachusetts,USA ,200
281,New Bedford,Bristol,Massachusetts,USA ,563
282,Norton,Bristol,Massachusetts,USA ,246
283,Raynham,Bristol,Massachusetts,USA ,197
284,Rehoboth,Bristol,Massachusetts,USA ,832
285,Somerset,Bristol,Massachusetts,USA ,189
286,Swanzey,Bristol,Massachusetts,USA ,329
287,Taunton,Bristol,Massachusetts,USA ,661
288,Westport,Bristol,Massachusetts,USA ,452
289,Chilmark,Dukes,Massachusetts,USA ,133
290,Edgarton,Dukes,Massachusetts,USA ,222
291,Tisbury,Dukes,Massachusetts,USA ,204
292,Almsbury,Essex,Massachusetts,USA ,350
293,Andover,Essex,Massachusetts,USA ,573
294,Beverly,Essex,Massachusetts,USA ,633
