row_id,org_file,org_index,to whom due | first name,to whom due | last name
0,liquidated_debt_certificates_MA.xlsx,2071,The Proprietor of the School House mers The World house in Roxbury,
1,liquidated_debt_certificates_PA_stelle.xlsx,9209,"Reported to the board of Treasury March 26th, 1787, which Day Closed the Commisoner office in the state of Pennsylvania - Benjamin Stelle",
2,liquidated_debt_certificates_PA_stelle.xlsx,9210,Note those Certificates marked off T were returned into the Treasury by B Stelle Esq as per Report No 1526 book G,
3,liquidated_debt_certificates_PA_story.xlsx,956,Omitted in Page 16 Wrong charged 7/90th whish is to be deducted,
4,liquidated_debt_certificates_PA_story.xlsx,957,Those Certificates marhed SP were paid in the treaseery by the State of Pennsylvania for land purchased of the United States,
5,loan_office_certificates_9_states.xlsx,8196,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
6,loan_office_certificates_9_states.xlsx,8197,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
7,loan_office_certificates_9_states.xlsx,8212,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
8,loan_office_certificates_9_states.xlsx,8213,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
9,loan_office_certificates_9_states.xlsx,8214,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
10,loan_office_certificates_9_states.xlsx,8215,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
11,loan_office_certificates_9_states.xlsx,8216,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
12,loan_office_certificates_9_states.xlsx,8217,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
13,loan_office_certificates_9_states.xlsx,8224,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
14,loan_office_certificates_9_states.xlsx,8225,William B Townsend Esq Executor to the Will of Thomas Hubbard Esq deceased,
15,loan_office_certificates_9_states.xlsx,37309,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
16,loan_office_certificates_9_states.xlsx,37310,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
17,loan_office_certificates_9_states.xlsx,37311,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
18,loan_office_certificates_9_states.xlsx,37313,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
19,loan_office_certificates_9_states.xlsx,37314,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
20,loan_office_certificates_9_states.xlsx,37315,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
21,loan_office_certificates_9_states.xlsx,37316,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
22,loan_office_certificates_9_states.xlsx,37317,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
23,loan_office_certificates_9_states.xlsx,37318,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
24,loan_office_certificates_9_states.xlsx,37319,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full,
