,0
"Brookfield, Fairfield, Connecticut, USA ",189
"Danbury, Fairfield, Connecticut, USA ",563
"Fairfield, Fairfield, Connecticut, USA ",707
"Greenwich, Fairfield, Connecticut, USA ",321
"Huntington, Fairfield, Connecticut, USA ",476
"New Fairfield, Fairfield, Connecticut, USA ",277
"Newtown, Fairfield, Connecticut, USA ",446
"Norwalk and Stamford, Fairfield, Connecticut, USA ",1840
"Reading, Fairfield, Connecticut, USA ",264
"Ridgefield, Fairfield, Connecticut, USA ",352
"Stamford, Fairfield, Connecticut, USA ",1840
"Stratford, Fairfield, Connecticut, USA ",548
"Weston, Fairfield, Connecticut, USA ",437
"Berlin, Hartford, Connecticut, USA ",ER
"Bristol, Hartford, Connecticut, USA ",441
"East Hartford, Hartford, Connecticut, USA ",473
"East Windsor, Hartford, Connecticut, USA ",481
"Enfield, Hartford, Connecticut, USA ",318
"Farmington, Hartford, Connecticut, USA ",443
"Glastonbury, Hartford, Connecticut, USA ",468
"Granby, Hartford, Connecticut, USA ",ER
"Hartford, Hartford, Connecticut, USA ",666
"Simsbury, Hartford, Connecticut, USA ",424
"Southington, Hartford, Connecticut, USA ",389
"Suffield, Hartford, Connecticut, USA ",407
"Wethersfield, Hartford, Connecticut, USA ",685
"Windsor, Hartford, Connecticut, USA ",456
"Bethlem, Litchfield, Connecticut, USA ",179
"Cornwall, Litchfield, Connecticut, USA ",256
"Harwinton, Litchfield, Connecticut, USA ",230
"Kent, Litchfield, Connecticut, USA ",215
"Litchfield, Litchfield, Connecticut, USA ",3368
"New Milford, Litchfield, Connecticut, USA ",555
"Southbury, Litchfield, Connecticut, USA ",309
"Warren, Litchfield, Connecticut, USA ",147
"Washington, Litchfield, Connecticut, USA ",268
"Watertown, Litchfield, Connecticut, USA ",577
"Woodbury, Litchfield, Connecticut, USA ",478
"Chatham, Middlesex, Connecticut, USA ",565
"East Haddam, Middlesex, Connecticut, USA ",472
"Haddam, Middlesex, Connecticut, USA ",358
"Killingworth, Middlesex, Connecticut, USA ",390
"Middletown, Middlesex, Connecticut, USA ",943
"Saybrook, Middlesex, Connecticut, USA ",NR
"Branford, New Haven, Connecticut, USA ",40970
"Cheshire, New Haven, Connecticut, USA ",445
"Derby, New Haven, Connecticut, USA ",562
"Durham, New Haven, Connecticut, USA ",209
"East Haven, New Haven, Connecticut, USA ",169
"Guilford, New Haven, Connecticut, USA ",731
"Hamden, New Haven, Connecticut, USA ",291
"Milford, New Haven, Connecticut, USA ",446
"New Haven, New Haven, Connecticut, USA ",919
"North Haven, New Haven, Connecticut, USA ",238
"Wallingford, New Haven, Connecticut, USA ",656
"Waterbury, New Haven, Connecticut, USA ",553
"Woodbridge, New Haven, Connecticut, USA ",421
"Bolton, Tolland, Connecticut, USA ",228
"Coventry, Tolland, Connecticut, USA ",336
"Ellington, Tolland, Connecticut, USA ",172
"Hebron, Tolland, Connecticut, USA ",345
"Somers, Tolland, Connecticut, USA ",NR
"Stafford, Tolland, Connecticut, USA ",315
"Tolland, Tolland, Connecticut, USA ",NR
"Union, Tolland, Connecticut, USA ",NR
"Willington, Tolland, Connecticut, USA ",208
"Ashford, Windham, Connecticut, USA ",393
"Brooklyne, Windham, Connecticut, USA ",ER
"Canterbury, Windham, Connecticut, USA ",288
"Hampton, Windham, Connecticut, USA ",201
"Killingley, Windham, Connecticut, USA ",326
"Lebanon, Windham, Connecticut, USA ",574
"Mansfield, Windham, Connecticut, USA ",393
"Plainfield, Windham, Connecticut, USA ",239
"Pomfret, Windham, Connecticut, USA ",246
"Rames, Windham, Connecticut, USA ",NR
"Thompson, Windham, Connecticut, USA ",352
"Voluntown, Windham, Connecticut, USA ",292
"Windham, Windham, Connecticut, USA ",414
"Woodstock, Windham, Connecticut, USA ",331
"Bakerstown Plantation, Cumberland, Maine, USA ",ER
"Bridgetown, Cumberland, Maine, USA ",60
"Brunswick, Cumberland, Maine, USA ",196
"Bucktown Plantation, Cumberland, Maine, USA ",82
"Butterfield Plantation, Cumberland, Maine, USA ",35
"Cape Elizabeth, Cumberland, Maine, USA ",231
"Durham, Cumberland, Maine, USA ",117
"Falmouth, Cumberland, Maine, USA ",446
"Flintstown Plantation, Cumberland, Maine, USA ",38
"Freeport, Cumberland, Maine, USA ",238
"Gorham and Scarborough, Cumberland, Maine, USA ",788
"Gray, Cumberland, Maine, USA ",89
"Harpswell, Cumberland, Maine, USA ",177
"Little Falls, Cumberland, Maine, USA ",117
"New Gloucester, Cumberland, Maine, USA ",208
"North Yarmouth, Cumberland, Maine, USA ",307
"Number 4 Plantation, Cumberland, Maine, USA ",77
"Otisfield Plantation, Cumberland, Maine, USA ",32
"Portland, Cumberland, Maine, USA ",366
"Raffield Gore, Cumberland, Maine, USA ",20
"Raymond Towns, Cumberland, Maine, USA ",52
"Shepardsfield, Cumberland, Maine, USA ",93
"Standish, Cumberland, Maine, USA ",122
"Turner, Cumberland, Maine, USA ",57
"Waterford Plantation, Cumberland, Maine, USA ",36
"Windham, Cumberland, Maine, USA ",152
"Alias Bucks Township 1, Hancock, Maine, USA ",104
"Bakerstown Plantation, Hancock, Maine, USA ",NR
"Barrettstown, Hancock, Maine, USA ",53
"Belfast, Hancock, Maine, USA ",43
"Bluehill, Hancock, Maine, USA ",55
"Camden, Hancock, Maine, USA ",69
"Canaan, Hancock, Maine, USA ",27
"Condas Keeg Plantation, Hancock, Maine, USA ",102
"Deer Isle, Hancock, Maine, USA ",129
"Ducktrap, Hancock, Maine, USA ",54
"Eastern River Township 2, Hancock, Maine, USA ",54
"Eddy, Hancock, Maine, USA ",20
"Frankfort, Hancock, Maine, USA ",168
"Gouldsborough, Hancock, Maine, USA ",45
"Isleborough, Hancock, Maine, USA ",68
"Mount Desert, Hancock, Maine, USA ",131
"Orphan Island, Hancock, Maine, USA ",26
"Orrington, Hancock, Maine, USA ",102
"Penofscot, Hancock, Maine, USA ",190
"Sedgewick, Hancock, Maine, USA ",100
"Small Islands Not Belonging To Any Town, Hancock, Maine, USA ",18
"Sullivan, Hancock, Maine, USA ",91
"Township 6, Hancock, Maine, USA ",46
"Trenton, Hancock, Maine, USA ",54
"Vinalhaven, Hancock, Maine, USA ",106
"Ball Town, Lincoln, Maine, USA ",156
"Bath, Lincoln, Maine, USA ",141
"Boothbay, Lincoln, Maine, USA ",164
"Bowdoin, Lincoln, Maine, USA ",203
"Bowdoinham, Lincoln, Maine, USA ",73
"Bristol, Lincoln, Maine, USA ",75
"Canaan, Lincoln, Maine, USA ",81
"Carratunk, Lincoln, Maine, USA ",25
"Cass Plantation Or Unity, Lincoln, Maine, USA ",27
"Chester, Lincoln, Maine, USA ",15
"Cushing, Lincoln, Maine, USA ",160
"Edgecomb, Lincoln, Maine, USA ",133
"Fairfield, Lincoln, Maine, USA ",98
"Georgetown, Lincoln, Maine, USA ",206
"Great Pond Plantation, Lincoln, Maine, USA ",30
"Greene, Lincoln, Maine, USA ",190
"Hallowell, Lincoln, Maine, USA ",185
"Hancock, Lincoln, Maine, USA ",60
"Jones Plantation, Lincoln, Maine, USA ",40
"Lewiston, Lincoln, Maine, USA ",101
"Little River, Lincoln, Maine, USA ",13
"Livermore, Lincoln, Maine, USA ",11
"Meduncook, Lincoln, Maine, USA ",49
"New Castle, Lincoln, Maine, USA ",131
"New Sandwich, Lincoln, Maine, USA ",81
"Nobleborough, Lincoln, Maine, USA ",427
"Norridgewock, Lincoln, Maine, USA ",94
"Pittston, Lincoln, Maine, USA ",114
"Pownalborough, Lincoln, Maine, USA ",331
"Prescott and Whitehouse Plantation, Lincoln, Maine, USA ",13
"Rockmeeko, Lincoln, Maine, USA ",27
"Sandy River From Mouth To Cass Plantation, Lincoln, Maine, USA ",67
"Sandy River, First Twp, Lincoln, Maine, USA ",98
"Sandy River, Middle Twp, Lincoln, Maine, USA ",14
"Sandy River, Upper Twp, Lincoln, Maine, USA ",10
"Seven Mile Brook, Lincoln, Maine, USA ",40
"Smithtown Plantation, Lincoln, Maine, USA ",105
"Starling Plantation, Lincoln, Maine, USA ",54
"Thomaston, Lincoln, Maine, USA ",140
"Titeums, Lincoln, Maine, USA ",29
"Topsham, Lincoln, Maine, USA ",118
"Twenty-Five Mile Pond, Lincoln, Maine, USA ",30
"Union, Lincoln, Maine, USA ",42
"Vassalborough, Lincoln, Maine, USA ",203
