full_name,state,amount_total
Adam Crain Jones,sc,72.63
Amos Moody,nh,96.25
Anthony Ten Eyck,ny,0.0
Arnoldus Vanderhorst,sc,1185.47
Calvin Spencer,sc,150.0
Charles Chilton,md,412.97
Charles Phelps,ct,1244.0
Christopher Mason,ma,102.51
Christopher Toppan,nh,6247.039999999999
Daniel Cannon,sc,271.83
Daniel Foot,ct,138.2
Edward Blake,sc,4107.74
Edward Darrell,sc,953.24
Edward Lightwood,sc,30.67
Elihu Marvin,ct,192.98
Eliphalet Dyer,ct,411.15
Elisha Mills,ct,5938.26
Enoch Edwards,pa,2351.62
Ezra Green,nh,89.67
George Clinton,ny,0.0
George Gale,md,160.0
Gideon Buckingham,ct,454.73
Glen Drayton,sc,69.03
Henry Laurens,sc,4039.232332
Hezekiah Brainard,ct,2784.39
Hugh Williamson,nc,224.98
Ichabod Warner,ct,2169.13
Isaac Lee,ct,0.0
Isaac Motte,sc,80.61
Isaac Parker,sc,1028.65
Isaac Perkins,md,237.29
Isaac Roosevelt,ny,0.0
James Campbell,pa,668.56
James Clinton,ny,0.0
James Davenport,ct,2616.69
James Morris,pa,7431.86
James Wilson,pa,746.15
Jasper Yeates,pa,9629.02
Jedediah Huntington,ct,3.94
Jeremiah Fogg,nh,5653.01
Jeremiah Ripley,ct,480.55
Jesse Root,ct,321.76
Jesse Woodhull,ny,0.0
John Barclay,pa,14454.72
John Chesnut,sc,1325.0
John Cook,sc,40.26
John Francis Mercer,md,0.0
John Gale,md,4133.08
John Hancock,ma,7675.75
John Huger,sc,4175.0
John Ingram,nc,122.69
John Jay,ny,8747.5
John Langdon,nh,18595.18
John Parker,sc,1174.01
John Phelps,ct,1800.0
John Taylor Gilman,nh,3723.42
John Watson,ct,624.42
John Williams,ny,0.0
Jonathan Sturges,ct,582.49
Joseph Badger,nh,1144.66
Joseph Heister,pa,23105.609999999997
Joseph Woodbridge,ct,366.2
Josiah Bartlett,nh,598.39
Josiah Smith,sc,4879.240000000001
Lewis Morris,sc,2500.0
Luther Martin,md,1451.91
Matthew Griswold,ct,34.08
Moses Cleveland,ct,24.630000000000003
Moses Rawlings,md,2064.17
Nathaniel Russell,sc,13804.938566
Nicholas Low,ny,108024.38
Peter Smith,sc,399.98
Philemon Hawkins,nc,190.92
Philip Livingston,ny,1800.0
Ralph Izard,sc,2639.88
Richard Hutson,sc,115.37
Richard Law,ct,2609.46
Richard Potts,md,8030.69
Richard Thomas,md,2307.93
Roger Newberry,ct,106.85
Roger Sherman,ct,2526.4700000000003
Samuel Ashmead,pa,1374.17
Samuel Canfield,ct,745.13
Samuel Carver,ct,109.93
Samuel Hay,nj,72.5
Samuel Jones,ny,0.0
Samuel Smith,sc,2225.3
Thaddeus Burr,ct,1841.28
Thomas Blount,nc,382.09
Thomas Bull,pa,70.66
Thomas Jones,sc,170.8
Thomas Taylor,sc,658.05
Thomas Wadsworth,sc,10.005
Wheeler Coit,ct,8170.9
William Brown,pa,665.71
William Hart,ct,12414.71
William Harwood,md,59.35000000000001
William Johnson,sc,2135.2200000000003
William Jones,ma,689.1999999999999
William Judd,ct,1494.22
William Noyes,ct,9503.62
William Read,sc,4465.92
William Richardson,md,394.9500000000001
William Scott,sc,369.86
William Washington,sc,7767.81
William Williams,ct,3495.25
