source_file,column,original,match,score
Pierce,First,Archelus,Archelaus,94.11764705882352
Pierce,First,Archelus,Archelius,94.11764705882352
Pierce,First,Archi,Archib,90.9090909090909
Pierce,First,Archib,Archb,90.9090909090909
Pierce,First,Archib,Archi,90.9090909090909
Pierce,First,Arckelus,Arkelus,93.33333333333333
Pierce,First,Ariel,Adriel,90.9090909090909
Pierce,First,Arkelus,Arckelus,93.33333333333333
Pierce,First,Arthur,Arthur ,100.0
Pierce,First,Arthur ,Arthur,100.0
Pierce,First,Asael,Asahel,90.9090909090909
Pierce,First,Asael,Asakel,90.9090909090909
Pierce,First,Asahel,Asael,90.9090909090909
Pierce,First,Asahel,Asahiel,92.3076923076923
Pierce,First,Asahel,Ashel,90.9090909090909
Pierce,First,Asahiel,Asahel,92.3076923076923
Pierce,First,Asakel,Asael,90.9090909090909
Pierce,First,Ashbel,Ashbell,92.3076923076923
Pierce,First,Ashbel,Ashel,90.9090909090909
Pierce,First,Ashbell,Ashbel,92.3076923076923
Pierce,First,Ashbell,Ashell,92.3076923076923
Pierce,First,Ashbil,Ashbill,92.3076923076923
Pierce,First,Ashbill,Ashbil,92.3076923076923
Pierce,First,Ashel,Asahel,90.9090909090909
Pierce,First,Ashel,Ashbel,90.9090909090909
Pierce,First,Ashel,Ashell,90.9090909090909
Pierce,First,Ashel,Ashhel,90.9090909090909
Pierce,First,Ashell,Ashbell,92.3076923076923
Pierce,First,Ashell,Ashel,90.9090909090909
Pierce,First,Ashhel,Ashel,90.9090909090909
Pierce,First,Ashmael,Ashmel,92.3076923076923
Pierce,First,Ashmel,Ashel,90.9090909090909
Pierce,First,Ashmel,Ashmael,92.3076923076923
Pierce,First,Ashur,Ashure,90.9090909090909
Pierce,First,Ashure,Ashur,90.9090909090909
Pierce,First,August,Augusta,92.3076923076923
Pierce,First,August,Auguste,92.3076923076923
Pierce,First,Augusta,August,92.3076923076923
Pierce,First,Auguste,August,92.3076923076923
Pierce,First,Augustin,Augustine,94.11764705882352
Pierce,First,Augustine,Augustin,94.11764705882352
Pierce,First,Augustus,Augustus ,100.0
Pierce,First,Augustus ,Augustus,100.0
Pierce,First,Averil,Avril,90.9090909090909
Pierce,First,Avril,Averil,90.9090909090909
Pierce,First,Azarakiam,Azariakiam,94.73684210526316
Pierce,First,Azariakiam,Azarakiam,94.73684210526316
Pierce,First,B Gen,B. Gen,90.9090909090909
Pierce,First,B. Gen,B Gen,90.9090909090909
Pierce,First,Backus,Bacus,90.9090909090909
Pierce,First,Bacus,Backus,90.9090909090909
Pierce,First,Baltes,Bates,90.9090909090909
Pierce,First,Banah,Baniah,90.9090909090909
Pierce,First,Banamin,Banjamin,93.33333333333333
Pierce,First,Baniah,Banah,90.9090909090909
Pierce,First,Banjamin,Banamin,93.33333333333333
Pierce,First,Baptist,Baptiste,93.33333333333333
Pierce,First,Baptiste,Baptist,93.33333333333333
Pierce,First,Barack,Barauck,92.3076923076923
Pierce,First,Barauck,Barack,92.3076923076923
Pierce,First,Barauck,Baruck,92.3076923076923
Pierce,First,Barna,Barnab,90.9090909090909
Pierce,First,Barnab,Barna,90.9090909090909
Pierce,First,Barnab,Barnaby,92.3076923076923
Pierce,First,Barnaby,Barnab,92.3076923076923
Pierce,First,Barnet,Barnett,92.3076923076923
Pierce,First,Barnett,Barnet,92.3076923076923
Pierce,First,Barney,Barney ,100.0
Pierce,First,Barney ,Barney,100.0
Pierce,First,Baron,Barron,90.9090909090909
Pierce,First,Baron,Barton,90.9090909090909
Pierce,First,Barret,Barrett,92.3076923076923
Pierce,First,Barrett,Barret,92.3076923076923
Pierce,First,Barron,Baron,90.9090909090909
Pierce,First,Barruck,Baruck,92.3076923076923
Pierce,First,Barthol,Barthole,93.33333333333333
Pierce,First,Barthol,Bartholo,93.33333333333333
Pierce,First,Barthole,Barthol,93.33333333333333
Pierce,First,Bartholemew,Bartholomew,90.9090909090909
Pierce,First,Bartholo,Barthol,93.33333333333333
Pierce,First,Bartholo,Bartholom,94.11764705882352
Pierce,First,Bartholom,Bartholo,94.11764705882352
Pierce,First,Bartholom,Bartholomew,90.0
Pierce,First,Bartholomew,Bartholemew,90.9090909090909
Pierce,First,Bartholomew,Bartholom,90.0
Pierce,First,Bartlet,Bartlett,93.33333333333333
Pierce,First,Bartlett,Bartlet,93.33333333333333
Pierce,First,Barton,Baron,90.9090909090909
Pierce,First,Baruck,Barauck,92.3076923076923
Pierce,First,Baruck,Barruck,92.3076923076923
Pierce,First,Barzaliel,Bazaliel,94.11764705882352
Pierce,First,Barzeliel,Bazeliel,94.11764705882352
Pierce,First,Barzilla,Barzillai,94.11764705882352
Pierce,First,Barzilla,Barzillia,94.11764705882352
Pierce,First,Barzillai,Barzilla,94.11764705882352
Pierce,First,Barzillia,Barzilla,94.11764705882352
Pierce,First,Basdil,Basil,90.9090909090909
Pierce,First,Basdil,Basil ,90.9090909090909
Pierce,First,Basel,Bassel,90.9090909090909
Pierce,First,Basil,Basdil,90.9090909090909
Pierce,First,Basil,Basil ,100.0
Pierce,First,Basil,Bassil,90.9090909090909
Pierce,First,Basil ,Basdil,90.9090909090909
Pierce,First,Basil ,Basil,100.0
Pierce,First,Basil ,Bassil,90.9090909090909
Pierce,First,Bassel,Basel,90.9090909090909
Pierce,First,Bassil,Basil,90.9090909090909
Pierce,First,Bassil,Basil ,90.9090909090909
Pierce,First,Bates,Baltes,90.9090909090909
Pierce,First,Bazaliel,Barzaliel,94.11764705882352
Pierce,First,Bazeliel,Barzeliel,94.11764705882352
Pierce,First,Bemadus,Bemardus,93.33333333333333
Pierce,First,Bemardus,Bemadus,93.33333333333333
Pierce,First,BenJamin,Benamin,93.33333333333333
Pierce,First,Ben]amin,Benamin,93.33333333333333
Pierce,First,Benaiah,Benaijah,93.33333333333333
Pierce,First,Benaiah,Bennaiah,93.33333333333333
Pierce,First,Benaijah,Benaiah,93.33333333333333
Pierce,First,Benaijah,Benajah,93.33333333333333
Pierce,First,Benaijah,Benijah,93.33333333333333
Pierce,First,Benajah,Benaijah,93.33333333333333
Pierce,First,Benamin,BenJamin,93.33333333333333
Pierce,First,Benamin,Ben]amin,93.33333333333333
Pierce,First,Benamin,Beniamin,93.33333333333333
Pierce,First,Benamin,Benjamin,93.33333333333333
Pierce,First,Benedic,Benedict,93.33333333333333
Pierce,First,Benedict,Benedic,93.33333333333333
Pierce,First,Beney,Benney,90.9090909090909
Pierce,First,Beniamin,Benamin,93.33333333333333
Pierce,First,Beniamin,Beniamin ,100.0
Pierce,First,Beniamin ,Benamin,93.33333333333333
Pierce,First,Beniamin ,Beniamin,100.0
Pierce,First,Benijah,Benaijah,93.33333333333333
Pierce,First,Benja,Benjam,90.9090909090909
Pierce,First,Benjam,Benja,90.9090909090909
Pierce,First,Benjam,Benjamm,92.3076923076923
Pierce,First,Benjamin,Benamin,93.33333333333333
Pierce,First,Benjamin,BenjaminA,94.11764705882352
Pierce,First,Benjamin,Bennjamin,94.11764705882352
Pierce,First,Benjamin H,Benjamin J,90.0
Pierce,First,Benjamin H,Benjamin L,90.0
Pierce,First,Benjamin J,Benjamin H,90.0
Pierce,First,Benjamin J,Benjamin Jr.,90.9090909090909
Pierce,First,Benjamin J,Benjamin L,90.0
Pierce,First,Benjamin Jr.,Benjamin J,90.9090909090909
Pierce,First,Benjamin Jr.,Benjamin Sr.,91.66666666666666
Pierce,First,Benjamin L,Benjamin H,90.0
Pierce,First,Benjamin L,Benjamin J,90.0
Pierce,First,Benjamin Sr.,Benjamin Jr.,91.66666666666666
Pierce,First,BenjaminA,Benjamin,94.11764705882352
Pierce,First,Benjamm,Benjam,92.3076923076923
Pierce,First,Bennaiah,Benaiah,93.33333333333333
Pierce,First,Bennet,Bennett,92.3076923076923
Pierce,First,Bennett,Bennet,92.3076923076923
Pierce,First,Benney,Beney,90.9090909090909
Pierce,First,Benney,Benny,90.9090909090909
Pierce,First,Benni,Bennui,90.9090909090909
Pierce,First,Benni,Benoni,90.9090909090909
Pierce,First,Bennjamin,Benjamin,94.11764705882352
Pierce,First,Bennoni,Benoni,92.3076923076923
Pierce,First,Bennui,Benni,90.9090909090909
Pierce,First,Benny,Benney,90.9090909090909
Pierce,First,Benon,Benona,90.9090909090909
Pierce,First,Benon,Benoni,90.9090909090909
Pierce,First,Benon,Benson,90.9090909090909
Pierce,First,Benon,Benton,90.9090909090909
Pierce,First,Benona,Benon,90.9090909090909
Pierce,First,Benoni,Benni,90.9090909090909
Pierce,First,Benoni,Bennoni,92.3076923076923
Pierce,First,Benoni,Benon,90.9090909090909
Pierce,First,Benson,Benon,90.9090909090909
Pierce,First,Benton,Benon,90.9090909090909
Pierce,First,Bernar,Bernard,92.3076923076923
Pierce,First,Bernar,Bernard ,92.3076923076923
Pierce,First,Bernard,Bernar,92.3076923076923
Pierce,First,Bernard,Bernard ,100.0
Pierce,First,Bernard ,Bernar,92.3076923076923
Pierce,First,Bernard ,Bernard,100.0
Pierce,First,Beston Jack,Boston Jack,90.9090909090909
Pierce,First,Bethel,Bethuel,92.3076923076923
Pierce,First,Bethuel,Bethel,92.3076923076923
Pierce,First,Bille,Billey,90.9090909090909
Pierce,First,Billey,Bille,90.9090909090909
Pierce,First,Billey,Billy,90.9090909090909
Pierce,First,Billy,Billey,90.9090909090909
Pierce,First,Bimsley,Brimsley,93.33333333333333
Pierce,First,Blackall W,Blackall Wm,95.23809523809523
Pierce,First,Blackall Wm,Blackall W,95.23809523809523
Pierce,First,Blaney,Blany,90.9090909090909
Pierce,First,Blany,Blaney,90.9090909090909
Pierce,First,Boling,Bolling,92.3076923076923
Pierce,First,Bolling,Boling,92.3076923076923
Pierce,First,Boston Jack,Beston Jack,90.9090909090909
Pierce,First,Braddock,Bradock,93.33333333333333
Pierce,First,Bradock,Braddock,93.33333333333333
Pierce,First,Bradstreet,Broadstreet,95.23809523809523
Pierce,First,Brimsley,Bimsley,93.33333333333333
Pierce,First,Bristol,Bristole,93.33333333333333
Pierce,First,Bristole,Bristol,93.33333333333333
Pierce,First,Broadstreet,Bradstreet,95.23809523809523
Pierce,First,Bryan,Bryant,90.9090909090909
Pierce,First,Bryant,Bryan,90.9090909090909
Pierce,First,Burges,Burgess,92.3076923076923
Pierce,First,Burgess,Burges,92.3076923076923
Pierce,First,Burrel,Burrell,92.3076923076923
Pierce,First,Burrell,Burrel,92.3076923076923
Pierce,First,Caesar,Casar,90.9090909090909
Pierce,First,Caesar,Cesar,90.9090909090909
Pierce,First,Caeser,Ceser,90.9090909090909
Pierce,First,Caleb,Caleb ,100.0
