,Index,Original Name,Search Name,Name #,Match Status,Match Reason,Location,Family Size,Slavecount,url,town,county,state,geo_level
29,27,['John Kent'],['John Kent'],1,Match,Full Match,"Suffield, Hartford, Connecticut",6,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Kent&name_x=1_1&residence=_suffield-hartford-connecticut-usa_2521&residence_x=1-0_1-0,Suffield,Hartford County,CT,town
30,28,['Richard Douglass'],"[""['Richard Douglass']""]",1,Match,Only Location Found, Connecticut,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Douglass&name_x=1_1&residence=_new+london-new+london-connecticut-usa_3381&residence_x=1-0_1-1,New London,New London County,CT,town
31,29,['Timothy Green'],['Timothy Green'],1,Match,Full Match,"New London, Connecticut",17,3,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Timothy_Green&name_x=1_1&residence=_new+london-new+london-connecticut-usa_3381&residence_x=1-0_1-1,New London,New London County,CT,town
32,30,['David White'],['David White'],1,Match,Full Match,"Chatham, Middlesex, Connecticut",5,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_White&name_x=1_1&residence=_chatham-middlesex-connecticut-usa_2010&residence_x=1-0_1-0,Chatham,Middlesex County,CT,town
33,31,['Joseph White'],['Joseph White'],1,Match,Full Match,"Chatham, Middlesex, Connecticut",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_White&name_x=1_1&residence=_chatham-middlesex-connecticut-usa_2010&residence_x=1-0_1-0,Chatham,Middlesex County,CT,town
34,32,['Jedediah Norton'],['Jedidiah Norton'],1,Match,Full Match,"Berlin, Hartford, Connecticut",2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jedediah_Norton&name_x=s_s&residence=_berlin-hartford-connecticut-usa_93&residence_x=1-0_1-0,Berlin,Hartford County,CT,town
35,33,['Ebenezer Plummer'],['Ebenezer Plummer'],1,Match,Full Match,"Glastonbury, Hartford, Connecticut",5,2,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ebenezer_Plummer&name_x=1_1&residence=_glastonbury-hartford-connecticut-usa_818&residence_x=1-0_1-0,Glastonbury,Hartford County,CT,town
36,34,['John Thomas'],['John Thomas'],1,Match,Full Match,"Hartford, Hartford, Connecticut",6,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Thomas&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-0,Hartford,Hartford County,CT,town
37,35,['Eliphalet Lester'],['Eliphalet Leister'],1,Match,Full Match,"Saybrook, Middlesex, Connecticut",3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Eliphalet_Lester&name_x=ps_ps&residence=_old+saybrook-middlesex-connecticut-usa_3322&residence_x=1-0_1-0,Saybrook,Middlesex County,CT,town
38,36,['Timothy Peckham'],"[""['Timothy Peckham']""]",1,Match,Only Location Found, Washington,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Timothy_Peckham&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,,,RI,state
39,37,['Howard Moulton'],['Howard Moulton'],1,Match,Full Match,"Stafford, Tolland, Connecticut",11,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Howard_Moulton&name_x=1_1&residence=_stamford-tolland-connecticut-usa_2904&residence_x=1-0_1-0,Stamford,Tolland County,CT,town
40,38,['John Sellew'],['John Sellew'],1,Match,Full Match,"Glastonbury, Hartford, Connecticut",11,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Sellew&name_x=1_1&residence=_glastonbury-hartford-connecticut-usa_818&residence_x=1-0_1-0,Glastonbury,Hartford County,CT,town
