Last Name,First Name,Position,State,County / Town,Vote
Hinma,Benjamin,,CT,,yes
Mosely,Joseph,,CT,,yes
Goodrich,Wait,,CT,,yes
Curtiss,John,,CT,,yes
Barns,Asa,,CT,,yes
Mitchell,Stephen Mix,,CT,,yes
Chester,John,,CT,,yes
Ellsworth,Oliver,,CT,,yes
Newberry,Roger,,CT,,yes
Sherman,Roger,,CT,,yes
Edwards,Pierpont,,CT,,yes
Beach,Samuel,,CT,,yes
Holbrook,Daniel,,CT,,yes
Holbrook,John,,CT,,yes
Buckingham,Gideon,,CT,,yes
"Mallet, Jun.",Lewis,,CT,,yes
Hopkins,Joseph,,CT,,yes
Welton,John,,CT,,yes
Law,Richard,,CT,,yes
Learned,Amasa,,CT,,yes
Huntington,Samuel,,CT,,yes
Huntington,Jedediah,,CT,,yes
Huntington,Isaac,,CT,,yes
Robbins,Robert,,CT,,yes
Foot,Daniel,,CT,,yes
Hyde,Eli,,CT,,yes
Woodbridge,Joseph,,CT,,yes
Billings,Stephen,,CT,,yes
Lee,Andrew,,CT,,yes
Noyes,William,,CT,,yes
"Raymond, Jun.",Joshua ,,CT,,yes
Halsey,Jeremiah,,CT,,yes
Coit,Wheeler,,CT,,yes
Phelps,Charles,,CT,,yes
Beach,John,,CT,,yes
Rogers,Hezekiah,,CT,,yes
Sandford,Lemuel,,CT,,yes
Heron,William,,CT,,yes
Bradley,Philip Burr,,CT,,yes
Danchy,Nathan,,CT,,yes
Davenport,James,,CT,,yes
"Davenport, Jun.",John,,CT,,yes
Johnson,William Samuel,,CT,,yes
Mills,Elisha,,CT,,yes
Dyer,Eliphalet,,CT,,yes
Elderkin,Jedediah,,CT,,yes
Smith,Simeon,,CT,,yes
Dow,Hendrick,,CT,,yes
Paine,Seth,,CT,,yes
Witter,Asa,,CT,,yes
Cleveland,Moses,,CT,,yes
Howe,Samson,,CT,,yes
Danielson,William,,CT,,yes
Williams,William,,CT,,yes
Bradford,James,,CT,,yes
Dunlap,Joshua,,CT,,yes
Learned,Daniel,,CT,,yes
Campbell,Moses,,CT,,yes
Dow,Benjamin,,CT,,yes
Wolcott,Oliver,,CT,,yes
Strong,Jedediah,,CT,,yes
Hawley,Moses,,CT,,yes
Burrall,Charles,,CT,,yes
Hale,Nathan,,CT,,yes
Miles,Daniel,,CT,,yes
Hall,Asaph,,CT,,yes
Sheldon,Epaphras,,CT,,yes
Curtiss,Eleazer,,CT,,yes
Whittlesey,John ,,CT,,yes
Brinsmade,Dan. Nath.,,CT,,yes
Fenn,Thomas,,CT,,yes
Smith,David,,CT,,yes
M'Cune,Robert,,CT,,yes
Sherman,Daniel,,CT,,yes
Orton,Samuel,,CT,,yes
Miller,Asher,,CT,,yes
Parsons,Samuel H.,,CT,,yes
White,Ebenezer,,CT,,yes
Goodrich,Hezekiah,,CT,,yes
Throop,Dyer,,CT,,yes
Chapman,Jabez,,CT,,yes
Higgins,Cornelius,,CT,,yes
Brainard,Hezekiah,,CT,,yes
Morgan,Theophilus,,CT,,yes
Lane,Hezekiah,,CT,,yes
Hart,William,,CT,,yes
Shipman,Samuel,,CT,,yes
West,Jeremiah,,CT,,yes
Chapman,Samuel,,CT,,yes
Warner,Ichabod,,CT,,yes
Carver,Samuel,,CT,,yes
Ripley,Jeremiah,,CT,,yes
Root,Ephraim,,CT,,yes
Phelps,John,,CT,,yes
Foot,Isaac,,CT,,yes
Sessions,Abijah,,CT,,yes
Holt,Caleb,,CT,,yes
Crocker,Seth,,CT,,yes
Perkins,Daniel,,CT,,no
Holcomb,Hezekiah,,CT,,no
King,Alexander,,CT,,no
Todd,David,,CT,,no
Phelps,Noah,,CT,,no
Humphry,Daniel,,CT,,no
Gold,William ,,CT,,no
Hoadly,Timothy,,CT,,no
Brooks,David,,CT,,no
Wadsworth,James,,CT,,no
Hall,Daniel,,CT,,no
Davenport,Samuel,,CT,,no
Ward,Andrew,,CT,,no
Elliot,John,,CT,,no
Bassett,Daniel,,CT,,no
Hall,Street,,CT,,no
Whiting,Samuel,,CT,,no
Osborn,Samuel,,CT,,no
Newton,Samuel,,CT,,no
Carpenter,Ephraim,,CT,,no
Southworth,Constant,,CT,,no
Atwood,Nathaniel,,CT,,no
Randall,Jonathan,,CT,,no
Cotton,Simon,,CT,,no
Pain,Stephen,,CT,,no
Perrin,Timothy,,CT,,no
Wilder,Joseph,,CT,,no
Patterson,Matthew,,CT,,no
Wilson,Abner,,CT,,no
Goodman,Thomas,,CT,,no
Humphry,Asahel,,CT,,no
Humphry,Hosea,,CT,,no
Coleman,Josiah,,CT,,no
Gillet,Jonathan,,CT,,no
Enos,Eliphalet,,CT,,no
Nash,Ebenezer,,CT,,no
Ingham,Daniel,,CT,,no
Marvin,Elihu,,CT,,no
Pomeroy,Joshua,,CT,,no
Pease,Abiel,,CT,,no
Barnes,Richard,,MD,Saint Mary's County,yes
Chilton,Charles,,MD,Saint Mary's County,yes
Sewall,Nicholas Lewis,,MD,Saint Mary's County,yes
Tilghman,William,,MD,Kent County,yes
Yates,Donaldson,,MD,Kent County,yes
Perkins,Isaac,,MD,Kent County,yes
Granger,William,,MD,Kent County,yes
Wilkinson,Joseph,,MD,Calvert County,yes
Grahame,Charles,,MD,Calvert County,yes
"Chesley, Jun.",John,,MD,Calvert County,yes
Smith,Walter,,MD,Calvert County,yes
Brown,Gustavus Richard,,MD,Charles County,yes
Plater,George,President,MD,Saint Mary's County,yes
Sulivane,Daniel,,MD,Dorchester County,yes
Shaw,James,,MD,Dorchester County,yes
Gilpin,Joseph,,MD,Cecil County,yes
Hollingsworth,Henry,,MD,Cecil County,yes
Heron,James Gordon,,MD,Cecil County,yes
Evans,Samuel,,MD,Cecil County,yes
Bowie,Fielder,,MD,Prince George's County,yes
Sprigg,Osborn,,MD,Prince George's County,yes
Hall,Benjamin,,MD,Prince George's County,yes
Digges,George,,MD,Prince George's County,yes
Carroll,Nicholas,,MD,City of Annapolis,yes
Parnham,John,,MD,Charles County,yes
Turner,Zephaniah,,MD,Charles County,yes
Stone,Michael Jenifer,,MD,Charles County,yes
"Goldsborough, Jun.",Robert,,MD,Talbot County,yes
Lloyd,Edward,,MD,Talbot County,yes
Stevens,John,,MD,Talbot County,yes
Gale,George,,MD,Somerset County,yes
Waggaman,Henry,,MD,Somerset County,yes
Stewart,John,,MD,Somerset County,yes
Gale,John,,MD,Somerset County,yes
Hammond,Nicholas,,MD,Dorchester County,yes
Faw,Abraham,,MD,Frederick County,yes
Paca,William,,MD,Harford County,yes
Richardson,William,,MD,Caroline County,yes
Richardson,Joseph,,MD,Caroline County,yes
Driver,Matthew,,MD,Caroline County,yes
Edmondson,Peter,,MD,Caroline County,yes
McHenry,James,,MD,Baltimore Town,yes
Coulter,John,,MD,Baltimore Town,yes
Hanson,Alexander Conlee,,MD,City of Annapolis,yes
Tilghman,James,,MD,Queen Ann's County,yes
Seney,John,,MD,Queen Ann's County,yes
Hollyday,James,,MD,Queen Ann's County,yes
Hemsley,William,,MD,Queen Ann's County,yes
Chaille,Peter,,MD,Worchester County,yes
Martin,James,,MD,Worchester County,yes
Morris,William,,MD,Worchester County,yes
Done,John,,MD,Worchester County,yes
Johnson,Thomas,,MD,Frederick County,yes
Lee,Thomas Sim,,MD,Frederick County,yes
Potts,Richard,,MD,Frederick County,yes
Sprigg,Thomas,,MD,Washington County,yes
Stull,John,,MD,Washington County,yes
Rawlings,Moses,,MD,Washington County,yes
Shryock,Henry,,MD,Washington County,yes
Cramphin,Thomas,,MD,Montgomery County,yes
Thomas,Richard,,MD,Montgomery County,yes
"Deakins, Jun.",William,,MD,Montgomery County,yes
Edwards,Benjamin,,MD,Montgomery County,yes
Harwood,William,Clerk,MD,,did not vote
Chase,Jeremiah Townley,,MD,Ann Arundel County,no
Chase,Samuel,,MD,Ann Arundel County,no
Mercer,John Francis,,MD,Ann Arundel County,no
Harrison,Benjamin,,MD,Ann Arundel County,no
Ridgely,Charles,,MD,Baltimore County,no
Ridgely,Charles,son of William,MD,Baltimore County,no
Cockey,Edward,,MD,Baltimore County,no
Cromwell,Nathan,,MD,Baltimore County,no
Love,John,,MD,Harford County,no
Pinkney,William,,MD,Harford County,no
Martin,Luther,,MD,Harford County,no
Goldsborough,Robert,,MD,Dorchester County,Did not vote
Curtis,Edmund,,VA,,no
Parker,George,,VA,,yes
Nicolas,George,,VA,,yes
Nicolas,Wilson Cary,,VA,,yes
Pride,John,,VA,,no
Booker,Edmund,,VA,,no
Cabell,William,,VA,,no
Cabell,Samuel Jordan,,VA,,no
Johnston,Zachariah,,VA,,yes
Stuart,Archibald,,VA,,yes
Trigg,John,,VA,,no
Clay,Charles,,VA,,no
Darke,William,,VA,,yes
Stephen,Adam,,VA,,yes
Fleming,William,,VA,,yes
McFerran,Martin,,VA,,yes
Lee,Henry,,VA,Bourbon,no
Conn,Notley,,VA,,Did not vote
Jones,John,,VA,,no
Jones,Binns,,VA,,no
Patteson,Charles,,VA,,no
Bell,David,,VA,,no
Alexander,Robert,,VA,,no
Winston,Edmund,,VA,,no
Pendleton,Edmund,Honorable,VA,,yes
Taylor,James,,VA,,yes
Read,Thomas,,VA,Charlotte,no
Carrington,Paul,Honorable,VA,Charlotte,yes
Harrison V,Benjamin,,VA,Charles City,no
"Tyler, Sr.",John,Honorable,VA,Charles City,no
Patteson,David,,VA,Chesterfield,yes
"Pankey, Jun.",Stephen,,VA,Chesterfield,no
Michaux,Joseph,,VA,Cumberland,no
Drew,Thomas,,VA,Cumberland,no
Strother,French,,VA,Culpeper,no
Early,Joel,,VA,Culpeper,no
Jones,Joseph,,VA,Dinwiddie,no
Watkins,William,,VA,Dinwiddie,no
King,Miles,,VA,Elizabeth City,yes
Westwood,Worllich,,VA,Elizabeth City,yes
Upshaw,James,,VA,Essex,no
