name
corporation for the relief of poor and distressed presbyterian ministers
corporation for relief of poor and distressed presbyterian ministers
Society for Relief of Poor Masters of ships  widows and children
School Committee of Derbey
Trusts of Wilmington Academy
Trusts of Wilmington
Ruten of Chais
